seed,method,attempts_to_find_all,found_after_20,found_after_50,found_after_100,found_after_200,recall_at_20,recall_at_50,recall_at_100,recall_at_200,total_critical_paths,runtime_seconds,notes
20260722,paper_GCN_path_prob_strong,1315,9,17,20,31,0.16363636363636364,0.3090909090909091,0.36363636363636365,0.5636363636363636,55,3.046003580093384,paper-feature GCN_path_prob trained with the strong baseline configuration
20260722,LODF_yP,1148,2,10,11,20,0.03636363636363636,0.18181818181818182,0.2,0.36363636363636365,55,2.104497194290161,physical-rule ranking baseline
20260722,random,1381,1,3,4,8,0.01818181818181818,0.05454545454545454,0.07272727272727272,0.14545454545454545,55,0.00037384033203125,fixed random seed per test seed
20260722,line_order,1400,0,1,3,9,0.0,0.01818181818181818,0.05454545454545454,0.16363636363636364,55,9.989738464355469e-05,line-number order baseline
20260722,oracle,55,20,50,55,55,0.36363636363636365,0.9090909090909091,1.0,1.0,55,0.0007200241088867188,upper bound only; not a deployable search method
20260723,paper_GCN_path_prob_strong,1344,9,12,15,31,0.17307692307692307,0.23076923076923078,0.28846153846153844,0.5961538461538461,52,3.076932191848755,paper-feature GCN_path_prob trained with the strong baseline configuration
20260723,LODF_yP,1334,2,6,10,12,0.038461538461538464,0.11538461538461539,0.19230769230769232,0.23076923076923078,52,2.312098979949951,physical-rule ranking baseline
20260723,random,1389,1,1,3,10,0.019230769230769232,0.019230769230769232,0.057692307692307696,0.19230769230769232,52,0.00033020973205566406,fixed random seed per test seed
20260723,line_order,1400,0,1,3,6,0.0,0.019230769230769232,0.057692307692307696,0.11538461538461539,52,0.000102996826171875,line-number order baseline
20260723,oracle,52,20,50,52,52,0.38461538461538464,0.9615384615384616,1.0,1.0,52,0.0004913806915283203,upper bound only; not a deployable search method
20260724,paper_GCN_path_prob_strong,1308,12,15,24,33,0.2033898305084746,0.2542372881355932,0.4067796610169492,0.559322033898305,59,2.6163434982299805,paper-feature GCN_path_prob trained with the strong baseline configuration
20260724,LODF_yP,1334,2,8,14,22,0.03389830508474576,0.13559322033898305,0.23728813559322035,0.3728813559322034,59,1.6862339973449707,physical-rule ranking baseline
20260724,random,1400,0,0,2,4,0.0,0.0,0.03389830508474576,0.06779661016949153,59,0.0002894401550292969,fixed random seed per test seed
20260724,line_order,1063,2,3,5,9,0.03389830508474576,0.05084745762711865,0.0847457627118644,0.15254237288135594,59,8.249282836914062e-05,line-number order baseline
20260724,oracle,59,20,50,59,59,0.3389830508474576,0.847457627118644,1.0,1.0,59,0.00043272972106933594,upper bound only; not a deployable search method
20260725,paper_GCN_path_prob_strong,1327,8,12,16,28,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.5384615384615384,52,2.588712692260742,paper-feature GCN_path_prob trained with the strong baseline configuration
20260725,LODF_yP,1334,2,6,10,16,0.038461538461538464,0.11538461538461539,0.19230769230769232,0.3076923076923077,52,1.7272112369537354,physical-rule ranking baseline
20260725,random,1350,0,2,7,13,0.0,0.038461538461538464,0.1346153846153846,0.25,52,0.0002675056457519531,fixed random seed per test seed
20260725,line_order,1400,0,1,3,6,0.0,0.019230769230769232,0.057692307692307696,0.11538461538461539,52,8.225440979003906e-05,line-number order baseline
20260725,oracle,52,20,50,52,52,0.38461538461538464,0.9615384615384616,1.0,1.0,52,0.00047707557678222656,upper bound only; not a deployable search method
20260726,paper_GCN_path_prob_strong,1336,12,16,25,38,0.18461538461538463,0.24615384615384617,0.38461538461538464,0.5846153846153846,65,2.480621576309204,paper-feature GCN_path_prob trained with the strong baseline configuration
20260726,LODF_yP,1149,2,8,14,24,0.03076923076923077,0.12307692307692308,0.2153846153846154,0.36923076923076925,65,1.586848258972168,physical-rule ranking baseline
20260726,random,1402,0,1,3,8,0.0,0.015384615384615385,0.046153846153846156,0.12307692307692308,65,0.00028133392333984375,fixed random seed per test seed
20260726,line_order,1400,0,1,3,8,0.0,0.015384615384615385,0.046153846153846156,0.12307692307692308,65,8.0108642578125e-05,line-number order baseline
20260726,oracle,65,20,50,65,65,0.3076923076923077,0.7692307692307693,1.0,1.0,65,0.0004444122314453125,upper bound only; not a deployable search method
