method,k,dynamic_precision_at_k,mean_dynamic_stress_score_at_k,cumulative_security_actions,cumulative_passive_relay_trips,cumulative_dynamic_load_shed_mw,mean_frequency_nadir_hz_at_k,mean_rotor_angle_coi_deg_at_k
learned_mlp,10,0.5,0.13755712706215917,0,0,0.0,49.36480119122486,179.81132836168663
learned_mlp,20,0.4,0.11826067603509464,0,0,0.0,49.383019816521504,179.8293972095832
learned_mlp,50,0.3,0.09853106341913559,0,0,0.0,49.40239293935422,179.8481372976387
learned_mlp,100,0.27,0.08710964846702061,0,0,0.0,49.414464502922876,179.855628925069
pio_gcn,10,0.2,0.07174142907184944,0,0,0.0,49.42970807321997,179.8395481743167
pio_gcn,20,0.3,0.09169970533668988,0,0,0.0,49.40985113036821,179.8243108348826
pio_gcn,50,0.34,0.09974001900152174,0,0,0.0,49.402955434214675,179.82549582663253
pio_gcn,100,0.36,0.10286803170483573,0,0,0.0,49.399846062414845,179.83075163242896
lodf,10,0.1,0.04442319157418027,0,0,0.0,49.45819173560166,179.84821240937458
lodf,20,0.1,0.04841008625724967,0,0,0.0,49.45320214056157,179.87406122945333
lodf,50,0.28,0.08868230825958008,0,0,0.0,49.41259707006566,179.81370431449818
lodf,100,0.3,0.09003921781308094,0,0,0.0,49.41187833748359,179.83138912731934
