epoch,positive_weight,train_loss,overall_accuracy,hit_rate,cover_rate,precision,recall,f1,average_precision,roc_auc,mean_positive_score,mean_negative_score,positive_negative_score_gap,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,true_positive,true_negative,false_positive,false_negative,num_labels,num_positive_labels
1,20.0,19.148380279541016,0.04918032786885246,1.0,0.04918032786885246,1.0,0.04918032786885246,0.09375,1.0,,0.4046107427995713,0.0,0.0,0.04918032786885246,0.0,3,0,0,58,61,61
2,20.0,18.084590911865234,0.06557377049180328,1.0,0.06557377049180328,1.0,0.06557377049180328,0.12307692307692307,1.0,,0.4299354812160867,0.0,0.0,0.06557377049180328,0.0,4,0,0,57,61,61
3,20.0,16.87723159790039,0.13114754098360656,1.0,0.13114754098360656,1.0,0.13114754098360656,0.23188405797101452,1.0,,0.4585310450342835,0.0,0.0,0.13114754098360656,0.0,8,0,0,53,61,61
4,20.0,15.605071067810059,0.2786885245901639,1.0,0.2786885245901639,1.0,0.2786885245901639,0.43589743589743585,1.0,,0.4899312423878029,0.0,0.0,0.2786885245901639,0.0,17,0,0,44,61,61
5,20.0,14.303519248962402,0.6229508196721312,1.0,0.6229508196721312,1.0,0.6229508196721312,0.7676767676767677,1.0,,0.5236978706766348,0.0,0.0,0.6229508196721312,0.0,38,0,0,23,61,61
6,20.0,12.991881370544434,0.8032786885245902,1.0,0.8032786885245902,1.0,0.8032786885245902,0.8909090909090909,1.0,,0.5595871688889675,0.0,0.0,0.8032786885245902,0.01639344262295082,49,0,0,12,61,61
7,20.0,11.679455757141113,0.9508196721311475,1.0,0.9508196721311475,1.0,0.9508196721311475,0.9747899159663865,1.0,,0.597325550728157,0.0,0.0,0.9508196721311475,0.04918032786885246,58,0,0,3,61,61
8,20.0,10.379788398742676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.6365038478960756,0.0,0.0,1.0,0.06557377049180328,61,0,0,0,61,61
9,20.0,9.109583854675293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.6763556052426822,0.0,0.0,1.0,0.09836065573770492,61,0,0,0,61,61
10,20.0,7.8879194259643555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7160791031649856,0.0,0.0,1.0,0.13114754098360656,61,0,0,0,61,61
11,20.0,6.734176158905029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7548327279872582,0.0,0.0,1.0,0.18032786885245902,61,0,0,0,61,61
12,20.0,5.666302680969238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7916575543216018,0.0,0.0,1.0,0.4262295081967213,61,0,0,0,61,61
13,20.0,4.700395584106445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.8256590249108486,0.0,0.0,1.0,0.7049180327868853,61,0,0,0,61,61
14,20.0,3.8465564250946045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.8562207358782409,0.0,0.0,1.0,0.7704918032786885,61,0,0,0,61,61
15,20.0,3.108929395675659,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.8829218481407791,0.0,0.0,1.0,0.8688524590163934,61,0,0,0,61,61
16,20.0,2.486037015914917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.9057008663161856,0.0,0.0,1.0,0.9508196721311475,61,0,0,0,61,61
17,20.0,1.9710246324539185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.9246535936339957,0.0,0.0,1.0,0.9672131147540983,61,0,0,0,61,61
18,20.0,1.5532431602478027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.94010641242637,0.0,0.0,1.0,0.9836065573770492,61,0,0,0,61,61
19,20.0,1.2194820642471313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.9525039450066989,0.0,0.0,1.0,1.0,61,0,0,0,61,61
20,20.0,0.9562930464744568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.9623353139298861,0.0,0.0,1.0,1.0,61,0,0,0,61,61
