scenario_id,seed,path,first_line,second_line,converged,critical,total_load_shed_mw,island_load_shed_mw,redispatch_load_shed_mw,final_max_loading_ratio,final_outage_labels,num_final_outages,max_event_loading_ratio,max_pre_redispatch_loading_ratio,num_relay_trips,relay_trip_labels,num_passive_outages,has_overload_cascade,critical_mechanism,error
1,20260708,L121->L183,L121,L183,True,True,81.35922639729833,81.35922639729833,0.0,1.0,"L018,L046,L060,L102,L115,L121,L128,L134,L140,L155,L158,L178,L179,L182,L183",15,18.14441800065617,18.14441800065617,12,"L018,L046,L060,L102,L115,L134,L140,L155,L158,L178,L179,L182",13,True,relay_cascade,
1,20260708,L165->L152,L165,L152,True,True,2.620120859924388,0.0,2.620120859924388,1.0000000000000009,"L128,L152,L155,L165",4,1.7655569694182771,1.7655569694182771,2,"L128,L155",2,True,relay_cascade,
1,20260708,L090->L181,L090,L181,True,True,20.772296104867053,20.772296104867053,0.0,1.0000000000000007,"L018,L045,L046,L060,L090,L091,L102,L115,L128,L134,L140,L155,L156,L158,L178,L179,L181,L182",18,20.77229610486706,20.77229610486706,15,"L018,L045,L046,L060,L102,L115,L128,L134,L140,L155,L156,L158,L178,L179,L182",16,True,relay_cascade,
1,20260708,L147->L183,L147,L183,True,True,81.35922639729833,81.35922639729833,0.0,1.0,"L018,L045,L046,L060,L102,L115,L128,L134,L140,L147,L155,L156,L158,L178,L179,L182,L183",17,1.0820200214151976,1.0820200214151976,0,,15,False,island_only,
1,20260708,L122->L180,L122,L180,True,True,7.272188818003705,7.272188818003705,0.0,1.0000000000000002,"L018,L045,L046,L060,L102,L115,L122,L128,L134,L140,L155,L156,L158,L178,L179,L180,L182",17,18.98925746939577,18.98925746939577,14,"L018,L045,L046,L060,L102,L115,L134,L140,L155,L156,L158,L178,L179,L182",15,True,relay_cascade,
1,20260708,L150->L036,L150,L036,True,True,22.50545676159403,22.50545676159403,0.0,1.0000000000000007,"L018,L019,L020,L036,L044,L045,L046,L048,L060,L102,L111,L115,L128,L134,L140,L150,L155,L156,L158,L178,L179,L182",22,17.013796689604245,17.013796689604245,20,"L018,L019,L020,L044,L045,L046,L048,L060,L102,L111,L115,L128,L134,L140,L155,L156,L158,L178,L179,L182",20,True,relay_cascade,
1,20260708,L057->L061,L057,L061,True,True,33.88157185629734,33.88157185629734,0.0,1.0,"L018,L046,L057,L060,L061,L102,L115,L128,L134,L140,L155,L156,L158,L178,L179,L182",16,19.185301897824374,19.185301897824374,14,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L156,L158,L178,L179,L182",14,True,relay_cascade,
1,20260708,L092->L051,L092,L051,True,True,36.767162588215044,36.767162588215044,0.0,1.0000000000000004,"L018,L044,L045,L046,L051,L056,L057,L058,L060,L092,L102,L115,L128,L134,L140,L155,L158,L178,L179,L182",20,18.044855688932653,18.044855688932653,18,"L018,L044,L045,L046,L056,L057,L058,L060,L102,L115,L128,L134,L140,L155,L158,L178,L179,L182",18,True,relay_cascade,
1,20260708,L137->L059,L137,L059,True,True,2.5113533575750413,0.0,2.5113533575750413,1.0000000000000002,"L059,L128,L137,L155",4,1.1585936485260584,1.1585936485260584,0,,2,False,island_only,
1,20260708,L086->L047,L086,L047,True,True,31.300605334860514,31.300605334860514,0.0,1.0000000000000064,"L018,L046,L047,L060,L086,L102,L115,L128,L134,L140,L155,L156,L158,L178,L179,L182",16,19.197241474897815,19.197241474897815,14,"L018,L046,L060,L102,L115,L128,L134,L140,L155,L156,L158,L178,L179,L182",14,True,relay_cascade,
1,20260708,L010->L185,L010,L185,True,True,0.0876529613453858,0.0,0.0876529613453858,1.0000000000000047,"L010,L185",2,1.1391918342103082,1.1391918342103082,0,,0,False,island_only,
1,20260708,L129->L008,L129,L008,True,True,25.67010059251546,25.67010059251546,0.0,1.0000000000000002,"L008,L018,L019,L020,L022,L045,L046,L060,L102,L109,L111,L115,L128,L129,L134,L140,L155,L158,L178,L179,L182",21,24.451333896838857,24.451333896838857,17,"L018,L019,L020,L022,L045,L046,L060,L102,L109,L111,L115,L134,L140,L158,L178,L179,L182",19,True,relay_cascade,
