method,k,dynamic_precision_at_k,mean_dynamic_stress_score_at_k,cumulative_security_actions,cumulative_passive_relay_trips,cumulative_dynamic_load_shed_mw,mean_frequency_nadir_hz_at_k,mean_rotor_angle_coi_deg_at_k
learned_mlp,10,0.0,0.12712806436335952,0,0,0.0,49.37287193563664,179.8128754528445
learned_mlp,20,0.0,0.10018865560758954,0,0,0.0,49.39981134439242,179.859899749475
learned_mlp,50,0.0,0.09359237133848154,0,0,0.0,49.408063641728596,179.86568819312848
learned_mlp,100,0.0,0.08805024768552486,0,0,0.0,49.4146166617267,179.86543276105448
pio_gcn,10,0.0,0.13721737375513926,0,0,0.0,49.36691633303472,179.8058115128888
pio_gcn,20,0.0,0.0876181344607346,0,0,0.0,49.41550541831183,179.80926168676595
pio_gcn,50,0.0,0.08234294883589996,0,0,0.0,49.42068609574215,179.84704632214837
pio_gcn,100,0.0,0.10133593130571505,0,0,0.0,49.40173759229294,179.8483112232429
lodf,10,0.0,0.08441086192507967,0,0,0.0,49.41900538284661,179.7971306102968
lodf,20,0.0,0.10118911627739458,0,0,0.0,49.4037884459059,179.80467211390902
lodf,50,0.0,0.09115865408426359,0,0,0.0,49.41243178644351,179.82624359633346
lodf,100,0.0,0.10067606059681182,0,0,0.0,49.40196357044638,179.84626884078506
