scenario_id,initial_outages,initial_outage_type,valid_action_count,argmax_action,argmax_action_type,prob_do_nothing,max_nonzero_action_prob,entropy,top1_action,top1_prob,top2_action,top2_prob,top3_action,top3_prob
0,"6,9",common_bus_N-2,19,0,do_nothing,0.11258730292320251,0.06750242412090302,2.893480062484741,0,0.11258730292320251,18,0.06750242412090302,13,0.06701935082674026
1,"3,7",common_bus_N-2,19,0,do_nothing,0.11225546151399612,0.08037248253822327,2.8745527267456055,0,0.11225546151399612,18,0.08037248253822327,19,0.07337141036987305
2,17,N-1,20,0,do_nothing,0.12365325540304184,0.08906982094049454,2.894998788833618,0,0.12365325540304184,20,0.08906982094049454,19,0.07154728472232819
3,"0,1",common_bus_N-2,19,0,do_nothing,0.09819521754980087,0.08347950130701065,2.8889713287353516,0,0.09819521754980087,20,0.08347950130701065,18,0.07066387683153152
4,2,N-1,20,0,do_nothing,0.10220509022474289,0.0808168351650238,2.930184841156006,0,0.10220509022474289,20,0.0808168351650238,19,0.06915877014398575
5,4,N-1,20,0,do_nothing,0.10885346680879593,0.08595737814903259,2.9084997177124023,0,0.10885346680879593,18,0.08595737814903259,20,0.08076710999011993
6,1,N-1,20,0,do_nothing,0.12489256262779236,0.07895353436470032,2.899465560913086,0,0.12489256262779236,20,0.07895353436470032,18,0.07634128630161285
7,11,N-1,20,0,do_nothing,0.11050989478826523,0.08409537374973297,2.9035842418670654,0,0.11050989478826523,20,0.08409537374973297,18,0.07671119272708893
8,"10,12",common_bus_N-2,19,0,do_nothing,0.11661267280578613,0.10591594874858856,2.825364351272583,0,0.11661267280578613,20,0.10591594874858856,18,0.08556164801120758
9,"6,9",common_bus_N-2,19,0,do_nothing,0.11336503177881241,0.0674443393945694,2.893364667892456,0,0.11336503177881241,13,0.0674443393945694,18,0.06689655035734177
10,"14,15",common_bus_N-2,19,0,do_nothing,0.11690514534711838,0.08277532458305359,2.858914852142334,0,0.11690514534711838,18,0.08277532458305359,19,0.07468227297067642
11,"3,7",common_bus_N-2,19,0,do_nothing,0.10892177373170853,0.08075979351997375,2.8757553100585938,0,0.10892177373170853,18,0.08075979351997375,20,0.07403554767370224
12,"6,7",common_bus_N-2,19,0,do_nothing,0.1145709827542305,0.08708261698484421,2.8728463649749756,0,0.1145709827542305,18,0.08708261698484421,19,0.0658576488494873
13,"16,19",common_bus_N-2,19,0,do_nothing,0.0943012535572052,0.08170381933450699,2.8731837272644043,0,0.0943012535572052,18,0.08170381933450699,5,0.07266145199537277
14,"8,16",common_bus_N-2,19,0,do_nothing,0.12078873813152313,0.10474538803100586,2.8311715126037598,0,0.12078873813152313,18,0.10474538803100586,20,0.08354336023330688
15,"6,8",common_bus_N-2,19,0,do_nothing,0.11753232032060623,0.09742709249258041,2.8551957607269287,0,0.11753232032060623,18,0.09742709249258041,20,0.06963545829057693
16,"4,6",common_bus_N-2,19,0,do_nothing,0.11927293986082077,0.09427343308925629,2.862020492553711,0,0.11927293986082077,18,0.09427343308925629,20,0.06910549104213715
17,"4,9",common_bus_N-2,19,0,do_nothing,0.10500399768352509,0.06784956157207489,2.9047749042510986,0,0.10500399768352509,20,0.06784956157207489,11,0.06619535386562347
18,"14,16",common_bus_N-2,19,0,do_nothing,0.11794231832027435,0.08929329365491867,2.8560118675231934,0,0.11794231832027435,18,0.08929329365491867,19,0.07343635708093643
19,18,N-1,20,0,do_nothing,0.12290627509355545,0.08539377897977829,2.8917617797851562,0,0.12290627509355545,20,0.08539377897977829,18,0.08143721520900726
20,"10,12",common_bus_N-2,19,0,do_nothing,0.11151409894227982,0.10553564876317978,2.8312182426452637,0,0.11151409894227982,20,0.10553564876317978,18,0.08426148444414139
21,"7,13",common_bus_N-2,19,20,open_line,0.08422324061393738,0.08547399193048477,2.8844871520996094,20,0.08547399193048477,0,0.08422324061393738,18,0.0764874815940857
22,0,N-1,20,0,do_nothing,0.10089188069105148,0.0879693552851677,2.919893741607666,0,0.10089188069105148,20,0.0879693552851677,18,0.07488811016082764
23,"1,9",common_bus_N-2,19,0,do_nothing,0.11871689558029175,0.06974884122610092,2.894869565963745,0,0.11871689558029175,20,0.06974884122610092,13,0.0675993487238884
24,"11,18",common_bus_N-2,19,0,do_nothing,0.0947442278265953,0.08644840866327286,2.8720781803131104,0,0.0947442278265953,20,0.08644840866327286,18,0.07368375360965729
25,"4,9",common_bus_N-2,19,0,do_nothing,0.10517892241477966,0.06752309948205948,2.904712677001953,0,0.10517892241477966,20,0.06752309948205948,11,0.06654266268014908
26,2,N-1,20,0,do_nothing,0.10227923095226288,0.08142653107643127,2.9288923740386963,0,0.10227923095226288,20,0.08142653107643127,18,0.06917829066514969
27,"9,11",common_bus_N-2,19,0,do_nothing,0.11128466576337814,0.07405957579612732,2.896578311920166,0,0.11128466576337814,20,0.07405957579612732,11,0.06268923729658127
28,"8,16",common_bus_N-2,19,0,do_nothing,0.11914686113595963,0.10350174456834793,2.833404779434204,0,0.11914686113595963,18,0.10350174456834793,20,0.08404384553432465
29,"11,12",common_bus_N-2,19,0,do_nothing,0.11698869615793228,0.0913134515285492,2.8662257194519043,0,0.11698869615793228,20,0.0913134515285492,19,0.06542187929153442
30,11,N-1,20,0,do_nothing,0.10871370881795883,0.0840783417224884,2.9054315090179443,0,0.10871370881795883,20,0.0840783417224884,18,0.07634570449590683
