method,top_k,num_test_seeds,mean_found,std_found,mean_recall,std_recall,notes
PIO_GCN,20,5,12.0,2.345207879911715,0.21113073367310653,0.030781994500748172,baseline
PIO_GCN,50,5,19.2,3.1144823004794877,0.33793291454308405,0.02867300140550695,baseline
PIO_GCN,100,5,24.0,3.391164991562634,0.4227509778357236,0.020881671129618175,baseline
PIO_GCN,200,5,29.6,4.878524367060187,0.5205392912172574,0.038480082690467855,baseline
paper_GCN_path_prob_strong,20,5,10.0,1.8708286933869707,0.17571293113665995,0.019210754845471422,baseline
paper_GCN_path_prob_strong,50,5,14.4,2.3021728866442674,0.254204100983762,0.03231004368748309,baseline
paper_GCN_path_prob_strong,100,5,20.0,4.527692569068709,0.3502370510845087,0.0504597544616835,baseline
paper_GCN_path_prob_strong,200,5,32.2,3.701351104664349,0.5684378333530875,0.022553384984196997,baseline
ensemble_alpha_0.25,20,5,9.8,1.7888543819998317,0.17242621784994666,0.020902169413100736,score-level ensemble from regenerated PIO and paper path scores
ensemble_alpha_0.25,50,5,16.2,3.1937438845342627,0.2846201256370748,0.0370832836062165,score-level ensemble from regenerated PIO and paper path scores
ensemble_alpha_0.25,100,5,22.4,5.128352561983235,0.3921915372762831,0.056053521192976796,score-level ensemble from regenerated PIO and paper path scores
ensemble_alpha_0.25,200,5,32.6,4.6690470119715,0.5741353561692545,0.027823931506055707,score-level ensemble from regenerated PIO and paper path scores
ensemble_alpha_0.50,20,5,10.6,2.073644135332772,0.18718146260519142,0.03284054522873146,score-level ensemble from regenerated PIO and paper path scores
ensemble_alpha_0.50,50,5,18.2,3.4928498393145966,0.31940500177788317,0.03273390780237204,score-level ensemble from regenerated PIO and paper path scores
ensemble_alpha_0.50,100,5,24.2,3.2710854467592254,0.42638734147208723,0.01718525008287681,score-level ensemble from regenerated PIO and paper path scores
ensemble_alpha_0.50,200,5,32.2,4.54972526643093,0.5672122792461776,0.029859715751820715,score-level ensemble from regenerated PIO and paper path scores
ensemble_alpha_0.75,20,5,11.4,2.701851217221259,0.20011496977598675,0.03730845279945627,score-level ensemble from regenerated PIO and paper path scores
ensemble_alpha_0.75,50,5,19.6,2.792848008753788,0.3452056418158113,0.01942401806484836,score-level ensemble from regenerated PIO and paper path scores
ensemble_alpha_0.75,100,5,25.2,3.768288736283355,0.44362332582671565,0.024372810184247206,score-level ensemble from regenerated PIO and paper path scores
ensemble_alpha_0.75,200,5,31.2,5.019960159204453,0.548857413772668,0.03760343509182264,score-level ensemble from regenerated PIO and paper path scores
oracle,20,5,20.0,0.0,0.35590849828137966,0.03286016720397165,baseline
oracle,50,5,50.0,0.0,0.889771245703449,0.08215041800992909,baseline
oracle,100,5,56.6,5.504543577809153,1.0,0.0,baseline
oracle,200,5,56.6,5.504543577809153,1.0,0.0,baseline
LODF_yP,20,5,2.0,0.0,0.0355908498281379,0.003286016720397166,physical-rule ranking baseline
LODF_yP,50,5,7.6,1.6733200530681511,0.13425151120066367,0.02784411639938411,physical-rule ranking baseline
LODF_yP,100,5,11.8,2.0493901531919194,0.20745762711864404,0.019153026070398923,physical-rule ranking baseline
LODF_yP,200,5,18.8,4.8166378315169185,0.3288420054521749,0.0609240158744086,physical-rule ranking baseline
