key,value
execution_scope,selected_32_controlled_execution_evidence
gcn_training_run,False
formal_gcn_audit_rerun,False
full_1056_generation_run,False
labels_exported,False
formal_labels_exported,False
reranker_retrained,False
production_model_saved,False
source_backend_repair_commit,5c15cf88c3d980e3491d7327602a4d318216f2e4
selected_pair_count,32
executed_pair_count,0
succeeded_pair_count,0
failed_pair_count,0
timeout_pair_count,0
blocked_pair_count,32
unknown_pair_count,0
pilot_label_available_count,0
pilot_positive_count,0
pilot_negative_count,0
pilot_unknown_count,32
pilot_timeout_count,0
pilot_failed_count,0
pilot_blocked_count,32
all_available_labels_negative,False
has_positive_pilot_label,False
raw_trajectories_committed,False
full_timeseries_committed,False
mat_files_committed,False
slx_files_committed,False
slxc_files_committed,False
slprj_committed,False
bus_fault_labels_used,False
line_trip_labels_first_priority,True
l12_special_case_preserved,True
nf06_warning_preserved,True
forbidden_features_detected_in_inputs,[]
no_leakage_policy_passed,True
pilot_labels_are_formal_training_labels,False
final_engineering_conclusion,False
should_train_gcn_now,False
should_rerun_formal_audit_now,False
should_export_formal_labels_now,False
should_retrain_reranker_now,False
should_deploy_model,False
blocker_if_any,"selected 32 execution was approved, but the current MATLAB entrypoint is still a guarded skeleton; blocked evidence was written without fabricating pilot labels"
recommended_next_step,inspect local MATLAB/Simulink execution logs and repair execution entrypoint before rerunning selected 32 evidence collection
