pair_id,state_id,prior_outaged_branch,candidate_next_branch,planned_contingency_sequence,selection_bucket,execution_status,pilot_label_value,pilot_label_status,dynamic_stress_score_if_available,unstable_flag_if_available,instability_or_risk_reason,timeout_or_failure_reason,evidence_source,raw_trajectory_committed,full_timeseries_committed,mat_file_committed,bus_fault_label_used,l12_special_case_flag,notes
SPP001,single_outage_state_L15,L15,L04,L15;L04,high_relay_ratio_pairs,blocked,,blocked,,,,"selected 32 execution was approved, but the current MATLAB entrypoint is still a guarded skeleton; blocked evidence was written without fabricating pilot labels",python_controlled_runner_blocked_evidence,False,False,False,False,False,pilot-only compact evidence; no 0/1 label was fabricated
SPP002,single_outage_state_L04,L04,L15,L04;L15,high_relay_ratio_pairs,blocked,,blocked,,,,"selected 32 execution was approved, but the current MATLAB entrypoint is still a guarded skeleton; blocked evidence was written without fabricating pilot labels",python_controlled_runner_blocked_evidence,False,False,False,False,False,pilot-only compact evidence; no 0/1 label was fabricated
SPP003,single_outage_state_L24,L24,L04,L24;L04,high_relay_ratio_pairs,blocked,,blocked,,,,"selected 32 execution was approved, but the current MATLAB entrypoint is still a guarded skeleton; blocked evidence was written without fabricating pilot labels",python_controlled_runner_blocked_evidence,False,False,False,False,False,pilot-only compact evidence; no 0/1 label was fabricated
SPP004,single_outage_state_L04,L04,L24,L04;L24,high_relay_ratio_pairs,blocked,,blocked,,,,"selected 32 execution was approved, but the current MATLAB entrypoint is still a guarded skeleton; blocked evidence was written without fabricating pilot labels",python_controlled_runner_blocked_evidence,False,False,False,False,False,pilot-only compact evidence; no 0/1 label was fabricated
SPP005,single_outage_state_L24,L24,L15,L24;L15,high_relay_ratio_pairs,blocked,,blocked,,,,"selected 32 execution was approved, but the current MATLAB entrypoint is still a guarded skeleton; blocked evidence was written without fabricating pilot labels",python_controlled_runner_blocked_evidence,False,False,False,False,False,pilot-only compact evidence; no 0/1 label was fabricated
SPP006,single_outage_state_L15,L15,L24,L15;L24,high_relay_ratio_pairs,blocked,,blocked,,,,"selected 32 execution was approved, but the current MATLAB entrypoint is still a guarded skeleton; blocked evidence was written without fabricating pilot labels",python_controlled_runner_blocked_evidence,False,False,False,False,False,pilot-only compact evidence; no 0/1 label was fabricated
SPP007,single_outage_state_L22,L22,L17,L22;L17,high_relay_ratio_pairs,blocked,,blocked,,,,"selected 32 execution was approved, but the current MATLAB entrypoint is still a guarded skeleton; blocked evidence was written without fabricating pilot labels",python_controlled_runner_blocked_evidence,False,False,False,False,False,pilot-only compact evidence; no 0/1 label was fabricated
SPP008,single_outage_state_L17,L17,L22,L17;L22,high_relay_ratio_pairs,blocked,,blocked,,,,"selected 32 execution was approved, but the current MATLAB entrypoint is still a guarded skeleton; blocked evidence was written without fabricating pilot labels",python_controlled_runner_blocked_evidence,False,False,False,False,False,pilot-only compact evidence; no 0/1 label was fabricated
SPP009,single_outage_state_L02,L02,L17,L02;L17,high_relay_ratio_pairs,blocked,,blocked,,,,"selected 32 execution was approved, but the current MATLAB entrypoint is still a guarded skeleton; blocked evidence was written without fabricating pilot labels",python_controlled_runner_blocked_evidence,False,False,False,False,False,pilot-only compact evidence; no 0/1 label was fabricated
SPP010,single_outage_state_L17,L17,L02,L17;L02,high_relay_ratio_pairs,blocked,,blocked,,,,"selected 32 execution was approved, but the current MATLAB entrypoint is still a guarded skeleton; blocked evidence was written without fabricating pilot labels",python_controlled_runner_blocked_evidence,False,False,False,False,False,pilot-only compact evidence; no 0/1 label was fabricated
