seed,rank,path,score,first_probability,second_probability
20260722,1,L28->L25,0.8307527899742126,0.8709284663200378,0.9538702964782716
20260722,2,L28->L26,0.8307527899742126,0.8709284663200378,0.9538702964782716
20260722,3,L28->L24,0.824607789516449,0.8709284663200378,0.9468145966529846
20260722,4,L10->L01,0.7959035038948059,0.8337473273277283,0.9546099305152892
20260722,5,L28->L27,0.785714328289032,0.8709284663200378,0.9021571278572084
20260722,6,L10->L09,0.7844217419624329,0.8337473273277283,0.9408386945724488
20260722,7,L25->L28,0.7835388779640198,0.8441300988197327,0.928220510482788
20260722,8,L26->L28,0.7835388779640198,0.8441300988197327,0.928220510482788
20260722,9,L10->L15,0.781994640827179,0.8337473273277283,0.9379276037216188
20260722,10,L10->L17,0.7804936170578003,0.8337473273277283,0.9361273050308228
20260722,11,L28->L38,0.7798953652381897,0.8709284663200378,0.8954758048057556
20260722,12,L10->L14,0.7791128158569336,0.8337473273277283,0.9344711303710938
20260722,13,L10->L08,0.7785049080848694,0.8337473273277283,0.9337420463562012
20260722,14,L10->L16,0.7774834036827087,0.8337473273277283,0.9325168132781982
20260722,15,L10->L02,0.7771694660186768,0.8337473273277283,0.932140290737152
20260722,16,L27->L23,0.7722959518432617,0.8124850988388062,0.950535535812378
20260722,17,L10->L05,0.7715184092521667,0.8337473273277283,0.9253624081611632
20260722,18,L10->L07,0.7676643133163452,0.8337473273277283,0.920739769935608
20260722,19,L25->L26,0.766309380531311,0.8441300988197327,0.907809555530548
20260722,20,L26->L25,0.766309380531311,0.8441300988197327,0.907809555530548
20260722,21,L10->L03,0.7650280594825745,0.8337473273277283,0.9175778031349182
20260722,22,L27->L28,0.7612650394439697,0.8124850988388062,0.9369587898254396
20260722,23,L10->L04,0.7576117515563965,0.8337473273277283,0.9086827039718628
20260722,24,L10->L27,0.7535535097122192,0.8337473273277283,0.90381520986557
20260722,25,L28->L23,0.7524992227554321,0.8709284663200378,0.8640195727348328
20260722,26,L25->L23,0.7511195540428162,0.8441300988197327,0.8898149132728577
20260722,27,L26->L23,0.7511195540428162,0.8441300988197327,0.8898149132728577
20260722,28,L10->L18,0.7502190470695496,0.8337473273277283,0.8998158574104309
20260722,29,L21->L23,0.7447263598442078,0.8205744624137878,0.9075670838356018
20260722,30,L17->L16,0.7435842752456665,0.8585318326950073,0.8661114573478699
20260722,31,L27->L24,0.7435149550437927,0.8124850988388062,0.9151121377944946
20260722,32,L23->L18,0.740128219127655,0.8644265532493591,0.8562071919441223
