seed,path,total_load_shed_mw,rank,score,ranked_after_100
20260722,L07->L23,368.6730123770492,55,0.7186355590820312,False
20260722,L10->L01,162.337058886028,4,0.7959035038948059,False
20260722,L10->L02,180.87914978152395,15,0.7771694660186768,False
20260722,L10->L04,82.39944368301173,23,0.7576117515563965,False
20260722,L10->L05,158.08614799330758,17,0.7715184092521667,False
20260722,L10->L07,383.860222436461,18,0.7676643133163452,False
20260722,L10->L08,162.33705888602796,13,0.7785049080848694,False
20260722,L10->L09,180.8791497815239,6,0.7844217419624329,False
20260722,L10->L27,383.860222436461,24,0.7535535097122192,False
20260722,L12->L13,38.05337863080115,70,0.7064173221588135,False
20260722,L16->L17,4.621657307708116,51,0.7227300405502319,False
20260722,L17->L16,4.621657307708116,30,0.7435842752456665,False
20260722,L25->L26,465.9176206657203,19,0.766309380531311,False
20260722,L25->L28,465.9176206657203,7,0.7835388779640198,False
20260722,L26->L25,465.9176206657203,20,0.766309380531311,False
20260722,L26->L28,465.9176206657203,8,0.7835388779640198,False
20260722,L27->L06,27.981072654937165,53,0.7199541926383972,False
20260722,L27->L23,368.6730123770493,16,0.7722959518432617,False
20260722,L27->L29,368.6730123770493,54,0.718807578086853,False
20260722,L28->L24,316.8267403508264,3,0.824607789516449,False
20260722,L28->L25,465.9176206657203,1,0.8307527899742126,False
20260722,L28->L26,465.9176206657203,2,0.8307527899742126,False
20260723,L07->L23,406.53373178839536,46,0.6990788578987122,False
20260723,L10->L01,125.4270729600854,25,0.721824586391449,False
20260723,L10->L05,135.14452963342728,51,0.6961286067962646,False
20260723,L10->L07,350.6646623120598,34,0.7136420011520386,False
20260723,L10->L08,125.4270729600854,31,0.7169188857078552,False
20260723,L10->L09,134.28708074517692,26,0.7206522226333618,False
20260723,L10->L27,350.6646623120598,42,0.7065907716751099,False
20260723,L12->L13,29.616407960729667,66,0.6818286180496216,False
20260723,L16->L17,6.178709427360873,48,0.697882890701294,False
20260723,L17->L16,6.178709427360873,18,0.727071225643158,False
20260723,L23->L19,226.117890293284,82,0.6692931056022644,False
20260723,L25->L26,472.0667894447986,9,0.7516750693321228,False
20260723,L25->L28,472.0667894447986,5,0.7700799107551575,False
20260723,L26->L25,472.0667894447986,10,0.7516750693321228,False
20260723,L26->L28,472.0667894447986,6,0.7700799107551575,False
20260723,L27->L06,216.37758156688287,37,0.7122030258178711,False
20260723,L27->L23,406.5337317883954,8,0.7633116841316223,False
20260723,L27->L29,406.5337317883954,41,0.7070013284683228,False
20260723,L28->L24,360.4909248917319,3,0.8152000904083252,False
20260723,L28->L25,472.0667894447986,1,0.8175345063209534,False
20260723,L28->L26,472.0667894447986,2,0.8175345063209534,False
20260723,L31->L38,51.1649114999982,97,0.661037027835846,False
20260724,L07->L23,341.3129487882016,44,0.6964281797409058,False
20260724,L07->L24,301.31872410420647,66,0.6759522557258606,False
20260724,L07->L28,301.31872410420647,51,0.6875097751617432,False
20260724,L07->L29,341.3129487882016,99,0.652011513710022,False
20260724,L10->L01,145.23401416983023,15,0.7418349385261536,False
20260724,L10->L02,149.323331407824,23,0.7241138219833374,False
20260724,L10->L05,146.99704070798674,27,0.7166534066200256,False
20260724,L10->L07,339.736243308739,26,0.7173120379447937,False
20260724,L10->L08,145.23401416983023,22,0.7279504537582397,False
20260724,L10->L09,149.323331407824,17,0.7336685657501221,False
20260724,L10->L27,339.736243308739,33,0.7064963579177856,False
20260724,L12->L13,37.624364521496894,67,0.675643265247345,False
20260724,L25->L26,416.8414315320735,9,0.755432665348053,False
20260724,L25->L28,416.8414315320735,6,0.7761332392692566,False
20260724,L26->L25,416.8414315320735,10,0.755432665348053,False
20260724,L26->L28,416.8414315320735,7,0.7761332392692566,False
20260724,L27->L06,15.412911900914938,49,0.6888367533683777,False
20260724,L27->L23,341.3129487882015,8,0.7607746124267578,False
20260724,L27->L24,301.31872410420647,16,0.7379962801933289,False
20260724,L27->L28,301.31872410420647,12,0.7511410713195801,False
20260724,L27->L29,341.3129487882015,29,0.7118369340896606,False
20260724,L28->L07,301.31872410420647,43,0.6970533132553101,False
20260724,L28->L24,301.31872410420647,3,0.8289479613304138,False
20260724,L28->L25,416.8414315320735,1,0.8301228880882263,False
20260724,L28->L26,416.8414315320735,2,0.8301228880882263,False
20260724,L28->L27,301.31872410420647,4,0.7800295948982239,False
