line_id,from_bus,to_bus,topology_status_available,branch_flow_available,branch_flow_source,line_limit_available,line_limit_source,relay_threshold_available,relay_threshold_source,endpoint_load_available,endpoint_load_source,ready_for_paper_feature_vector,missing_fields,l12_special_case_flag
L01,B1,B2,True,False,missing_verified_current_state_pf_or_opf_branch_flow,False,missing_verified_rate_a_or_thermal_limit_source,False,missing_documented_relay_threshold_or_line_limit_proxy,False,missing_verified_current_state_bus_load_source,False,branch_flow;line_limit;relay_threshold;endpoint_load,False
L02,B10,B11,True,False,missing_verified_current_state_pf_or_opf_branch_flow,False,missing_verified_rate_a_or_thermal_limit_source,False,missing_documented_relay_threshold_or_line_limit_proxy,False,missing_verified_current_state_bus_load_source,False,branch_flow;line_limit;relay_threshold;endpoint_load,False
L03,B10,B13,True,False,missing_verified_current_state_pf_or_opf_branch_flow,False,missing_verified_rate_a_or_thermal_limit_source,False,missing_documented_relay_threshold_or_line_limit_proxy,False,missing_verified_current_state_bus_load_source,False,branch_flow;line_limit;relay_threshold;endpoint_load,False
L04,B11,B6,True,False,missing_verified_current_state_pf_or_opf_branch_flow,False,missing_verified_rate_a_or_thermal_limit_source,False,missing_documented_relay_threshold_or_line_limit_proxy,False,missing_verified_current_state_bus_load_source,False,branch_flow;line_limit;relay_threshold;endpoint_load,False
L05,B13,B14,True,False,missing_verified_current_state_pf_or_opf_branch_flow,False,missing_verified_rate_a_or_thermal_limit_source,False,missing_documented_relay_threshold_or_line_limit_proxy,False,missing_verified_current_state_bus_load_source,False,branch_flow;line_limit;relay_threshold;endpoint_load,False
L06,B14,B15,True,False,missing_verified_current_state_pf_or_opf_branch_flow,False,missing_verified_rate_a_or_thermal_limit_source,False,missing_documented_relay_threshold_or_line_limit_proxy,False,missing_verified_current_state_bus_load_source,False,branch_flow;line_limit;relay_threshold;endpoint_load,False
L07,B15,B16,True,False,missing_verified_current_state_pf_or_opf_branch_flow,False,missing_verified_rate_a_or_thermal_limit_source,False,missing_documented_relay_threshold_or_line_limit_proxy,False,missing_verified_current_state_bus_load_source,False,branch_flow;line_limit;relay_threshold;endpoint_load,False
L08,B16,B17,True,False,missing_verified_current_state_pf_or_opf_branch_flow,False,missing_verified_rate_a_or_thermal_limit_source,False,missing_documented_relay_threshold_or_line_limit_proxy,False,missing_verified_current_state_bus_load_source,False,branch_flow;line_limit;relay_threshold;endpoint_load,False
L09,B16,B24,True,False,missing_verified_current_state_pf_or_opf_branch_flow,False,missing_verified_rate_a_or_thermal_limit_source,False,missing_documented_relay_threshold_or_line_limit_proxy,False,missing_verified_current_state_bus_load_source,False,branch_flow;line_limit;relay_threshold;endpoint_load,False
L10,B17,B27,True,False,missing_verified_current_state_pf_or_opf_branch_flow,False,missing_verified_rate_a_or_thermal_limit_source,False,missing_documented_relay_threshold_or_line_limit_proxy,False,missing_verified_current_state_bus_load_source,False,branch_flow;line_limit;relay_threshold;endpoint_load,False
