method,acquisition_mode,first_prefix_score_mode,second_score_physics_blend,second_score_physics_gate_size,search_policy,adaptive_probes_per_second_line,adaptive_promotion_min_positives,adaptive_target,fallback_score_fusion,candidate_evaluations,num_seeds,n2_physical_verifications_mean,n2_physical_verifications_std,n1_state_constructions_mean,n1_state_constructions_std,total_physical_evaluations_mean,total_physical_evaluations_std,critical_paths_found_mean,critical_paths_found_std,recall_critical_mean,recall_critical_std,precision_at_k_mean,precision_at_k_std,relay_cascade_paths_found_mean,relay_cascade_paths_found_std,recall_relay_cascade_mean,recall_relay_cascade_std,captured_load_shed_mw_mean,captured_load_shed_mw_std,captured_load_shed_ratio_mean,captured_load_shed_ratio_std,captured_relay_load_shed_mw_mean,captured_relay_load_shed_mw_std,captured_relay_load_shed_ratio_mean,captured_relay_load_shed_ratio_std,eager_n1_state_constructions_mean,eager_n1_state_constructions_std,saved_n1_state_constructions_mean,saved_n1_state_constructions_std
RTS79_GCN_pmf_hybrid_prior_corrected_lazy_prefix_iterative_lodf_proxy_second_physics_0.00_gate_26_adaptive_probe_5_min_1_critical,pmf_hybrid_prior_corrected,iterative_lodf_proxy,0.0,26,adaptive_probe_then_promote,5,1,critical,none,50,5,50.0,0.0,3.0,0.0,53.0,0.0,17.0,0.0,0.009692132269099202,0.0,0.34,0.0,11.0,0.0,0.006695069993913573,0.0,562.587844804783,0.0,0.009628690298407907,0.0,352.63107329305194,0.0,0.006356854860142392,9.69739903612216e-19,176.0,0.0,173.0,0.0
RTS79_GCN_pmf_hybrid_prior_corrected_lazy_prefix_iterative_lodf_proxy_second_physics_0.00_gate_26_adaptive_probe_5_min_1_critical,pmf_hybrid_prior_corrected,iterative_lodf_proxy,0.0,26,adaptive_probe_then_promote,5,1,critical,none,100,5,100.0,0.0,5.0,0.0,105.0,0.0,34.0,0.0,0.019384264538198404,0.0,0.34,0.0,24.0,0.0,0.014607425441265979,1.939479807224432e-18,1081.4557273198484,0.0,0.01850911349393904,0.0,791.163318940423,0.0,0.014262243942958577,1.939479807224432e-18,176.0,0.0,171.0,0.0
RTS79_GCN_pmf_hybrid_prior_corrected_lazy_prefix_iterative_lodf_proxy_second_physics_0.00_gate_26_adaptive_probe_5_min_1_critical,pmf_hybrid_prior_corrected,iterative_lodf_proxy,0.0,26,adaptive_probe_then_promote,5,1,critical,none,163,5,163.0,0.0,38.0,0.0,201.0,0.0,78.0,0.0,0.04446978335233751,0.0,0.4785276073619632,0.0,50.0,0.0,0.030432136335970784,0.0,2162.0673397046608,0.0,0.03700377996176335,0.0,1414.6503030926033,0.0,0.025501798723060264,0.0,176.0,0.0,138.0,0.0
RTS79_GCN_pmf_hybrid_prior_corrected_lazy_prefix_iterative_lodf_proxy_second_physics_0.00_gate_26_adaptive_probe_5_min_1_critical,pmf_hybrid_prior_corrected,iterative_lodf_proxy,0.0,26,adaptive_probe_then_promote,5,1,critical,none,200,5,200.0,0.0,75.0,0.0,275.0,0.0,115.0,0.0,0.06556442417331813,0.0,0.575,0.0,87.0,0.0,0.05295191722458916,7.757919228897728e-18,2930.642295584744,0.0,0.05015793942258454,0.0,2183.2252589726863,0.0,0.039356843878453535,0.0,176.0,0.0,101.0,0.0
RTS79_GCN_pmf_hybrid_prior_corrected_lazy_prefix_iterative_lodf_proxy_second_physics_0.00_gate_26_adaptive_probe_5_min_1_critical,pmf_hybrid_prior_corrected,iterative_lodf_proxy,0.0,26,adaptive_probe_then_promote,5,1,critical,none,250,5,250.0,0.0,125.0,0.0,375.0,0.0,165.0,0.0,0.09407069555302167,0.0,0.66,0.0,137.0,0.0,0.08338405356055995,0.0,3969.2571008280997,5.084229945850415e-13,0.06793383058585642,0.0,3221.840064216042,0.0,0.05807987787222822,7.757919228897728e-18,176.0,0.0,51.0,0.0
RTS79_GCN_pmf_hybrid_prior_corrected_lazy_prefix_iterative_lodf_proxy_second_physics_0.00_gate_26_adaptive_probe_5_min_1_critical,pmf_hybrid_prior_corrected,iterative_lodf_proxy,0.0,26,adaptive_probe_then_promote,5,1,critical,none,326,5,326.0,0.0,176.0,0.0,502.0,0.0,241.0,0.0,0.13740022805017105,0.0,0.7392638036809815,0.0,211.0,0.0,0.12842361533779673,0.0,6118.4604831280785,0.0,0.10471744393185407,0.0,5283.858144039896,0.0,0.0952517286964364,0.0,176.0,0.0,0.0,0.0
RTS79_GCN_pmf_hybrid_prior_corrected_lazy_prefix_iterative_lodf_proxy_second_physics_0.00_gate_26_adaptive_probe_5_min_1_critical,pmf_hybrid_prior_corrected,iterative_lodf_proxy,0.0,26,adaptive_probe_then_promote,5,1,critical,none,500,5,500.0,0.0,176.0,0.0,676.0,0.0,415.0,0.0,0.23660205245153937,3.1031676915590914e-17,0.8299999999999998,1.2412670766236366e-16,375.0,0.0,0.2282410225197809,0.0,12686.608850790659,0.0,0.21713129547562765,3.1031676915590914e-17,11779.284623522419,0.0,0.21234431216959462,0.0,176.0,0.0,0.0,0.0
RTS79_GCN_pmf_hybrid_prior_corrected_lazy_prefix_iterative_lodf_proxy_second_physics_0.00_gate_26_adaptive_probe_5_min_1_critical,pmf_hybrid_prior_corrected,iterative_lodf_proxy,0.0,26,adaptive_probe_then_promote,5,1,critical,none,651,5,651.0,0.0,176.0,0.0,827.0,0.0,566.0,0.0,0.322690992018244,0.0,0.8694316436251921,1.2412670766236366e-16,521.0,0.0,0.3171028606208156,0.0,13978.650188148033,0.0,0.2392445814362794,3.1031676915590914e-17,12913.752000640541,0.0,0.23279527354563062,0.0,176.0,0.0,0.0,0.0
RTS79_GCN_pmf_hybrid_prior_corrected_lazy_prefix_iterative_lodf_proxy_second_physics_0.00_gate_26_adaptive_probe_5_min_1_critical,pmf_hybrid_prior_corrected,iterative_lodf_proxy,0.0,26,adaptive_probe_then_promote,5,1,critical,none,750,5,750.0,0.0,176.0,0.0,926.0,0.0,665.0,0.0,0.379133409350057,0.0,0.8866666666666667,0.0,619.0,0.0,0.3767498478393183,0.0,17098.614600885252,0.0,0.29264276866999933,0.0,16002.201621329868,0.0,0.2884705315376231,0.0,176.0,0.0,0.0,0.0
RTS79_GCN_pmf_hybrid_prior_corrected_lazy_prefix_iterative_lodf_proxy_second_physics_0.00_gate_26_adaptive_probe_5_min_1_critical,pmf_hybrid_prior_corrected,iterative_lodf_proxy,0.0,26,adaptive_probe_then_promote,5,1,critical,none,1000,5,1000.0,0.0,176.0,0.0,1176.0,0.0,915.0,0.0,0.5216647662485747,0.0,0.915,0.0,858.0,0.0,0.5222154595252587,0.0,24976.18838205362,0.0,0.42746743461714304,6.206335383118183e-17,23517.40197816468,0.0,0.4239465049598169,6.206335383118183e-17,176.0,0.0,0.0,0.0
RTS79_GCN_pmf_hybrid_prior_corrected_lazy_prefix_iterative_lodf_proxy_second_physics_0.00_gate_26_adaptive_probe_5_min_1_critical,pmf_hybrid_prior_corrected,iterative_lodf_proxy,0.0,26,adaptive_probe_then_promote,5,1,critical,none,1250,5,1250.0,0.0,176.0,0.0,1426.0,0.0,1165.0,0.0,0.6641961231470923,0.0,0.932,0.0,1103.0,0.0,0.6713329275715155,0.0,37891.13437502118,0.0,0.6485067200110524,0.0,36025.55183914575,0.0,0.6494300180621593,0.0,176.0,0.0,0.0,0.0
RTS79_GCN_pmf_hybrid_prior_corrected_lazy_prefix_iterative_lodf_proxy_second_physics_0.00_gate_26_adaptive_probe_5_min_1_critical,pmf_hybrid_prior_corrected,iterative_lodf_proxy,0.0,26,adaptive_probe_then_promote,5,1,critical,none,1500,5,1500.0,0.0,176.0,0.0,1676.0,0.0,1415.0,0.0,0.8067274800456101,1.2412670766236366e-16,0.9433333333333334,0.0,1342.0,0.0,0.8167985392574557,1.2412670766236366e-16,47899.234429601456,0.0,0.8197953406076655,0.0,45797.263021185,0.0,0.8255839489661204,0.0,176.0,0.0,0.0,0.0
RTS79_GCN_pmf_hybrid_prior_corrected_lazy_prefix_iterative_lodf_proxy_second_physics_0.00_gate_26_adaptive_probe_5_min_1_critical,pmf_hybrid_prior_corrected,iterative_lodf_proxy,0.0,26,adaptive_probe_then_promote,5,1,critical,none,1628,5,1628.0,0.0,176.0,0.0,1804.0,0.0,1422.0,0.0,0.8107183580387686,0.0,0.8734643734643734,0.0,1342.0,0.0,0.8167985392574557,1.2412670766236366e-16,48044.66894888029,0.0,0.8222844522331035,0.0,45797.263021185,0.0,0.8255839489661204,0.0,176.0,0.0,0.0,0.0
