method,top_k,num_test_seeds,mean_found,std_found,mean_recall,std_recall,notes
PIO_GCN,20,5,12.0,2.345207879911715,0.21113073367310653,0.030781994500748172,baseline
PIO_GCN,50,5,19.2,3.1144823004794877,0.33793291454308405,0.02867300140550695,baseline
PIO_GCN,100,5,24.0,3.391164991562634,0.4227509778357236,0.020881671129618175,baseline
PIO_GCN,200,5,29.6,4.878524367060187,0.5205392912172574,0.038480082690467855,baseline
paper_GCN_path_prob_strong,20,5,10.0,1.8708286933869707,0.17571293113665995,0.019210754845471422,baseline
paper_GCN_path_prob_strong,50,5,14.4,2.3021728866442674,0.254204100983762,0.03231004368748309,baseline
paper_GCN_path_prob_strong,100,5,20.0,4.527692569068709,0.3502370510845087,0.0504597544616835,baseline
paper_GCN_path_prob_strong,200,5,32.2,3.701351104664349,0.5684378333530875,0.022553384984196997,baseline
oracle,20,5,20.0,0.0,0.35590849828137966,0.03286016720397165,baseline
oracle,50,5,50.0,0.0,0.889771245703449,0.08215041800992909,baseline
oracle,100,5,56.6,5.504543577809153,1.0,0.0,baseline
oracle,200,5,56.6,5.504543577809153,1.0,0.0,baseline
rerank_pio_dominant,20,5,14.6,1.3416407864998738,0.2582233021216072,0.011358128381527116,rerank top-300 PIO candidates
rerank_pio_dominant,50,5,21.6,3.209361307176242,0.38023705108450867,0.021282955669102575,rerank top-300 PIO candidates
rerank_pio_dominant,100,5,26.6,3.8470768123342687,0.4685883607917506,0.025910991093748423,rerank top-300 PIO candidates
rerank_pio_dominant,200,5,31.6,5.029910535983716,0.5558836079175062,0.03740629552971023,rerank top-300 PIO candidates
rerank_balanced,20,5,16.4,2.509980079602227,0.2891620244162617,0.027519940773128783,rerank top-300 PIO candidates
rerank_balanced,50,5,23.2,2.7748873851023217,0.41009363517838093,0.0326815595863968,rerank top-300 PIO candidates
rerank_balanced,100,5,29.6,4.560701700396551,0.521061988858599,0.03714181267380742,rerank top-300 PIO candidates
rerank_balanced,200,5,32.8,5.9329587896765315,0.5762332582671565,0.05179784487756821,rerank top-300 PIO candidates
rerank_physical_stress,20,5,15.8,2.588435821108957,0.2795816048358421,0.04113013152875104,rerank top-300 PIO candidates
rerank_physical_stress,50,5,24.8,2.7748873851023217,0.4389711982932322,0.03908029600064489,rerank top-300 PIO candidates
rerank_physical_stress,100,5,30.2,4.604345773288536,0.531687803721702,0.037509581095039705,rerank top-300 PIO candidates
rerank_physical_stress,200,5,33.4,6.107372593840989,0.5865461656987081,0.050780678646362425,rerank top-300 PIO candidates
LODF_yP,20,5,2.0,0.0,0.0355908498281379,0.003286016720397166,physical-rule ranking baseline
LODF_yP,50,5,7.6,1.6733200530681511,0.13425151120066367,0.02784411639938411,physical-rule ranking baseline
LODF_yP,100,5,11.8,2.0493901531919194,0.20745762711864404,0.019153026070398923,physical-rule ranking baseline
LODF_yP,200,5,18.8,4.8166378315169185,0.3288420054521749,0.0609240158744086,physical-rule ranking baseline
