line_label,relay_trip_count
L128,190
L155,180
L102,179
L115,173
L060,172
L156,165
L140,164
L158,164
L178,164
L111,163
L182,161
L045,159
L169,159
L019,158
L046,158
L109,158
L154,158
L160,158
L179,158
L134,157
L153,157
L110,155
L143,155
L030,153
L150,153
L113,152
L149,151
L044,150
L159,150
L157,142
L056,135
L112,133
L054,130
L104,130
L148,120
L040,104
L018,91
L065,88
L057,81
L039,58
L114,48
L078,44
L082,43
L186,37
L020,34
L077,34
L095,34
L022,25
L025,25
L091,25
L014,18
L106,18
L064,17
L012,14
L026,14
L024,13
L074,13
L130,13
L063,12
L062,11
L015,10
L129,10
L131,10
L043,9
L079,9
L105,9
L126,9
L127,9
L037,8
L048,8
L055,8
L092,8
L120,8
L132,8
L001,7
L035,7
L058,7
L032,6
L089,6
L180,6
L080,5
L101,5
L119,5
L011,4
L017,4
L059,4
L081,4
L083,4
L084,4
L088,4
L027,3
L122,3
L034,2
L042,2
L047,2
L093,2
L094,2
L117,2
L135,2
L151,2
L175,2
L185,2
L004,1
L006,1
L010,1
L028,1
L029,1
L053,1
L100,1
L116,1
L171,1
L173,1
