line_label,relay_trip_count
L128,261
L155,257
L115,254
L102,251
L060,239
L182,237
L178,231
L018,230
L158,224
L140,222
L156,216
L046,211
L134,209
L179,209
L045,208
L113,208
L111,184
L109,159
L169,113
L065,60
L104,43
L019,39
L153,35
L160,35
L154,34
L030,33
L150,27
L078,26
L044,23
L149,22
L186,20
L112,19
L077,18
L148,17
L157,17
L057,14
L020,13
L082,12
L129,12
L074,11
L001,9
L040,9
L091,9
L048,7
L056,7
L058,6
L110,6
L159,6
L014,5
L059,5
L180,5
L126,4
L127,4
L024,3
L026,3
L095,3
L015,2
L017,2
L022,2
L032,2
L037,2
L039,2
L043,2
L064,2
L114,2
L119,2
L173,2
L175,2
L055,1
L106,1
L120,1
L142,1
L143,1
L171,1
