line_label,as_first_critical_count,as_first_total_count,as_first_critical_frequency,as_second_critical_count,as_second_total_count,as_second_critical_frequency,total_critical_count
L071,0,5,0.0,11,11,1.0,11
L133,0,6,0.0,11,11,1.0,11
L147,1,2,0.5,9,9,1.0,10
L017,3,5,0.6,5,5,1.0,8
L033,3,5,0.6,5,6,0.8333333333333334,8
L029,1,2,0.5,7,7,1.0,8
L034,1,5,0.2,7,7,1.0,8
L059,1,4,0.25,7,7,1.0,8
L152,1,9,0.1111111111111111,7,7,1.0,8
L180,1,4,0.25,7,7,1.0,8
L009,1,6,0.16666666666666666,6,8,0.75,7
L047,1,5,0.2,6,6,1.0,7
L061,1,5,0.2,6,6,1.0,7
L185,0,4,0.0,7,7,1.0,7
L050,1,2,0.5,5,5,1.0,6
L129,1,5,0.2,5,5,1.0,6
L036,1,9,0.1111111111111111,4,5,0.8,5
L007,0,2,0.0,5,6,0.8333333333333334,5
L016,0,5,0.0,5,5,1.0,5
L181,0,5,0.0,5,5,1.0,5
L122,4,10,0.4,0,4,0.0,4
L097,2,9,0.2222222222222222,2,7,0.2857142857142857,4
L184,1,5,0.2,3,3,1.0,4
L070,3,6,0.5,0,1,0.0,3
L095,3,8,0.375,0,7,0.0,3
L119,3,7,0.42857142857142855,0,4,0.0,3
L165,3,5,0.6,0,7,0.0,3
L169,3,13,0.23076923076923078,0,5,0.0,3
L171,3,10,0.3,0,4,0.0,3
L008,1,6,0.16666666666666666,2,3,0.6666666666666666,3
L054,1,5,0.2,2,3,0.6666666666666666,3
L174,1,6,0.16666666666666666,2,6,0.3333333333333333,3
L183,0,3,0.0,3,3,1.0,3
L022,2,11,0.18181818181818182,0,6,0.0,2
L044,2,5,0.4,0,6,0.0,2
L048,2,6,0.3333333333333333,0,7,0.0,2
L062,2,5,0.4,0,5,0.0,2
L072,2,6,0.3333333333333333,0,4,0.0,2
L076,2,6,0.3333333333333333,0,5,0.0,2
L079,2,5,0.4,0,6,0.0,2
L084,2,4,0.5,0,8,0.0,2
L086,2,5,0.4,0,4,0.0,2
L099,2,6,0.3333333333333333,0,8,0.0,2
L102,2,6,0.3333333333333333,0,5,0.0,2
L105,2,5,0.4,0,7,0.0,2
L113,2,6,0.3333333333333333,0,3,0.0,2
L116,2,4,0.5,0,7,0.0,2
L128,2,6,0.3333333333333333,0,2,0.0,2
L130,2,8,0.25,0,6,0.0,2
L135,2,7,0.2857142857142857,0,5,0.0,2
L143,2,6,0.3333333333333333,0,6,0.0,2
L150,2,5,0.4,0,1,0.0,2
L155,2,5,0.4,0,3,0.0,2
L160,2,6,0.3333333333333333,0,6,0.0,2
L179,2,6,0.3333333333333333,0,3,0.0,2
L182,2,5,0.4,0,7,0.0,2
L015,1,3,0.3333333333333333,1,3,0.3333333333333333,2
L038,1,7,0.14285714285714285,1,2,0.5,2
L081,1,6,0.16666666666666666,1,2,0.5,2
L107,1,6,0.16666666666666666,1,6,0.16666666666666666,2
L002,0,6,0.0,2,7,0.2857142857142857,2
L021,0,4,0.0,2,4,0.5,2
L051,0,4,0.0,2,2,1.0,2
L004,1,7,0.14285714285714285,0,6,0.0,1
L006,1,5,0.2,0,5,0.0,1
L010,1,5,0.2,0,5,0.0,1
L014,1,8,0.125,0,6,0.0,1
L027,1,7,0.14285714285714285,0,3,0.0,1
L028,1,4,0.25,0,6,0.0,1
L030,1,5,0.2,0,5,0.0,1
L035,1,5,0.2,0,8,0.0,1
L039,1,6,0.16666666666666666,0,4,0.0,1
L040,1,4,0.25,0,9,0.0,1
L045,1,6,0.16666666666666666,0,5,0.0,1
L046,1,5,0.2,0,5,0.0,1
L053,1,4,0.25,0,4,0.0,1
L057,1,7,0.14285714285714285,0,3,0.0,1
L058,1,1,1.0,0,6,0.0,1
L060,1,4,0.25,0,5,0.0,1
L063,1,8,0.125,0,3,0.0,1
L066,1,4,0.25,0,3,0.0,1
L067,1,10,0.1,0,2,0.0,1
L069,1,4,0.25,0,4,0.0,1
L074,1,3,0.3333333333333333,0,3,0.0,1
L075,1,7,0.14285714285714285,0,6,0.0,1
L077,1,1,1.0,0,7,0.0,1
L080,1,6,0.16666666666666666,0,3,0.0,1
L082,1,6,0.16666666666666666,0,4,0.0,1
L083,1,3,0.3333333333333333,0,11,0.0,1
L085,1,5,0.2,0,9,0.0,1
L087,1,4,0.25,0,6,0.0,1
L088,1,4,0.25,0,3,0.0,1
L090,1,9,0.1111111111111111,0,7,0.0,1
L092,1,4,0.25,0,5,0.0,1
L094,1,7,0.14285714285714285,0,5,0.0,1
L096,1,7,0.14285714285714285,0,3,0.0,1
L101,1,4,0.25,0,7,0.0,1
L103,1,8,0.125,0,7,0.0,1
L108,1,5,0.2,0,4,0.0,1
