epoch,train_loss,total_accuracy,hit_rate,cover_rate,precision,recall,f1,pr_auc,average_precision,mean_positive_score,mean_negative_score,positive_negative_score_gap,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,true_positive,true_negative,false_positive,false_negative,num_labels,num_positive_labels
1,1.4275464910904814,0.7155599603567889,0.05303030303030303,0.27450980392156865,0.05303030303030303,0.27450980392156865,0.08888888888888889,0.054036853422257426,0.054036853422257426,0.46564964161199685,0.4607762851614295,0.0048733564505673566,0.2616451932606541,0.0019821605550049554,28,1416,500,74,2018,102
2,1.3077136026364908,0.5014866204162537,0.06538461538461539,0.6666666666666666,0.06538461538461539,0.6666666666666666,0.1190893169877408,0.06270373955869712,0.06270373955869712,0.5511422133913227,0.5155880244328234,0.03555418895849938,0.5153617443012884,0.035678889990089196,68,944,972,34,2018,102
3,1.2371128502093705,0.6139742319127849,0.080545229244114,0.6372549019607843,0.080545229244114,0.6372549019607843,0.14301430143014301,0.07675087643345058,0.07675087643345058,0.5393829453809589,0.46321078805186805,0.07617215732909083,0.39990089197224976,0.015361744301288404,65,1174,742,37,2018,102
4,1.1514034428819724,0.6699702675916749,0.09011627906976744,0.6078431372549019,0.09011627906976744,0.6078431372549019,0.15696202531645567,0.11130329816251769,0.11130329816251769,0.5357870030052522,0.41092094973445187,0.1248660532708003,0.3409316154608523,0.006937561942517344,62,1290,626,40,2018,102
5,1.0670121869246474,0.6253716551040635,0.08607594936708861,0.6666666666666666,0.08607594936708861,0.6666666666666666,0.15246636771300448,0.14129269006292744,0.14129269006292744,0.587095792387046,0.4077613830424472,0.17933440934459882,0.3914767096134787,0.044598612487611496,68,1194,722,34,2018,102
6,1.00055807428297,0.6769078295341923,0.097953216374269,0.6568627450980392,0.097953216374269,0.6568627450980392,0.17048346055979643,0.176046110418354,0.176046110418354,0.5861663818085456,0.35989477349730065,0.226271608311245,0.3389494549058474,0.05302279484638256,67,1299,617,35,2018,102
7,0.9467909804062193,0.678394449950446,0.10189228529839883,0.6862745098039216,0.10189228529839883,0.6862745098039216,0.17743979721166034,0.21911514927839193,0.21911514927839193,0.6124969478879198,0.3492014746792209,0.26329547320869884,0.3404360753221011,0.06293359762140734,70,1299,617,32,2018,102
8,0.9028017848953933,0.7150644202180376,0.11292962356792144,0.6764705882352942,0.11292962356792144,0.6764705882352942,0.1935483870967742,0.26421333501949146,0.26421333501949146,0.6225504181872797,0.33081269631227556,0.2917377218750042,0.30277502477700696,0.049554013875123884,69,1374,542,33,2018,102
9,0.8661588247642558,0.7319127849355798,0.12478632478632479,0.7156862745098039,0.12478632478632479,0.7156862745098039,0.21251819505094613,0.29094331831665554,0.29094331831665554,0.6407871009272925,0.3232877042997768,0.3174993966275157,0.2898909811694747,0.05203171456888008,73,1404,512,29,2018,102
10,0.8316728204674005,0.7532210109018831,0.13736263736263737,0.7352941176470589,0.13736263736263737,0.7352941176470589,0.2314814814814815,0.3131568238650283,0.3131568238650283,0.6492325022471978,0.3059647338845194,0.34326776836267836,0.2705649157581764,0.05252725470763132,75,1445,471,27,2018,102
