sample_index,seed,split,sample_type,current_outage_labels,num_candidate_labels,num_positive_labels
0,20260701,train,S0,,186,9
1,20260701,train,S1,L152,185,9
2,20260701,train,S1,L019,185,9
3,20260701,train,S1,L001,185,10
4,20260701,train,S1,L042,185,8
5,20260701,train,S1,"L028,L045",184,12
6,20260701,train,S1,L144,185,9
7,20260701,train,S1,"L027,L045",184,12
8,20260701,train,S1,L014,185,8
9,20260701,train,S1,L065,185,9
10,20260701,train,S1,"L045,L054",184,23
11,20260701,train,S1,L068,185,10
12,20260701,train,S1,"L030,L045,L102,L109,L110,L111,L113,L115,L134,L140,L141,L143,L155,L156,L178",171,10
13,20260701,train,S1,L166,185,9
14,20260701,train,S1,L052,185,11
15,20260701,train,S1,L156,185,9
16,20260701,train,S1,L004,185,10
17,20260701,train,S1,L003,185,8
18,20260701,train,S1,L101,185,9
19,20260701,train,S1,L161,185,10
20,20260701,train,S1,"L140,L142",184,8
21,20260702,train,S0,,186,8
22,20260702,train,S1,L018,185,8
23,20260702,train,S1,L102,185,8
24,20260702,train,S1,L125,185,12
25,20260702,train,S1,L072,185,10
26,20260702,train,S1,"L104,L117",184,7
27,20260702,train,S1,L002,185,8
28,20260702,train,S1,L058,185,8
29,20260702,train,S1,"L136,L140",184,9
30,20260702,train,S1,L057,185,8
31,20260702,train,S1,L101,185,9
32,20260702,train,S1,"L031,L104,L109,L110,L182",181,9
33,20260702,train,S1,L157,185,9
34,20260702,train,S1,L114,185,8
35,20260702,train,S1,L128,185,9
36,20260702,train,S1,L080,185,11
37,20260702,train,S1,L052,185,8
38,20260702,train,S1,"L140,L146",184,11
39,20260702,train,S1,L003,185,9
40,20260702,train,S1,"L137,L140",184,11
41,20260702,train,S1,"L075,L104",184,9
42,20260703,train,S0,,186,8
43,20260703,train,S1,L116,185,10
44,20260703,train,S1,"L018,L028",184,12
45,20260703,train,S1,"L018,L030,L046,L104,L109,L110,L111,L112,L113,L134,L140,L143,L155,L178,L179",171,10
46,20260703,train,S1,"L018,L021",184,12
47,20260703,train,S1,L064,185,10
48,20260703,train,S1,L173,185,11
49,20260703,train,S1,"L010,L018",184,8
50,20260703,train,S1,"L009,L018,L019,L030,L046,L104,L109,L110,L111,L113,L134,L140,L143,L155,L178,L179",170,11
51,20260703,train,S1,"L041,L111",184,8
52,20260703,train,S1,L044,185,8
53,20260703,train,S1,L153,185,11
54,20260703,train,S1,L161,185,10
55,20260703,train,S1,L149,185,10
56,20260703,train,S1,L179,185,9
57,20260703,train,S1,L125,185,10
58,20260703,train,S1,L169,185,9
59,20260703,train,S1,L164,185,10
60,20260703,train,S1,L119,185,9
61,20260703,train,S1,L055,185,9
62,20260703,train,S1,L093,185,9
63,20260704,train,S0,,186,9
64,20260704,train,S1,L052,185,9
65,20260704,train,S1,"L045,L102,L109,L110,L113,L134,L155,L158,L177",177,11
66,20260704,train,S1,L117,185,9
67,20260704,train,S1,"L033,L182",184,9
68,20260704,train,S1,L092,185,9
69,20260704,train,S1,L075,185,10
70,20260704,train,S1,"L098,L102",184,10
71,20260704,train,S1,L015,185,11
72,20260704,train,S1,L003,185,10
73,20260704,train,S1,L059,185,12
74,20260704,train,S1,L156,185,8
75,20260704,train,S1,L151,185,11
76,20260704,train,S1,"L045,L096,L102,L109,L110,L111,L112,L134,L155,L158",176,12
77,20260704,train,S1,"L045,L054,L109",183,12
78,20260704,train,S1,L013,185,11
79,20260704,train,S1,L074,185,13
80,20260704,train,S1,L046,185,8
81,20260704,train,S1,L185,185,12
82,20260704,train,S1,"L093,L102",184,7
83,20260704,train,S1,L042,185,9
84,20260705,train,S0,,186,11
85,20260705,train,S1,"L030,L045,L046,L049,L102,L113,L115,L134,L140,L143,L155,L156",174,13
