feature_group,top_k,mean_found,mean_recall,std_recall,num_features
score_only,20,18.6,0.329441744695982,0.024746305318777265,3
score_only,50,30.2,0.5331598909565012,0.009614744574417288,3
score_only,100,41.4,0.7309304255066967,0.04630846051367479,3
score_only,200,52.2,0.9222116866184663,0.050561038921563654,3
score_plus_rank,20,18.4,0.3264714946070878,0.019909060662908686,6
score_plus_rank,50,30.4,0.5360933981272964,0.023803169449288664,6
score_plus_rank,100,41.2,0.7267713642289914,0.03778323561016664,6
score_plus_rank,200,52.2,0.920776342301766,0.053112866036805755,6
physical_only,20,13.6,0.23930544032238948,0.032525063261529555,10
physical_only,50,24.2,0.42442929951404523,0.047428949940736057,10
physical_only,100,35.6,0.6297333175299278,0.06051901324593994,10
physical_only,200,46.6,0.8193184781320374,0.05917645491906591,10
score_plus_physical,20,19.4,0.34478961716249856,0.030524636438002038,9
score_plus_physical,50,38.2,0.6780040298684367,0.05778020950816799,9
score_plus_physical,100,52.4,0.9259215360910276,0.04043672975820845,9
score_plus_physical,200,56.4,0.9961538461538462,0.008600261451922291,9
all_safe_features,20,19.2,0.3409434633163447,0.0249555175272174,18
all_safe_features,50,39.4,0.6974813322270949,0.044747285320984244,18
all_safe_features,100,53.2,0.9399407372288728,0.03345171452711477,18
all_safe_features,200,56.4,0.9961538461538462,0.008600261451922291,18
no_line_identity_features,20,18.6,0.3294050017778831,0.014615150032700898,18
no_line_identity_features,50,38.8,0.6885634704278771,0.053993322141434597,18
no_line_identity_features,100,52.2,0.9217257318952233,0.029306602484831967,18
no_line_identity_features,200,56.6,1.0,0.0,18
no_rank_features,20,18.8,0.3334609458338272,0.024842732551106222,14
no_rank_features,50,36.8,0.6524131800402987,0.05699880301264278,14
no_rank_features,100,53.0,0.9376697878392793,0.033060198218825616,14
no_rank_features,200,56.2,0.9932203389830508,0.015159782898303664,14
no_lodf_score,20,18.6,0.33028090553514283,0.03388561109858459,16
no_lodf_score,50,34.8,0.6173817707716013,0.04932923996582691,16
no_lodf_score,100,48.4,0.854666350598554,0.03559069733886727,16
no_lodf_score,200,55.0,0.9723479909920588,0.01948659764825936,16
