line_label,relay_trip_count
L128,146
L102,128
L060,121
L155,120
L115,116
L182,114
L178,110
L045,108
L156,108
L111,107
L158,106
L140,104
L109,102
L169,100
L046,99
L179,99
L134,98
L153,98
L160,98
L150,96
L154,96
L113,95
L044,89
L065,82
L104,82
L110,81
L019,69
L018,63
L030,35
L157,35
L078,25
L057,23
L056,22
L082,22
L149,22
L186,22
L077,20
L054,17
L159,17
L112,16
L015,15
L095,14
L020,13
L040,9
L091,9
L014,8
L025,8
L022,6
L039,6
L048,6
L114,6
L024,5
L026,5
L058,5
L064,5
L092,5
L126,5
L127,5
L148,5
L017,4
L180,4
L001,3
L037,3
L043,3
L073,3
L074,3
L120,3
L032,2
L059,2
L061,2
L063,2
L080,2
L089,2
L106,2
L012,1
L027,1
L052,1
L053,1
L055,1
L079,1
L081,1
L084,1
L129,1
