metric,split,seed,num_lines,num_n1_critical,average_precision
iterative_num_relay_trips,validation,20261101,186,7,0.3624990092839669
iterative_num_relay_trips,validation,20261102,186,10,0.19570333640202384
iterative_num_relay_trips,validation,20261103,186,7,0.1474202106596975
iterative_num_relay_trips,validation,20261104,186,10,0.32123424282854235
iterative_num_relay_trips,validation,20261105,186,9,0.19843754540173475
iterative_num_relay_trips,validation,20261106,186,9,0.3888137830186615
iterative_num_relay_trips,validation,20261107,186,7,0.12003484791244803
iterative_num_relay_trips,validation,20261108,186,7,0.1007044796295058
iterative_num_relay_trips,test,20260708,186,9,0.2084440411447267
iterative_max_event_loading_ratio,validation,20261101,186,7,0.12502213844319107
iterative_max_event_loading_ratio,validation,20261102,186,10,0.15352243834596774
iterative_max_event_loading_ratio,validation,20261103,186,7,0.398231896150875
iterative_max_event_loading_ratio,validation,20261104,186,10,0.1709386078226658
iterative_max_event_loading_ratio,validation,20261105,186,9,0.22011428806044955
iterative_max_event_loading_ratio,validation,20261106,186,9,0.4490029604827469
iterative_max_event_loading_ratio,validation,20261107,186,7,0.2532105149752209
iterative_max_event_loading_ratio,validation,20261108,186,7,0.2266836578236236
iterative_max_event_loading_ratio,test,20260708,186,9,0.36599451922032566
iterative_composite_score,validation,20261101,186,7,0.49908026755852836
iterative_composite_score,validation,20261102,186,10,0.31699991674991673
iterative_composite_score,validation,20261103,186,7,0.49760711302064686
iterative_composite_score,validation,20261104,186,10,0.5157537986704652
iterative_composite_score,validation,20261105,186,9,0.35314258873580906
iterative_composite_score,validation,20261106,186,9,0.6202180535513869
iterative_composite_score,validation,20261107,186,7,0.2847446032228641
iterative_composite_score,validation,20261108,186,7,0.17478731544616594
iterative_composite_score,test,20260708,186,9,0.5292622809289476
