candidate_evaluations,critical_paths_found,relay_cascade_paths_found,captured_load_shed_mw,critical_recall,relay_cascade_recall,query_precision
1,0,0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0
3,0,0,0.0,0.0,0.0,0.0
4,0,0,0.0,0.0,0.0,0.0
5,0,0,0.0,0.0,0.0,0.0
6,0,0,0.0,0.0,0.0,0.0
7,0,0,0.0,0.0,0.0,0.0
8,0,0,0.0,0.0,0.0,0.0
9,0,0,0.0,0.0,0.0,0.0
10,0,0,0.0,0.0,0.0,0.0
11,0,0,0.0,0.0,0.0,0.0
12,0,0,0.0,0.0,0.0,0.0
13,0,0,0.0,0.0,0.0,0.0
14,0,0,0.0,0.0,0.0,0.0
15,0,0,0.0,0.0,0.0,0.0
16,0,0,0.0,0.0,0.0,0.0
17,0,0,0.0,0.0,0.0,0.0
18,0,0,0.0,0.0,0.0,0.0
19,0,0,0.0,0.0,0.0,0.0
20,0,0,0.0,0.0,0.0,0.0
21,0,0,0.0,0.0,0.0,0.0
22,0,0,0.0,0.0,0.0,0.0
23,0,0,0.0,0.0,0.0,0.0
24,0,0,0.0,0.0,0.0,0.0
25,0,0,0.0,0.0,0.0,0.0
26,0,0,0.0,0.0,0.0,0.0
27,0,0,0.0,0.0,0.0,0.0
28,0,0,0.0,0.0,0.0,0.0
29,0,0,0.0,0.0,0.0,0.0
30,0,0,0.0,0.0,0.0,0.0
31,1,1,45.91791279076193,0.0005359056806002144,0.0005793742757821553,0.03225806451612903
32,2,2,91.83582558152386,0.0010718113612004287,0.0011587485515643105,0.0625
33,3,2,137.7537383722858,0.001607717041800643,0.0011587485515643105,0.09090909090909091
34,4,2,183.67165116304773,0.0021436227224008574,0.0011587485515643105,0.11764705882352941
35,5,2,229.58956395380966,0.0026795284030010718,0.0011587485515643105,0.14285714285714285
36,6,2,265.6494315335115,0.003215434083601286,0.0011587485515643105,0.16666666666666666
37,7,2,301.7092991132134,0.0037513397642015005,0.0011587485515643105,0.1891891891891892
38,8,2,337.76916669291523,0.004287245444801715,0.0011587485515643105,0.21052631578947367
39,9,2,373.8290342726171,0.00482315112540193,0.0011587485515643105,0.23076923076923078
40,10,2,409.88890185231895,0.0053590568060021436,0.0011587485515643105,0.25
41,11,2,443.889256229634,0.005894962486602358,0.0011587485515643105,0.2682926829268293
42,12,2,477.889610606949,0.006430868167202572,0.0011587485515643105,0.2857142857142857
43,13,2,511.88996498426405,0.006966773847802787,0.0011587485515643105,0.3023255813953488
44,14,2,545.890319361579,0.007502679528403001,0.0011587485515643105,0.3181818181818182
45,15,2,579.8906737388941,0.008038585209003215,0.0011587485515643105,0.3333333333333333
46,15,2,579.8906737388941,0.008038585209003215,0.0011587485515643105,0.32608695652173914
47,15,2,579.8906737388941,0.008038585209003215,0.0011587485515643105,0.3191489361702128
48,15,2,579.8906737388941,0.008038585209003215,0.0011587485515643105,0.3125
49,15,2,579.8906737388941,0.008038585209003215,0.0011587485515643105,0.30612244897959184
50,15,2,579.8906737388941,0.008038585209003215,0.0011587485515643105,0.3
51,16,2,600.8719158478174,0.00857449088960343,0.0011587485515643105,0.3137254901960784
52,17,2,621.8531579567407,0.009110396570203644,0.0011587485515643105,0.3269230769230769
