scenario_id,seed,path,first_line,second_line,converged,critical,total_load_shed_mw,island_load_shed_mw,redispatch_load_shed_mw,final_max_loading_ratio,final_outage_labels,num_final_outages,max_event_loading_ratio,max_pre_redispatch_loading_ratio,num_relay_trips,relay_trip_labels,num_passive_outages,has_overload_cascade,critical_mechanism,error,first_step_critical,first_step_total_load_shed_mw,valid_ordered_n2,skip_reason,truth_critical,truth_relay_cascade,truth_total_load_shed_mw
1,20260709,L121->L125,L121,L125,True,True,110.69046384449965,110.69046384449965,0.0,1.0000000000000095,"L018,L060,L111,L115,L121,L125,L134,L140,L155,L178,L182",11,4.110717652163256,4.110717652163256,8,"L018,L060,L111,L115,L134,L140,L178,L182",9,True,relay_cascade,,False,0.0,True,,True,True,110.69046384449965
1,20260709,L125->L121,L125,L121,True,True,110.69046384449965,110.69046384449965,0.0,1.0000000000000095,"L018,L060,L111,L115,L121,L125,L134,L140,L155,L178,L182",11,4.110717652163256,4.110717652163256,8,"L018,L060,L111,L115,L134,L140,L178,L182",9,True,relay_cascade,,False,0.0,True,,True,True,110.69046384449965
1,20260709,L062->L068,L062,L068,True,True,87.12762375174309,87.12762375174309,0.0,1.000000000000001,"L018,L060,L062,L068,L111,L115,L134,L140,L155,L178,L182",11,72.8164726340288,72.8164726340288,8,"L018,L111,L115,L134,L140,L155,L178,L182",9,True,relay_cascade,,False,0.0,True,,True,True,87.12762375174309
1,20260709,L068->L062,L068,L062,True,True,87.12762375174309,87.12762375174309,0.0,1.000000000000001,"L018,L060,L062,L068,L111,L115,L134,L140,L155,L178,L182",11,72.81647263402884,72.81647263402884,8,"L018,L111,L115,L134,L140,L155,L178,L182",9,True,relay_cascade,,False,0.0,True,,True,True,87.12762375174309
1,20260709,L136->L137,L136,L137,True,True,78.93871603701662,78.93871603701662,0.0,1.0,"L018,L060,L111,L115,L128,L134,L136,L137,L149,L155,L156,L158,L178,L182",14,4.114321665231976,4.114321665231976,11,"L018,L060,L111,L115,L128,L134,L149,L156,L158,L178,L182",12,True,relay_cascade,,False,0.0,True,,True,True,78.93871603701662
1,20260709,L138->L139,L138,L139,True,True,78.02474628903639,78.02474628903639,0.0,1.000000000000001,"L018,L060,L111,L115,L134,L138,L139,L140,L143,L155,L178,L182",12,7.074840199615969,7.074840199615969,10,"L018,L060,L111,L115,L134,L140,L143,L155,L178,L182",10,True,relay_cascade,,False,0.0,True,,True,True,78.02474628903639
1,20260709,L121->L122,L121,L122,True,True,69.68086723875835,69.68086723875835,0.0,1.0000000000000002,"L018,L060,L111,L115,L121,L122,L134,L140,L155,L178,L182",11,4.149574148129803,4.149574148129803,8,"L018,L060,L111,L115,L134,L140,L178,L182",9,True,relay_cascade,,False,0.0,True,,True,True,69.68086723875835
1,20260709,L122->L121,L122,L121,True,True,69.68086723875835,69.68086723875835,0.0,1.0000000000000002,"L018,L060,L111,L115,L121,L122,L134,L140,L155,L178,L182",11,72.51730380966053,72.51730380966053,9,"L018,L060,L111,L115,L134,L140,L155,L178,L182",9,True,relay_cascade,,False,0.0,True,,True,True,69.68086723875835
1,20260709,L071->L074,L071,L074,True,True,67.1986238237721,67.1986238237721,0.0,1.0000000000000009,"L018,L060,L071,L074,L082,L111,L115,L134,L140,L155,L178,L182",12,73.62547663127508,73.62547663127508,10,"L018,L060,L082,L111,L115,L134,L140,L155,L178,L182",10,True,relay_cascade,,False,0.0,True,,True,True,67.1986238237721
1,20260709,L074->L071,L074,L071,True,True,67.1986238237721,67.1986238237721,0.0,1.0000000000000009,"L018,L060,L071,L074,L082,L111,L115,L134,L140,L155,L178,L182",12,73.62547663127516,73.62547663127516,10,"L018,L060,L082,L111,L115,L134,L140,L155,L178,L182",10,True,relay_cascade,,False,0.0,True,,True,True,67.1986238237721
