target_name,positive_weight,epoch,train_loss,overall_accuracy,hit_rate,cover_rate,precision,recall,f1,average_precision,roc_auc,mean_positive_score,mean_negative_score,positive_negative_score_gap,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,true_positive,true_negative,false_positive,false_negative,num_labels,num_positive_labels
critical_count_top10,20.0,1,2.519829034805298,0.8688524590163934,0.0,0.0,0.0,0.0,0.0,0.11522810300302429,0.43915343915343913,0.3950603689466204,0.40425960609206446,-0.009199237145444072,0.01639344262295082,0.0,0,53,1,7,61,7
critical_count_top10,20.0,2,2.4491825103759766,0.819672131147541,0.0,0.0,0.0,0.0,0.0,0.10721749295592431,0.4074074074074074,0.4171775962625231,0.42866990908428476,-0.011492312821761663,0.06557377049180328,0.0,0,50,4,7,61,7
critical_count_top10,20.0,3,2.366685628890991,0.7868852459016393,0.0,0.0,0.0,0.0,0.0,0.10917154523556118,0.42063492063492064,0.44119799562862944,0.45552384080710234,-0.014325845178472907,0.09836065573770492,0.0,0,48,6,7,61,7
critical_count_top10,20.0,4,2.28354549407959,0.6557377049180327,0.0,0.0,0.0,0.0,0.0,0.1017581942630738,0.3915343915343915,0.46723360674721853,0.48458908056771316,-0.017355473820494627,0.22950819672131148,0.0,0,40,14,7,61,7
critical_count_top10,20.0,5,2.203157424926758,0.4262295081967213,0.1111111111111111,0.5714285714285714,0.1111111111111111,0.5714285714285714,0.18604651162790697,0.10064476667860126,0.3862433862433862,0.495652620281492,0.5155231649125064,-0.019870544631014397,0.5901639344262295,0.0,4,22,32,3,61,7
critical_count_top10,20.0,6,2.126931667327881,0.22950819672131148,0.11538461538461539,0.8571428571428571,0.11538461538461539,0.8571428571428571,0.20338983050847456,0.10077364386288871,0.3862433862433862,0.526614955493382,0.5482757770352893,-0.021660821541907294,0.8524590163934426,0.0,6,8,46,1,61,7
critical_count_top10,20.0,7,2.0566823482513428,0.16393442622950818,0.10714285714285714,0.8571428571428571,0.10714285714285714,0.8571428571428571,0.19047619047619047,0.10001947506919628,0.3835978835978836,0.5599684332098279,0.5822685912803367,-0.02230015807050878,0.9180327868852459,0.0,6,4,50,1,61,7
critical_count_top10,20.0,8,1.9952973127365112,0.16393442622950818,0.1206896551724138,1.0,0.1206896551724138,1.0,0.21538461538461542,0.10188550144418075,0.3941798941798942,0.594890126160213,0.6167513038273211,-0.021861177667108156,0.9508196721311475,0.0,7,3,51,0,61,7
critical_count_top10,20.0,9,1.9463865756988525,0.14754098360655737,0.11864406779661017,1.0,0.11864406779661017,1.0,0.21212121212121215,0.10280526044645645,0.3994708994708995,0.6304294637271336,0.6503842798648057,-0.019954816137672138,0.9672131147540983,0.0,7,2,52,0,61,7
critical_count_top10,20.0,10,1.9125772714614868,0.11475409836065574,0.11475409836065574,1.0,0.11475409836065574,1.0,0.2058823529411765,0.10497308247308247,0.4074074074074074,0.6646519814218793,0.681651027114303,-0.01699904569242372,1.0,0.04918032786885246,7,0,54,0,61,7
critical_count_top10,20.0,11,1.8961504697799683,0.11475409836065574,0.11475409836065574,1.0,0.11475409836065574,1.0,0.2058823529411765,0.10942954657019231,0.42857142857142855,0.6956192425319127,0.7084744009706709,-0.012855158438758285,1.0,0.11475409836065574,7,0,54,0,61,7
critical_count_top10,20.0,12,1.895538091659546,0.11475409836065574,0.11475409836065574,1.0,0.11475409836065574,1.0,0.2058823529411765,0.11590747410075142,0.455026455026455,0.7212370038032532,0.7290037958710281,-0.007766792067774975,1.0,0.22950819672131148,7,0,54,0,61,7
critical_count_top10,20.0,13,1.9051252603530884,0.11475409836065574,0.11475409836065574,1.0,0.11475409836065574,1.0,0.2058823529411765,0.1227214220248276,0.48412698412698413,0.7399352022579738,0.7423175429856336,-0.0023823407276597486,1.0,0.26229508196721313,7,0,54,0,61,7
