key,value
diagnosis_scope,spp001_sim_stage_diagnostic_retry
gcn_training_run,False
formal_gcn_audit_rerun,False
selected_32_batch_executed,False
full_1056_generation_run,False
labels_exported,False
formal_labels_exported,False
reranker_retrained,False
production_model_saved,False
source_timeout_diagnosis_commit,b858bbf5085324ebee6e7d96f1a0216d8f1aca60
pair_id,SPP001
state_id,single_outage_state_L15
prior_outaged_branch,L15
candidate_next_branch,L04
planned_contingency_sequence,L15;L04
selection_bucket,high_relay_ratio_pairs
same_wrapper_confirmed,True
previous_likely_timeout_stage,phase_sim_start
previous_execution_status,timeout
previous_python_timeout_seconds,180
sim_stage_diagnostic_attempted,True
execution_status,timeout
single_pair_executed,False
simulink_run,True
phase_sim_start_seen,True
phase_sim_done_seen,False
last_seen_phase_if_available,phase_sim_start
sim_elapsed_seconds_if_available,
python_timeout_seconds,600
matlab_timeout_seconds_if_available,540
simulation_stop_time_seconds,1.2
simulation_mode,normal
fast_restart,False
pilot_label_value,
pilot_label_status,timeout
pilot_label_available,False
pilot_labels_are_formal_training_labels,False
no_formal_label_generated,True
raw_trajectories_committed,False
full_timeseries_committed,False
mat_files_committed,False
slx_files_committed,False
slxc_files_committed,False
slprj_committed,False
local_bridge_committed,False
source_slx_modified,False
bus_fault_labels_used,False
line_trip_labels_first_priority,True
l12_special_case_preserved,True
nf06_warning_preserved,True
forbidden_features_detected_in_inputs,[]
no_leakage_policy_passed,True
should_train_gcn_now,False
should_export_formal_labels_now,False
should_retrain_reranker_now,False
should_deploy_model,False
blocker_if_any,Python MATLAB wrapper timeout after 600s: IEEE39_SELECTED_PAIR_PHASE:phase_start_matlab_entrypoint:0.044 IEEE39_SELECTED_PAIR_PHASE:phase_manifest_loaded:1.176 IEEE39 Simulink file-generation folders: cache: C:\ieee39_codegen\cache codegen: C:\ieee39_codegen\codegen IEEE39_SELECTED_PAIR_PHASE:phase_file_generation_folder_configured:4.115 IEEE39_SELECTED_PAIR_PHASE:phase_model_load_start:4.118 IEEE39 Simulink file-generation folders: cache: C:\ieee39_codegen\cache codegen: C:\ieee39_codegen\codegen IEEE39_SELECTED_PAIR_PHASE:phase_model_load_done:6.383 IEEE39_SELECTED_PAIR_PHASE:phase_trip_command_set_start:6.388 IEEE39_SELECTED_PAIR_PHASE:phase_trip_command_set_done:6.411 IEEE39_SELECTED_PAIR_PHASE:phase_update_diagram_start:6.412 IEEE39 Simulink file-generation folders: cache: C:\ieee39_codegen\cache codegen: C:\ieee39_codegen\codegen IEEE39_SELECTED_PAIR_PHASE:phase_update_diagram_done:70.143 IEEE39_SELECTED_PAIR_PHASE:phase_sim_start:70.146 IEEE39 Simulink file-generation folders: cache: C:\ieee39_codegen\cache codegen: C:\ieee39_codegen\codegen [����: First solve for initial conditions failed to converge. Trying again with all high priorities relaxed to low.] [> λ�ã�run_ieee39_selected_pair_line_trip_sequence>exe...
recommended_next_step,inspect Simulink solver/runtime settings for SPP001 bridge before any broader execution
