method,acquisition_seed,active_round,queried_training_labels,queried_training_label_fraction,queried_positive_labels,validation_average_precision,test_average_precision,risk_calibration_feasible,risk_calibration_upper_risk,test_verification_budget_ratio,test_verification_positive_recall
entropy,20260730,0,200,0.0096047639629256,2,0.0137519107571722,0.0091857628768824,True,0.048159905937684,0.9933093525179856,0.9837837837837838
entropy,20260731,0,200,0.0096047639629256,0,0.0179951921263007,0.0125125866058013,True,0.047748383303936,0.9183453237410072,0.9621621621621622
entropy,20260732,0,200,0.0096047639629256,5,0.0209893957867596,0.0153323261828511,True,0.0445091122868849,0.9902158273381296,0.9837837837837838
entropy,20260733,0,200,0.0096047639629256,2,0.0486177977407439,0.039133162051227,True,0.0440270429159263,0.8394244604316546,0.9351351351351352
entropy,20260734,0,200,0.0096047639629256,4,0.0456782064913743,0.034639564975078,True,0.044509112286884,0.991726618705036,0.9891891891891892
physics_kcenter,20260730,0,200,0.0096047639629256,5,0.1969322050162576,0.0799483217774327,True,0.048159905937684,0.8017985611510792,0.8162162162162162
physics_kcenter,20260731,0,200,0.0096047639629256,5,0.0239139796067634,0.0193191898735278,True,0.0497589653145157,0.8784892086330935,0.9513513513513514
physics_kcenter,20260732,0,200,0.0096047639629256,6,0.0541611326736252,0.0321222857246998,True,0.0482480893591973,0.7729496402877698,0.8864864864864865
physics_kcenter,20260733,0,200,0.0096047639629256,5,0.0884914624826621,0.035937314542455,True,0.0486067019400342,0.7575539568345324,0.9027027027027028
physics_kcenter,20260734,0,200,0.0096047639629256,5,0.1032178368454612,0.0431885862184123,True,0.0485831863609632,0.8133812949640288,0.9243243243243244
pmf_bal,20260730,0,200,0.0096047639629256,5,0.1969322050162576,0.0799483217774327,True,0.048159905937684,0.8017985611510792,0.8162162162162162
pmf_bal,20260731,0,200,0.0096047639629256,5,0.0239139796067634,0.0193191898735278,True,0.0497589653145157,0.8784892086330935,0.9513513513513514
pmf_bal,20260732,0,200,0.0096047639629256,6,0.0541611326736252,0.0321222857246998,True,0.0482480893591973,0.7729496402877698,0.8864864864864865
pmf_bal,20260733,0,200,0.0096047639629256,5,0.0884914624826621,0.035937314542455,True,0.0486067019400342,0.7575539568345324,0.9027027027027028
pmf_bal,20260734,0,200,0.0096047639629256,5,0.1032178368454612,0.0431885862184123,True,0.0485831863609632,0.8133812949640288,0.9243243243243244
random,20260730,0,200,0.0096047639629256,2,0.0137519107571722,0.0091857628768824,True,0.048159905937684,0.9933093525179856,0.9837837837837838
random,20260731,0,200,0.0096047639629256,0,0.0179951921263007,0.0125125866058013,True,0.047748383303936,0.9183453237410072,0.9621621621621622
random,20260732,0,200,0.0096047639629256,5,0.0209893957867596,0.0153323261828511,True,0.0445091122868849,0.9902158273381296,0.9837837837837838
random,20260733,0,200,0.0096047639629256,2,0.0486177977407439,0.039133162051227,True,0.0440270429159263,0.8394244604316546,0.9351351351351352
random,20260734,0,200,0.0096047639629256,4,0.0456782064913743,0.034639564975078,True,0.044509112286884,0.991726618705036,0.9891891891891892
entropy,20260730,1,300,0.0144071459443884,3,0.0149851043033461,0.0106357041049563,True,0.0480364491475581,0.9920143884892086,0.9891891891891892
entropy,20260731,1,300,0.0144071459443884,1,0.0191551633627309,0.011831074522998,True,0.0469253380364466,0.840863309352518,0.8918918918918919
entropy,20260732,1,300,0.0144071459443884,6,0.0339532791414199,0.0308509355123362,True,0.0461493239270961,0.9735971223021582,1.0
entropy,20260733,1,300,0.0144071459443884,33,0.0586989397288573,0.0402947382468344,True,0.04473838918283,0.8187769784172662,0.9351351351351352
entropy,20260734,1,300,0.0144071459443884,21,0.1408352027337366,0.0867114320012079,True,0.0443856554967605,0.9899280575539569,0.9837837837837838
physics_kcenter,20260730,1,300,0.0144071459443884,5,0.1969322050162576,0.0799483217774327,True,0.048159905937684,0.8017985611510792,0.8162162162162162
physics_kcenter,20260731,1,300,0.0144071459443884,5,0.0434895618760666,0.0496195313393993,True,0.0482892416225698,0.8074820143884892,0.945945945945946
physics_kcenter,20260732,1,300,0.0144071459443884,6,0.1001099676699567,0.0542156157331727,True,0.0438859494415053,0.7761151079136691,0.918918918918919
physics_kcenter,20260733,1,300,0.0144071459443884,5,0.1010115876590725,0.0422443795321011,True,0.0442445620223385,0.8484892086330935,0.945945945945946
physics_kcenter,20260734,1,300,0.0144071459443884,5,0.1122913353590891,0.0438062237866835,True,0.0455202821869477,0.8272661870503597,0.9405405405405406
pmf_bal,20260730,1,300,0.0144071459443884,9,0.1969322050162576,0.0799483217774327,True,0.048159905937684,0.8017985611510792,0.8162162162162162
pmf_bal,20260731,1,300,0.0144071459443884,8,0.0803794624940101,0.0633781413906288,True,0.0493180482069336,0.7826618705035971,0.9405405405405406
pmf_bal,20260732,1,300,0.0144071459443884,19,0.1183466066789383,0.0521032385653683,True,0.0470958259847146,0.7709352517985611,0.8864864864864865
pmf_bal,20260733,1,300,0.0144071459443884,9,0.1006057000398132,0.043031734212163,True,0.0469606114050543,0.8539568345323741,0.9513513513513514
pmf_bal,20260734,1,300,0.0144071459443884,11,0.1152570340775154,0.0526459016381302,True,0.0480893592004681,0.8558992805755395,0.9351351351351352
random,20260730,1,300,0.0144071459443884,3,0.0184863871066903,0.0117308679490324,True,0.0491358024691346,0.8516546762589928,0.8324324324324325
