state_id,state_type,prior_outaged_branch,prior_outaged_from_bus,prior_outaged_to_bus,x_t_vector_ready,x_t_outaged_index,candidate_next_branches,num_candidate_next_branches,l12_in_prior_state,l12_special_handling,eligible_for_label_generation,exclusion_reason_if_any
single_outage_state_L01,single_outage_state,L01,B1,B2,True,0,L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L02,single_outage_state,L02,B10,B11,True,1,L01;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L03,single_outage_state,L03,B10,B13,True,2,L01;L02;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L04,single_outage_state,L04,B11,B6,True,3,L01;L02;L03;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L05,single_outage_state,L05,B13,B14,True,4,L01;L02;L03;L04;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L06,single_outage_state,L06,B14,B15,True,5,L01;L02;L03;L04;L05;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L07,single_outage_state,L07,B15,B16,True,6,L01;L02;L03;L04;L05;L06;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L08,single_outage_state,L08,B16,B17,True,7,L01;L02;L03;L04;L05;L06;L07;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L09,single_outage_state,L09,B16,B24,True,8,L01;L02;L03;L04;L05;L06;L07;L08;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L10,single_outage_state,L10,B17,B27,True,9,L01;L02;L03;L04;L05;L06;L07;L08;L09;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L11,single_outage_state,L11,B18,B17,True,10,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L12,single_outage_state,L12,B19,B16,True,11,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,True,prior L12 outage remains special/excluded,False,L12 special islanding-timeout case preserved; not an ordinary training state
single_outage_state_L13,single_outage_state,L13,B2,B25,True,12,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L14,single_outage_state,L14,B21,B16,True,13,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L15,single_outage_state,L15,B21,B22,True,14,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L16,single_outage_state,L16,B23,B22,True,15,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L17,single_outage_state,L17,B23,B24,True,16,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L18,single_outage_state,L18,B25,B26,True,17,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L19,single_outage_state,L19,B26,B28,True,18,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L20,single_outage_state,L20,B26,B29,True,19,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L21,single_outage_state,L21,B27,B26,True,20,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L22,single_outage_state,L22,B28,B29,True,21,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L23,single_outage_state,L23,B3,B18,True,22,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L24,single_outage_state,L24,B3,B2,True,23,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L25,single_outage_state,L25,B39,B1,True,24,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L26;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L26,single_outage_state,L26,B4,B14,True,25,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L27;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L27,single_outage_state,L27,B4,B3,True,26,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L28;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
single_outage_state_L28,single_outage_state,L28,B5,B4,True,27,L01;L02;L03;L04;L05;L06;L07;L08;L09;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L29;L30;L31;L32;L33;L34,33,False,L12 candidate remains special/excluded,True,
