key,value
dry_run_scope,paper_aligned_branch_gcn_redesign_dry_run
gcn_training_run,False
formal_gcn_audit_rerun,False
simulink_run,False
labels_exported,False
reranker_retrained,False
production_model_saved,False
source_evidence_diagnosis_commit,945f9028235a3b8d7ec6011bf7d9314150198200
source_audit_gcn_dependency_status,torch_and_torch_geometric_available
paper_graph_node_type,branch
paper_graph_edge_rule,shared_endpoint_bus
previous_repo_graph_type,candidate_similarity_graph
previous_candidate_as_node_design_deprecated,True
proposed_graph_type,branch_as_node_physical_line_graph
can_build_branch_line_graph,True
no_leakage_feature_policy_passed,True
can_build_required_paper_features,False
can_build_paper_labels_from_existing_data,False
bus_fault_labels_directly_paper_aligned,False
line_trip_labels_first_priority,True
forbidden_features_detected_in_inputs,[]
final_engineering_conclusion,False
should_train_gcn_now,False
should_rerun_formal_audit_now,False
should_retrain_reranker_now,False
should_deploy_model,False
blocker_if_any,"verified pre-fault/current-state branch flow, line limit, and bus load sources are incomplete; paper-style branch vulnerability label generator is not available yet"
recommended_next_step,"add verified pre-fault/current-state branch flow, line limit, and bus load sources first"
detected_num_branch_nodes,34
detected_num_buses,39
l12_mapping_status,"{""line_id"": ""L12"", ""mapping_found"": true, ""from_bus"": ""B19"", ""to_bus"": ""B16"", ""status_note"": ""L12 remains the previously documented islanding/timeout special case; this dry-run does not change old formal gates.""}"
previous_audit_conclusion,audit evidence does not support GCN usefulness over simpler baselines yet
