key,value
dry_run_scope,ieee39_static_operating_point_feature_source_dry_run
gcn_training_run,False
formal_gcn_audit_rerun,False
simulink_run,False
labels_exported,False
reranker_retrained,False
production_model_saved,False
source_feature_dry_run_commit,8deeab9b37c1033dc957736981119705977b4473
paper_graph_node_type,branch
paper_graph_edge_rule,shared_endpoint_bus
branch_line_graph_ready,True
num_branch_nodes,34
selected_case_source,pypower.case39
selected_case_source_trust_level,standard_installed_case_loader_static_pre_fault
dc_pf_run_this_round,True
branch_flow_source_ready,True
line_limit_source_ready,True
relay_threshold_source_ready,False
relay_threshold_proxy_proposed,True
relay_threshold_proxy_allowed_for_training_now,False
bus_load_source_ready,True
can_build_l01_l34_static_feature_matrix,False
can_build_required_paper_features_without_proxy,False
can_build_required_paper_features_with_documented_proxy,True
forbidden_features_detected_in_inputs,[]
no_leakage_static_feature_policy_passed,True
l12_special_case_preserved,True
final_engineering_conclusion,False
should_train_gcn_now,False
should_rerun_formal_audit_now,False
should_retrain_reranker_now,False
should_deploy_model,False
blocker_if_any,relay threshold is available only as an unapproved beta * RATE_A proxy proposal
recommended_next_step,document and approve relay threshold proxy before paper-style label generator
