split,sample_type,num_state_samples,num_candidate_labels,num_positive_labels,positive_ratio
train,S0,71,7020,6130,0.8732193732193733
train,S1,7020,1232432,13501,0.01095476261570618
train,all,7091,1239452,19631,0.015838451186492096
validation,S0,8,800,687,0.85875
validation,S1,800,140319,1488,0.010604408526286533
validation,all,808,141119,2175,0.015412524181718975
test,S0,1,100,74,0.74
test,S1,100,17432,165,0.009465351078476365
test,all,101,17532,239,0.013632215377595255
all,S0,80,7920,6891,0.8700757575757576
all,S1,7920,1390183,15154,0.01090072314220502
all,all,8000,1398103,22045,0.01576779393220671
