path,first_line,second_line,dynamic_unstable,dynamic_stress_score,min_frequency_hz,min_voltage_pu,max_rotor_angle_separation_deg,relay_trip_count,breaker_trip_count
L01,L01,,True,1.0012927677357324,49.9353616132134,0.977848981006146,63.0811755502974,0,1
L02,L02,,True,0.0011586142645401,49.942069286773,0.971757189150533,60.0159418060852,0,0
L03,L03,,True,0.0008409776513627,49.9579511174319,0.977216383673597,59.1851655492772,0,0
L04,L04,,True,0.0016114698801721,49.9194265059914,0.970568931976294,60.3441340196063,0,0
L05,L05,,True,0.0011299164414124,49.9435041779294,0.976533231451396,59.3996260385128,0,0
L07,L07,,True,0.0012776772463254,49.9659586220781,0.977275712718798,64.2603719421582,0,0
L06,L06,,True,0.0001585597230798,49.992072013846,0.98179500744113,59.4195478404221,0,0
L08,L08,,True,0.001559811272212,49.9220094363894,0.980434812521834,68.693688479008,0,0
L09,L09,,True,0.0005035356831114,49.9748232158444,0.982,58.5226345615503,0,0
L10,L10,,True,0.0004872843571215,49.9772861882411,0.98176631303268,60.2535109876332,0,0
three_phase_fault_clear,three_phase_fault_clear,,True,0.4955861351389326,49.7734452731467,0.413611442715365,100.437168992822,0,0
L01,L01,,True,2.4955861351389323,49.7734452731467,0.413611442715365,100.437168992822,1,1
