target_bus,special_handling,temp_model_exists,fault_block_found,update_diagram_success,automated_evidence_check_passed,human_verified_injection_point,safe_to_run_smoke_recommendation,failed_checks
B1,False,True,True,True,True,True,True,[]
B2,False,True,True,True,True,True,True,[]
B3,False,True,True,True,True,True,True,[]
B4,False,True,True,True,True,True,True,[]
B5,False,True,True,True,True,True,True,[]
B6,False,True,True,True,True,True,True,[]
B7,False,True,True,True,True,True,True,[]
B8,False,True,True,True,True,True,True,[]
B9,False,True,True,True,True,True,True,[]
B10,False,True,True,True,True,True,True,[]
B11,False,True,True,True,True,True,True,[]
B12,False,True,True,True,True,True,True,[]
B13,False,True,True,True,True,True,True,[]
B14,False,True,True,True,True,True,True,[]
B15,False,True,True,True,True,True,True,[]
B17,False,True,True,True,True,True,True,[]
B18,False,True,True,True,True,True,True,[]
B19,False,True,True,True,True,True,True,[]
B20,False,True,True,True,True,True,True,[]
B21,False,True,True,True,True,True,True,[]
B22,False,True,True,True,True,True,True,[]
B23,False,True,True,True,True,True,True,[]
B24,False,True,True,True,True,True,True,[]
B25,False,True,True,True,True,True,True,[]
B27,False,True,True,True,True,True,True,[]
B28,False,True,True,True,True,True,True,[]
B29,False,True,True,True,True,True,True,[]
B30,False,True,True,True,True,True,True,[]
B31,False,True,True,True,True,True,True,[]
B32,False,True,True,True,True,True,True,[]
B33,False,True,True,True,True,True,True,[]
B34,False,True,True,True,True,True,True,[]
B35,False,True,True,True,True,True,True,[]
B36,False,True,True,True,True,True,True,[]
B37,False,True,True,True,True,True,True,[]
B38,False,True,True,True,True,True,True,[]
B16,True,True,True,True,True,True,True,[]
