scenario_id,seed,first_line,first_step_total_load_shed_mw,tier_a_paths,tier_a_critical,tier_a_precision,tier_a_relay_cascade,tier_a_island_only
1,20260708,L016,31.514792047850804,176,176,1.0,167,9
1,20260708,L047,31.300605334860517,176,176,1.0,171,5
1,20260708,L051,36.76716258821504,176,148,0.8409090909090909,148,0
1,20260708,L061,33.88157185629734,176,176,1.0,167,9
1,20260708,L096,36.76716258821504,176,0,0.0,0,0
1,20260708,L147,43.59265123807146,176,176,1.0,174,2
1,20260708,L180,7.272188818003705,176,176,1.0,164,12
1,20260708,L181,20.772296104867053,176,176,1.0,165,11
1,20260708,L183,81.35922639729833,176,176,1.0,169,7
1,20260708,L184,21.648461416338748,176,176,1.0,164,12
