line_label,relay_trip_count
L115,293
L140,289
L111,288
L158,288
L060,287
L045,284
L109,284
L156,284
L018,280
L019,280
L182,279
L110,277
L046,276
L128,276
L134,276
L154,276
L179,276
L178,275
L169,272
L113,271
L102,269
L143,269
L030,268
L160,268
L153,267
L044,266
L155,264
L149,261
L150,257
L054,250
L159,248
L157,244
L056,239
L112,235
L104,205
L148,199
L040,197
L065,153
L057,133
L039,88
L114,88
L082,67
L078,61
L095,60
L186,52
L077,51
L091,39
L020,37
L025,37
L106,33
L130,30
L015,27
L064,27
L126,27
L127,27
L022,26
L129,25
L131,25
L074,24
L026,23
L012,22
L001,20
L063,20
L092,19
L014,17
L062,17
L058,16
L132,16
L024,14
L120,14
L043,13
L105,13
L089,12
L048,10
L055,10
L035,9
L079,9
L080,9
L084,8
L180,8
L037,7
L119,7
L122,7
L053,6
L081,6
L088,6
L101,6
L059,5
L083,5
L135,5
L006,4
L027,4
L032,4
L034,4
L042,4
L002,3
L004,3
L010,3
L017,3
L093,3
L094,3
L146,3
L047,2
L073,2
L075,2
L144,2
L145,2
L151,2
L175,2
L028,1
L029,1
L052,1
L076,1
L090,1
L099,1
L100,1
L117,1
L133,1
L142,1
L162,1
L171,1
L173,1
L185,1
