key,value
execution_scope,selected_single_outage_pilot_pair_execution
gcn_training_run,False
formal_gcn_audit_rerun,False
simulink_run,False
new_simulink_run,False
labels_exported,False
formal_labels_exported,False
reranker_retrained,False
production_model_saved,False
source_dry_run_commit,07d4f7b3a6d40f4695312ff8c9b8e9704b2facac
selected_pair_count,32
executed_pair_count,0
succeeded_pair_count,0
failed_pair_count,0
timeout_pair_count,0
unknown_pair_count,32
pilot_label_available_count,0
pilot_positive_count,0
pilot_negative_count,0
pilot_unknown_count,32
pilot_excluded_count,0
raw_trajectories_committed,False
full_timeseries_committed,False
mat_files_committed,False
bus_fault_labels_used,False
line_trip_labels_first_priority,True
l12_special_case_preserved,True
nf06_warning_preserved,True
forbidden_features_detected_in_inputs,[]
no_leakage_policy_passed,True
pilot_labels_are_formal_training_labels,False
final_engineering_conclusion,False
should_train_gcn_now,False
should_rerun_formal_audit_now,False
should_export_formal_labels_now,False
should_retrain_reranker_now,False
should_deploy_model,False
blocker_if_any,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated
recommended_next_step,"fix controlled execution environment or run selected pair execution locally, then rerun evidence collection"
source_dry_run_pair_count,32
approved_selected_pairs_only,True
feature_matrix_rows_available,34
prior_no_leakage_policy_passed,True
