pair_id,state_id,prior_outaged_branch,candidate_next_branch,planned_contingency_sequence,selection_bucket,execution_status,pilot_label_value,pilot_label_status,dynamic_stress_score_if_available,unstable_flag_if_available,instability_or_risk_reason,timeout_or_failure_reason,evidence_source,raw_trajectory_committed,full_timeseries_committed,mat_file_committed,bus_fault_label_used,l12_special_case_flag,notes
SPP001,single_outage_state_L15,L15,L04,L15;L04,high_relay_ratio_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP002,single_outage_state_L04,L04,L15,L04;L15,high_relay_ratio_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP003,single_outage_state_L24,L24,L04,L24;L04,high_relay_ratio_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP004,single_outage_state_L04,L04,L24,L04;L24,high_relay_ratio_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP005,single_outage_state_L24,L24,L15,L24;L15,high_relay_ratio_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP006,single_outage_state_L15,L15,L24,L15;L24,high_relay_ratio_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP007,single_outage_state_L22,L22,L17,L22;L17,high_relay_ratio_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP008,single_outage_state_L17,L17,L22,L17;L22,high_relay_ratio_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP009,single_outage_state_L02,L02,L17,L02;L17,high_relay_ratio_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP010,single_outage_state_L17,L17,L02,L17;L02,high_relay_ratio_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP011,single_outage_state_L03,L03,L02,L03;L02,shared_bus_neighbor_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP012,single_outage_state_L02,L02,L03,L02;L03,shared_bus_neighbor_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP013,single_outage_state_L26,L26,L05,L26;L05,shared_bus_neighbor_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP014,single_outage_state_L05,L05,L26,L05;L26,shared_bus_neighbor_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP015,single_outage_state_L14,L14,L07,L14;L07,shared_bus_neighbor_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP016,single_outage_state_L07,L07,L14,L07;L14,shared_bus_neighbor_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP017,single_outage_state_L05,L05,L03,L05;L03,shared_bus_neighbor_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP018,single_outage_state_L03,L03,L05,L03;L05,shared_bus_neighbor_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP019,single_outage_state_L14,L14,L08,L14;L08,shared_bus_neighbor_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP020,single_outage_state_L08,L08,L14,L08;L14,shared_bus_neighbor_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP021,single_outage_state_L10,L10,L33,L10;L33,non_neighbor_control_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP022,single_outage_state_L33,L33,L10,L33;L10,non_neighbor_control_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP023,single_outage_state_L10,L10,L34,L10;L34,non_neighbor_control_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP024,single_outage_state_L34,L34,L10,L34;L10,non_neighbor_control_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP025,single_outage_state_L06,L06,L33,L06;L33,non_neighbor_control_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP026,single_outage_state_L33,L33,L06,L33;L06,non_neighbor_control_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
SPP027,single_outage_state_L06,L06,L34,L06;L34,non_neighbor_control_pairs,blocked,,blocked,,,,controlled Simulink execution backend is not available in this audit runner; no pilot labels were generated,blocked_controlled_execution_runner,False,False,False,False,False,pilot-only evidence row; not a formal training label
