source_role,model,block_path,port_kind,port_handle,line_handle,connected,neighbor_blocks,is_physical_conserving_port
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B11 to B6,LConn,3369.00036621094,4093.00036621094,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus11,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B11 to B6,LConn,3370.00036621094,4099.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/GB11B6F,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B11 to B6,RConn,3371.00036621094,4297.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/L04_HandwiredTimedBreaker,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B11 to B6,RConn,3372.00036621094,4097.00048828125,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/GB11B6T,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B21 to B22,LConn,3424.00036621094,4303.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/L15_HandwiredTimedBreaker,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B21 to B22,LConn,3425.00036621094,4264.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/GB21B22F,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B21 to B22,RConn,3426.00036621094,4198.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus22,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B21 to B22,RConn,3427.00036621094,4072.00036621094,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/GB21B22T,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus11,LConn,3531.00036621094,4085.00036621094,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B10 to B11,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus11,LConn,3532.00036621094,4245.00061035156,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/TF B11 to B12,1
local_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/Bus11,RConn,3533.00036621094,4093.00036621094,1,IEEE39BusSystem_dynamic_experiment_wrapper_spp001_manual_physical_bridge/Grid/B11 to B6,1
