target_bus,scenario_id,label_id_v2,dynamic_stress_score,unstable_flag,min_voltage_pu,max_frequency_hz,max_rotor_angle_separation_deg,candidate_not_formal_label,labels_exported_this_round
B1,BF_B1_TEMP_SMOKE,b1_bus_fault_candidate_001,0.19602585950733525,False,0.835814517809164,50.1088320601816,61.0380914602622,True,candidate_only
B2,BF_B2_TEMP_SMOKE,b2_bus_fault_candidate_001,0.4718263682767041,True,0.394077657365495,50.2745804758872,73.1486151251495,True,candidate_only
B3,BF_B3_TEMP_SMOKE,b3_bus_fault_candidate_001,0.3761613624180432,True,0.637731728279785,50.2645402073781,69.6746992681732,True,candidate_only
B4,BF_B4_TEMP_SMOKE,b4_bus_fault_candidate_001,0.44635838378285614,True,0.459983615716008,50.2829224388246,66.107757642716,True,candidate_only
B5,BF_B5_TEMP_SMOKE,b5_bus_fault_candidate_001,0.5007832148409843,True,0.31250770965109,50.2902958109084,64.3217725155648,True,candidate_only
B6,BF_B6_TEMP_SMOKE,b6_bus_fault_candidate_001,0.5219551225965291,True,0.263682995670763,50.2965717492812,64.3252806436471,True,candidate_only
B7,BF_B7_TEMP_SMOKE,b7_bus_fault_candidate_001,0.4356909365152871,True,0.421559681229158,50.2516281419694,62.7106793988462,True,candidate_only
B8,BF_B8_TEMP_SMOKE,b8_bus_fault_candidate_001,0.4378771309765162,True,0.425300846368535,50.2569413542448,62.7484922517609,True,candidate_only
B9,BF_B9_TEMP_SMOKE,b9_bus_fault_candidate_001,0.2516129494416713,True,0.730868841267309,50.1399466707386,59.806537114633,True,candidate_only
B10,BF_B10_TEMP_SMOKE,b10_bus_fault_candidate_001,0.5448141364595962,True,0.273171602878234,50.3344280207179,65.7413856003235,True,candidate_only
B11,BF_B11_TEMP_SMOKE,b11_bus_fault_candidate_001,0.5016977537641424,True,0.347282611444937,50.3104132095567,64.3302734022287,True,candidate_only
B12,BF_B12_TEMP_SMOKE,b12_bus_fault_candidate_001,0.2855857177580928,True,0.674205046277299,50.1593115419985,61.2044834905238,True,candidate_only
B13,BF_B13_TEMP_SMOKE,b13_bus_fault_candidate_001,0.49878195944499437,True,0.351202486873524,50.3067604320779,65.0776941000867,True,candidate_only
B14,BF_B14_TEMP_SMOKE,b14_bus_fault_candidate_001,0.4512978762729962,True,0.45140219159943,50.2837473510252,67.36757864976,True,candidate_only
B15,BF_B15_TEMP_SMOKE,b15_bus_fault_candidate_001,0.4102318305303329,True,0.599406107544658,50.2891011310327,73.8974096997215,True,candidate_only
B17,BF_B17_TEMP_SMOKE,b17_bus_fault_candidate_001,0.444829406625578,True,0.570859222408653,50.3243173253839,75.4414856721543,True,candidate_only
B18,BF_B18_TEMP_SMOKE,b18_bus_fault_candidate_001,0.37040658545803307,True,0.666100118641434,50.2691454980597,70.7373479193739,True,candidate_only
B19,BF_B19_TEMP_SMOKE,b19_bus_fault_candidate_001,0.6391974748099927,True,0.196611316999733,50.3996372145721,88.4225216592455,True,candidate_only
B20,BF_B20_TEMP_SMOKE,b20_bus_fault_candidate_001,0.6404359189645643,True,0.146485909322149,50.3754140836783,87.9181495527854,True,candidate_only
B21,BF_B21_TEMP_SMOKE,b21_bus_fault_candidate_001,0.47217463873012394,True,0.47048591136055,50.3158514310903,73.3871497478719,True,candidate_only
B22,BF_B22_TEMP_SMOKE,b22_bus_fault_candidate_001,0.5639700467301346,True,0.241208164022292,50.3364546189401,71.7276616441695,True,candidate_only
B23,BF_B23_TEMP_SMOKE,b23_bus_fault_candidate_001,0.5504657392731165,True,0.358575662320523,50.3791173567997,71.5868452489337,True,candidate_only
B24,BF_B24_TEMP_SMOKE,b24_bus_fault_candidate_001,0.45561461102751655,True,0.547659043545634,50.326591418836,76.5097686225838,True,candidate_only
B25,BF_B25_TEMP_SMOKE,b25_bus_fault_candidate_001,0.5979239597815803,True,0.26646365123709,50.3846381578049,82.0542916272526,True,candidate_only
B27,BF_B27_TEMP_SMOKE,b27_bus_fault_candidate_001,0.4195779742985568,True,0.671787591776458,50.3356673550943,77.8678655481219,True,candidate_only
B28,BF_B28_TEMP_SMOKE,b28_bus_fault_candidate_001,0.5412759427422474,True,0.437266185692279,50.3819463658952,86.4485729123849,True,candidate_only
B29,BF_B29_TEMP_SMOKE,b29_bus_fault_candidate_001,0.6491503405909943,True,0.247132074701431,50.4351994197033,92.4902495364096,True,candidate_only
B30,BF_B30_TEMP_SMOKE,b30_bus_fault_candidate_001,0.5558681351530982,True,0.0127678164746491,50.1977573975399,73.6151062664649,True,candidate_only
B31,BF_B31_TEMP_SMOKE,b31_bus_fault_candidate_001,0.5843713123655729,True,0.00665565065938958,50.2599262356427,60.9738632357618,True,candidate_only
B32,BF_B32_TEMP_SMOKE,b32_bus_fault_candidate_001,0.6076726437286094,True,0.00762329177101102,50.2884228205863,65.5793662206445,True,candidate_only
B33,BF_B33_TEMP_SMOKE,b33_bus_fault_candidate_001,0.6704705155139787,True,0.00731674389149178,50.3601780901822,80.0240555318231,True,candidate_only
B34,BF_B34_TEMP_SMOKE,b34_bus_fault_candidate_001,0.6833537789841087,True,0.004849476879389,50.3651656154349,87.9241012732882,True,candidate_only
B35,BF_B35_TEMP_SMOKE,b35_bus_fault_candidate_001,0.5901101719139742,True,0.00854724943923104,50.2578072036866,67.9743241392649,True,candidate_only
B36,BF_B36_TEMP_SMOKE,b36_bus_fault_candidate_001,0.6193564186465594,True,0.00704861501392914,50.3023908771086,67.7424274027544,True,candidate_only
B37,BF_B37_TEMP_SMOKE,b37_bus_fault_candidate_001,0.6304424826610333,True,0.00734351202997418,50.3175716060771,68.932051129286,True,candidate_only
B38,BF_B38_TEMP_SMOKE,b38_bus_fault_candidate_001,0.7163099319038411,True,0.00632617812673278,50.4093987279069,92.1734289978596,True,candidate_only
B16,BF_B16_TEMP_SMOKE,b16_bus_fault_candidate_001,0.5520514235295603,True,0.418967829089903,50.3950521034568,82.715666817678,True,candidate_only
