target_bus,scenario_id,quality_review_passed_for_candidate_export,candidate_export_eligible_next_round,simulation_success,measurement_extraction_status,metrics_all_finite,signal_source_has_frequency_proxy,unstable_flag,min_voltage_pu,max_frequency_hz,max_rotor_angle_separation_deg,failed_checks,warning_checks,recommended_next_step
B1,BF_B1_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,False,0.835814517809164,50.1088320601816,61.0380914602622,,unstable_flag_false_low_risk_marker_only,"export candidate label in a separate round, without training"
B2,BF_B2_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.394077657365495,50.2745804758872,73.1486151251495,,,"export candidate label in a separate round, without training"
B3,BF_B3_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.637731728279785,50.2645402073781,69.6746992681732,,,"export candidate label in a separate round, without training"
B4,BF_B4_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.459983615716008,50.2829224388246,66.107757642716,,,"export candidate label in a separate round, without training"
B5,BF_B5_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.31250770965109,50.2902958109084,64.3217725155648,,,"export candidate label in a separate round, without training"
B6,BF_B6_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.263682995670763,50.2965717492812,64.3252806436471,,,"export candidate label in a separate round, without training"
B7,BF_B7_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.421559681229158,50.2516281419694,62.7106793988462,,,"export candidate label in a separate round, without training"
B8,BF_B8_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.425300846368535,50.2569413542448,62.7484922517609,,,"export candidate label in a separate round, without training"
B9,BF_B9_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.730868841267309,50.1399466707386,59.806537114633,,,"export candidate label in a separate round, without training"
B10,BF_B10_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.273171602878234,50.3344280207179,65.7413856003235,,,"export candidate label in a separate round, without training"
B11,BF_B11_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.347282611444937,50.3104132095567,64.3302734022287,,,"export candidate label in a separate round, without training"
B12,BF_B12_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.674205046277299,50.1593115419985,61.2044834905238,,,"export candidate label in a separate round, without training"
B13,BF_B13_TEMP_SMOKE,True,True,True,voltage_speed_angle,True,True,True,0.351202486873524,50.3067604320779,65.0776941000867,,,"export candidate label in a separate round, without training"
