feature_group,top_k,mean_found,mean_recall,std_recall,num_features
score_only,20,18.4,0.32601517126940854,0.013779965801481765,3
score_only,50,30.4,0.5359902809055351,0.021643517769146046,3
score_only,100,40.0,0.7059653905416617,0.051368297867081844,3
score_only,200,52.6,0.928924973331753,0.03731600124147154,3
score_plus_rank,20,18.2,0.3219592272134645,0.015682516891490535,6
score_plus_rank,50,30.2,0.5331598909565012,0.00961474457441732,6
score_plus_rank,100,41.4,0.7301611947374659,0.043968682530727,6
score_plus_rank,200,52.2,0.9204634348702145,0.0447204708684404,6
physical_only,20,13.2,0.23130022519853027,0.03915469684804001,10
physical_only,50,24.4,0.42970724191063175,0.048302458056139114,10
physical_only,100,35.4,0.6266860258385683,0.030088068421151186,10
physical_only,200,47.2,0.8327083086405119,0.02305854734554361,10
score_plus_physical,20,18.8,0.33325115562403695,0.021180502544979503,9
score_plus_physical,50,39.6,0.7014306032950101,0.03892629944472211,9
score_plus_physical,100,52.2,0.9224582197463553,0.028993429268489603,9
score_plus_physical,200,56.2,0.9927640156453716,0.00994106268476351,9
all_safe_features,20,18.8,0.33325115562403695,0.021180502544979503,18
all_safe_features,50,39.8,0.7052767571411639,0.04325879647833159,18
all_safe_features,100,53.0,0.9366540239421596,0.03156227311452999,18
all_safe_features,200,56.4,0.9961538461538462,0.008600261451922291,18
