feature_group,seed,top_k,critical_found,critical_path_recall,num_features
score_only,20260722,20,18,0.32727272727272727,3
score_only,20260722,50,28,0.509090909090909,3
score_only,20260722,100,38,0.6909090909090909,3
score_only,20260722,200,49,0.8909090909090909,3
score_only,20260723,20,17,0.3269230769230769,3
score_only,20260723,50,28,0.5384615384615384,3
score_only,20260723,100,35,0.6730769230769231,3
score_only,20260723,200,51,0.9807692307692307,3
score_only,20260724,20,19,0.3220338983050847,3
score_only,20260724,50,33,0.559322033898305,3
score_only,20260724,100,47,0.7966101694915254,3
score_only,20260724,200,54,0.9152542372881356,3
score_only,20260725,20,18,0.34615384615384615,3
score_only,20260725,50,27,0.5192307692307693,3
score_only,20260725,100,36,0.6923076923076923,3
score_only,20260725,200,47,0.9038461538461539,3
score_only,20260726,20,20,0.3076923076923077,3
score_only,20260726,50,36,0.5538461538461539,3
score_only,20260726,100,44,0.676923076923077,3
score_only,20260726,200,62,0.9538461538461539,3
score_plus_rank,20260722,20,19,0.34545454545454546,6
score_plus_rank,20260722,50,29,0.5272727272727272,6
score_plus_rank,20260722,100,40,0.7272727272727273,6
score_plus_rank,20260722,200,49,0.8909090909090909,6
score_plus_rank,20260723,20,16,0.3076923076923077,6
score_plus_rank,20260723,50,27,0.5192307692307693,6
score_plus_rank,20260723,100,38,0.7307692307692307,6
score_plus_rank,20260723,200,50,0.9615384615384616,6
score_plus_rank,20260724,20,19,0.3220338983050847,6
score_plus_rank,20260724,50,32,0.5423728813559322,6
score_plus_rank,20260724,100,47,0.7966101694915254,6
score_plus_rank,20260724,200,54,0.9152542372881356,6
score_plus_rank,20260725,20,17,0.3269230769230769,6
score_plus_rank,20260725,50,28,0.5384615384615384,6
score_plus_rank,20260725,100,35,0.6730769230769231,6
score_plus_rank,20260725,200,45,0.8653846153846154,6
score_plus_rank,20260726,20,20,0.3076923076923077,6
score_plus_rank,20260726,50,35,0.5384615384615384,6
score_plus_rank,20260726,100,47,0.7230769230769231,6
score_plus_rank,20260726,200,63,0.9692307692307692,6
physical_only,20260722,20,14,0.2545454545454545,10
physical_only,20260722,50,27,0.4909090909090909,10
physical_only,20260722,100,35,0.6363636363636364,10
physical_only,20260722,200,47,0.8545454545454545,10
physical_only,20260723,20,9,0.17307692307692307,10
physical_only,20260723,50,21,0.40384615384615385,10
physical_only,20260723,100,35,0.6730769230769231,10
physical_only,20260723,200,42,0.8076923076923077,10
physical_only,20260724,20,16,0.2711864406779661,10
physical_only,20260724,50,27,0.4576271186440678,10
physical_only,20260724,100,35,0.5932203389830508,10
physical_only,20260724,200,50,0.847457627118644,10
physical_only,20260725,20,11,0.21153846153846154,10
physical_only,20260725,50,19,0.36538461538461536,10
physical_only,20260725,100,32,0.6153846153846154,10
physical_only,20260725,200,42,0.8076923076923077,10
physical_only,20260726,20,16,0.24615384615384617,10
physical_only,20260726,50,28,0.4307692307692308,10
physical_only,20260726,100,40,0.6153846153846154,10
physical_only,20260726,200,55,0.8461538461538461,10
score_plus_physical,20260722,20,18,0.32727272727272727,9
score_plus_physical,20260722,50,36,0.6545454545454545,9
score_plus_physical,20260722,100,49,0.8909090909090909,9
score_plus_physical,20260722,200,55,1.0,9
score_plus_physical,20260723,20,17,0.3269230769230769,9
score_plus_physical,20260723,50,38,0.7307692307692307,9
score_plus_physical,20260723,100,50,0.9615384615384616,9
score_plus_physical,20260723,200,52,1.0,9
score_plus_physical,20260724,20,20,0.3389830508474576,9
score_plus_physical,20260724,50,41,0.6949152542372882,9
score_plus_physical,20260724,100,53,0.8983050847457628,9
score_plus_physical,20260724,200,58,0.9830508474576272,9
score_plus_physical,20260725,20,19,0.36538461538461536,9
score_plus_physical,20260725,50,39,0.75,9
score_plus_physical,20260725,100,48,0.9230769230769231,9
score_plus_physical,20260725,200,51,0.9807692307692307,9
score_plus_physical,20260726,20,20,0.3076923076923077,9
score_plus_physical,20260726,50,44,0.676923076923077,9
score_plus_physical,20260726,100,61,0.9384615384615385,9
score_plus_physical,20260726,200,65,1.0,9
all_safe_features,20260722,20,18,0.32727272727272727,18
all_safe_features,20260722,50,36,0.6545454545454545,18
all_safe_features,20260722,100,51,0.9272727272727272,18
all_safe_features,20260722,200,55,1.0,18
all_safe_features,20260723,20,17,0.3269230769230769,18
all_safe_features,20260723,50,39,0.75,18
all_safe_features,20260723,100,51,0.9807692307692307,18
all_safe_features,20260723,200,52,1.0,18
all_safe_features,20260724,20,20,0.3389830508474576,18
all_safe_features,20260724,50,41,0.6949152542372882,18
all_safe_features,20260724,100,53,0.8983050847457628,18
all_safe_features,20260724,200,59,1.0,18
all_safe_features,20260725,20,19,0.36538461538461536,18
all_safe_features,20260725,50,39,0.75,18
all_safe_features,20260725,100,48,0.9230769230769231,18
all_safe_features,20260725,200,51,0.9807692307692307,18
all_safe_features,20260726,20,20,0.3076923076923077,18
all_safe_features,20260726,50,44,0.676923076923077,18
all_safe_features,20260726,100,62,0.9538461538461539,18
all_safe_features,20260726,200,65,1.0,18
