scenario_id,fault_type,target_bus_or_component,fault_start_s,fault_clear_s,duration_s,requires_slx_modification,runnable_with_existing_scripts,script_or_function_entrypoint,expected_output_summary_path,expected_event_log_path,expected_measurement_status,training_ready_candidate_rule,notes
NF01,three_phase_bus_fault_clear,existing_fault_block_location,0.5,0.6,0.1,False,True,run_ieee39_fault_test_suite selectedCases=[three_phase_fault_clear],results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF01/ieee39_fault_test_summary.csv,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF01/ieee39_event_log.csv,voltage_speed_angle,keep as non_line_trip; do not merge into handwired line-trip labels,Existing baseline three-phase fault-clear case.
NF02,fault_duration_sweep,existing_fault_block_location,0.5,0.55,0.05,False,True,configure_ieee39_three_phase_fault_case faultStartS=0.50 faultClearS=0.55,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF02/ieee39_three_phase_fault_case_config.json,not_applicable_until_smoke_runner_added,voltage_speed_angle_after_smoke_run,candidate only after a dedicated duration-aware smoke run succeeds,Duration parameter is configurable; suite-grade summary requires a duration-aware smoke wrapper.
NF03,fault_duration_sweep,existing_fault_block_location,0.5,0.58,0.08,False,True,configure_ieee39_three_phase_fault_case faultStartS=0.50 faultClearS=0.58,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF03/ieee39_three_phase_fault_case_config.json,not_applicable_until_smoke_runner_added,voltage_speed_angle_after_smoke_run,candidate only after a dedicated duration-aware smoke run succeeds,Intermediate clearing-time sweep point.
NF04,fault_duration_sweep,existing_fault_block_location,0.5,0.6,0.1,False,True,configure_ieee39_three_phase_fault_case faultStartS=0.50 faultClearS=0.60,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF04/ieee39_three_phase_fault_case_config.json,not_applicable_until_smoke_runner_added,voltage_speed_angle_after_smoke_run,candidate only after a dedicated duration-aware smoke run succeeds,Matches the current baseline duration.
NF05,fault_duration_sweep,existing_fault_block_location,0.5,0.65,0.15,False,True,configure_ieee39_three_phase_fault_case faultStartS=0.50 faultClearS=0.65,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF05/ieee39_three_phase_fault_case_config.json,not_applicable_until_smoke_runner_added,voltage_speed_angle_after_smoke_run,candidate only after a dedicated duration-aware smoke run succeeds,Longer clearing-time sweep point; use tiny timeout-capable smoke first.
NF06,relay_proxy_fault,basic_relay_proxy_on_mapped_L01,0.5,0.6,0.1,False,True,run_ieee39_fault_test_suite selectedCases=[relay_trip_test],results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF06/ieee39_fault_test_summary.csv,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF06/ieee39_event_log.csv,voltage_speed_angle,keep as relay_proxy_fault; do not count as handwired line-trip label,Proxy relay case only; not engineering-grade protection.
NF07,three_phase_bus_fault_clear,B16_future_bus_fault_point,0.5,0.6,0.1,True,False,manual_required: map/select a B16 three-phase fault injection point,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF07/ieee39_fault_test_summary.csv,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF07/ieee39_event_log.csv,manual_required,not candidate until bus-specific fault injection is verified,"Bus sweep is useful, but current scripts do not expose a target-bus selector."
NF08,three_phase_bus_fault_clear,B39_future_bus_fault_point,0.5,0.6,0.1,True,False,manual_required: map/select a B39 three-phase fault injection point,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF08/ieee39_fault_test_summary.csv,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF08/ieee39_event_log.csv,manual_required,not candidate until bus-specific fault injection is verified,Future bus-sweep point; kept out of current labels.
NF09,load_step_disturbance,B16_load_future,0.5,0.0,0.0,True,False,manual_required: add safe load-step disturbance input,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF09/ieee39_fault_test_summary.csv,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF09/ieee39_event_log.csv,manual_required,not candidate until load-step input and quality gate are implemented,Useful generalization case; future manual extension.
NF10,generator_trip_or_mechanical_power_step,Gen39_future,0.5,0.0,0.0,True,False,manual_required: verify generator trip or Pm-step input,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF10/ieee39_fault_test_summary.csv,results/gcn_search/ieee39_dynamic_fault_type_expansion/smoke_outputs/NF10/ieee39_event_log.csv,manual_required,not candidate until generator event is verified,Future generator disturbance; do not mix with line-trip labels.
