method,queried_training_labels,queried_training_label_fraction,oracle_label_saving_fraction,num_acquisition_seeds,queried_positive_labels_mean,queried_positive_labels_std,validation_average_precision_mean,validation_average_precision_std,test_average_precision_mean,test_average_precision_std,test_ap_fraction_of_full_label,search_path_prob_K90_mean,search_path_prob_K90_std,path_prob_K90_gap_vs_full_label,search_path_prob_K95_mean,search_path_prob_K99_mean,search_residual_path_prob_K90_mean,search_second_only_K90_mean,search_second_only_K95_mean,search_second_only_K99_mean
entropy,3099,0.0025002985190229,0.9974997014809771,5,54.0,8.461678320522472,0.0811445425905088,0.0217266996344337,0.0673713380666389,0.0213563978149532,0.10923766494157897,2257.8,130.0467608208678,464.8000000000002,10129.0,24256.6,22018.0,2055.8,9579.8,22953.6
pmf_hybrid,3099,0.0025002985190229,0.9974997014809771,5,54.0,8.461678320522472,0.0811445425905088,0.0217266996344337,0.0673713380666389,0.0213563978149532,0.10923766494157897,2257.8,130.0467608208678,464.8000000000002,10129.0,24256.6,22018.0,2055.8,9579.8,22953.6
pmf_hybrid_prior_corrected,3099,0.0025002985190229,0.9974997014809771,5,54.0,8.461678320522472,0.0811445425905088,0.0217266996344337,0.0673713380666389,0.0213563978149532,0.10923766494157897,2257.8,130.0467608208678,464.8000000000002,10129.0,24256.6,22018.0,2055.8,9579.8,22953.6
pmf_quota,3099,0.0025002985190229,0.9974997014809771,5,54.0,8.461678320522472,0.0811445425905088,0.0217266996344337,0.0673713380666389,0.0213563978149532,0.10923766494157897,2257.8,130.0467608208678,464.8000000000002,10129.0,24256.6,22018.0,2055.8,9579.8,22953.6
random,3099,0.0025002985190229,0.9974997014809771,5,54.0,8.461678320522472,0.0811445425905088,0.0217266996344337,0.0673713380666389,0.0213563978149532,0.10923766494157897,2257.8,130.0467608208678,464.8000000000002,10129.0,24256.6,22018.0,2055.8,9579.8,22953.6
entropy,6197,0.0049997902298757,0.9950002097701243,5,167.4,19.530488985173925,0.1567340947956585,0.0705365454557592,0.1553884488786522,0.0997183678257082,0.2519509304922539,2251.4,24.9367199126108,458.4000000000001,8172.0,22636.2,20486.8,2301.0,7687.6,20861.4
pmf_hybrid,6197,0.0049997902298757,0.9950002097701243,5,253.0,72.32703505605632,0.2021979713576458,0.0688220424633327,0.2073851436920896,0.1100131882564876,0.3362597432470424,2257.0,100.66777041337512,464.0,7784.8,22229.2,20011.8,2257.4,6559.0,20101.2
pmf_hybrid_prior_corrected,6197,0.0049997902298757,0.9950002097701243,5,253.0,72.32703505605632,0.2408146066661934,0.0571824549384773,0.2311490729842544,0.102898483235508,0.3747912051447589,2188.8,89.92530233477116,395.8000000000002,7576.8,22265.0,20142.2,2152.8,6307.4,20006.8
pmf_quota,6197,0.0049997902298757,0.9950002097701243,5,355.6,130.9176840613979,0.2195132829326446,0.0425499550822327,0.2027925358858412,0.0694858100264671,0.3288131677871516,2214.2,130.85931376864238,421.1999999999998,8360.8,22151.0,19573.4,2231.6,7411.8,21197.0
random,6197,0.0049997902298757,0.9950002097701243,5,109.0,12.915107432770352,0.1724728385360544,0.0403223131968336,0.1658673740815534,0.0809390506685397,0.26894173627274975,2257.6,108.9414521658308,464.5999999999999,7833.8,21011.6,18265.4,2240.2,6537.0,19262.4
entropy,12395,0.0100003872679216,0.9899996127320784,5,773.0,424.6678702233076,0.3065987716847473,0.0736730528295243,0.311391395390771,0.0877449531462058,0.5048982236591756,2074.4,99.00828248182069,281.4000000000001,6297.0,20967.8,18854.6,2029.2,5922.8,20156.8
pmf_hybrid,12395,0.0100003872679216,0.9899996127320784,5,716.6,120.89267967912696,0.3167902318929624,0.051513247819839,0.3321649285165357,0.0606647590594916,0.5385809783196291,1978.4,80.51981122680306,185.4000000000001,5018.0,18779.8,16248.6,1969.0,4462.8,18259.0
pmf_hybrid_prior_corrected,12395,0.0100003872679216,0.9899996127320784,5,953.0,122.42712117827487,0.3851148609589503,0.0590423691864042,0.3716392895556208,0.0831713403574844,0.6025857487266721,2032.8,90.94481843403724,239.79999999999995,5917.2,21921.4,19602.6,2098.6,5086.0,21033.6
pmf_quota,12395,0.0100003872679216,0.9899996127320784,5,1447.6,455.7975866544271,0.3053822805858469,0.0360279409317921,0.3104463326927661,0.0724207233880123,0.5033658740678504,2113.8,48.28830086056041,320.8000000000002,6570.8,19686.8,16657.8,2013.2,5033.6,18541.8
random,12395,0.0100003872679216,0.9899996127320784,5,208.4,15.62817967646904,0.2231439613344685,0.0462150601490122,0.2100913029230512,0.0525469143428601,0.3406475812184056,2108.0,18.79361593733361,315.0,5503.4,16811.6,14572.6,2148.4,4378.6,16012.2
entropy,24789,0.0199999677276731,0.9800000322723268,5,1694.0,633.7144467344893,0.4000845102132147,0.0391702704167333,0.4261203518792602,0.0410695314916558,0.6909227805054431,1933.6,25.23965134466005,140.5999999999999,4132.8,20194.4,17882.0,1906.0,4203.8,20107.6
pmf_hybrid,24789,0.0199999677276731,0.9800000322723268,5,1711.4,338.9534481311556,0.4054176240637346,0.0391583840662046,0.4481762181381382,0.0626038609376395,0.7266847439386237,1922.8,56.190390637545846,129.79999999999995,4014.2,18116.8,15673.0,1865.0,3480.8,18090.0
pmf_hybrid_prior_corrected,24789,0.0199999677276731,0.9800000322723268,5,2787.8,393.4775215943091,0.5183268527550813,0.0411318490754445,0.4876366053630667,0.0532835255878315,0.790666856834734,1916.4,39.962982871652606,123.40000000000009,4807.4,21225.6,18658.6,1936.2,4224.6,20371.4
pmf_quota,24789,0.0199999677276731,0.9800000322723268,5,3944.6,972.1165773712534,0.401381437395581,0.0382736760279828,0.390443339035413,0.0410568141718301,0.6330751306443451,1960.6,70.95237839565351,167.5999999999999,4383.2,18662.0,16093.2,1913.0,3458.6,18838.6
random,24789,0.0199999677276731,0.9800000322723268,5,401.2,9.744742172063866,0.2643700192857871,0.058618803629725,0.2778203056672489,0.0765178203295873,0.45046517310413936,2062.2,74.2358404007121,269.1999999999998,4325.2,14595.8,12279.2,2048.4,3673.0,14812.8
entropy,61973,0.050000322723268,0.949999677276732,5,3902.4,691.0341814990052,0.4478743552561147,0.0501108645091549,0.4565905185969119,0.0693899802718386,0.7403279126897643,1914.0,75.45859791965393,121.0,3045.8,21511.2,19159.8,1865.0,3040.0,21593.6
