line_label,relay_trip_count
L128,7893
L182,6699
L155,6619
L115,6582
L178,5368
L018,5113
L140,4604
L102,4551
L060,4308
L158,4030
L134,4016
L111,2188
L156,1934
L046,1839
L045,1488
L179,1304
L019,968
L109,809
L020,394
L044,370
L104,289
L065,278
L030,239
L057,152
L056,149
L091,149
L058,147
L169,77
L186,46
L022,45
L063,32
L064,32
L175,26
L025,25
L039,25
L026,24
L160,7
L048,6
L112,6
L040,5
L149,5
L157,5
L014,4
L015,4
L077,4
L082,3
L110,3
L035,2
L043,2
L078,2
L092,2
L154,2
L173,2
L001,1
L120,1
L143,1
L148,1
