target_bus,scenario_id,special_handling,actual_simulink_run,dry_run,smoke_executed,simulation_success,physical_fault_or_breaker_action_executed,measurement_extraction_status,training_ready_candidate_smoke,timeout_or_error_message,fault_start_s,fault_clear_s,duration_s,selected_fault_block_path,temp_model_path,actual_checked_model_path,source_slx_modified,temporary_slx_committed,labels_exported,candidate_label_exported,gcn_trained,reranker_retrained,gcn_usefulness_audit_run,min_voltage_pu,max_voltage_pu,min_frequency_hz,max_frequency_hz,max_speed_deviation,max_rotor_angle_separation_deg,unstable_flag,signal_source_summary,old_formal_gate,current_candidate_count,b39_b26_status,next_action
B1,BF_B1_TEMP_SMOKE,False,True,False,True,True,True,voltage_speed_angle,True,,0.5,0.58,0.08,Grid/Fault_B1_TEMP,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\results\gcn_search\ieee39_dynamic_fault_type_expansion\bus_fault_smoke\local_lab_copies\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B1_TEMP_LOCAL_ONLY.slx,C:\ieee39_bf_lab\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B1_TEMP_LOCAL_ONLY.slx,False,False,False,False,False,False,False,0.835814517809164,1.06427134515738,49.9910109425398,50.1088320601816,0.00217664120363148,61.0380914602622,False,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,35 / 33 / 33,42,existing_candidate_labels_not_formal,smoke quality review before any label export
B2,BF_B2_TEMP_SMOKE,False,True,False,True,True,True,voltage_speed_angle,True,,0.5,0.58,0.08,Grid/Fault_B2_TEMP,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\results\gcn_search\ieee39_dynamic_fault_type_expansion\bus_fault_smoke\local_lab_copies\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B2_TEMP_LOCAL_ONLY.slx,C:\ieee39_bf_lab\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B2_TEMP_LOCAL_ONLY.slx,False,False,False,False,False,False,False,0.394077657365495,1.0635,49.9827181564362,50.2745804758872,0.00549160951774419,73.1486151251495,True,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,35 / 33 / 33,42,existing_candidate_labels_not_formal,smoke quality review before any label export
B3,BF_B3_TEMP_SMOKE,False,True,False,True,True,True,voltage_speed_angle,True,,0.5,0.58,0.08,Grid/Fault_B3_TEMP,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\results\gcn_search\ieee39_dynamic_fault_type_expansion\bus_fault_smoke\local_lab_copies\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B3_TEMP_LOCAL_ONLY.slx,C:\ieee39_bf_lab\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B3_TEMP_LOCAL_ONLY.slx,False,False,False,False,False,False,False,0.637731728279785,1.0635,49.9925864516003,50.2645402073781,0.00529080414756256,69.6746992681732,True,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,35 / 33 / 33,42,existing_candidate_labels_not_formal,smoke quality review before any label export
B4,BF_B4_TEMP_SMOKE,False,True,False,True,True,True,voltage_speed_angle,True,,0.5,0.58,0.08,Grid/Fault_B4_TEMP,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\results\gcn_search\ieee39_dynamic_fault_type_expansion\bus_fault_smoke\local_lab_copies\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B4_TEMP_LOCAL_ONLY.slx,C:\ieee39_bf_lab\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B4_TEMP_LOCAL_ONLY.slx,False,False,False,False,False,False,False,0.459983615716008,1.0635,49.9925875221836,50.2829224388246,0.00565844877649235,66.107757642716,True,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,35 / 33 / 33,42,existing_candidate_labels_not_formal,smoke quality review before any label export
B5,BF_B5_TEMP_SMOKE,False,True,False,True,True,True,voltage_speed_angle,True,,0.5,0.58,0.08,Grid/Fault_B5_TEMP,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\results\gcn_search\ieee39_dynamic_fault_type_expansion\bus_fault_smoke\local_lab_copies\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B5_TEMP_LOCAL_ONLY.slx,C:\ieee39_bf_lab\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B5_TEMP_LOCAL_ONLY.slx,False,False,False,False,False,False,False,0.31250770965109,1.0635,49.9925872680954,50.2902958109084,0.00580591621816806,64.3217725155648,True,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,35 / 33 / 33,42,existing_candidate_labels_not_formal,smoke quality review before any label export
B6,BF_B6_TEMP_SMOKE,False,True,False,True,True,True,voltage_speed_angle,True,,0.5,0.58,0.08,Grid/Fault_B6_TEMP,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\results\gcn_search\ieee39_dynamic_fault_type_expansion\bus_fault_smoke\local_lab_copies\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B6_TEMP_LOCAL_ONLY.slx,C:\ieee39_bf_lab\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B6_TEMP_LOCAL_ONLY.slx,False,False,False,False,False,False,False,0.263682995670763,1.0635,49.9925871294838,50.2965717492812,0.00593143498562498,64.3252806436471,True,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,35 / 33 / 33,42,existing_candidate_labels_not_formal,smoke quality review before any label export
B7,BF_B7_TEMP_SMOKE,False,True,False,True,True,True,voltage_speed_angle,True,,0.5,0.58,0.08,Grid/Fault_B7_TEMP,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\results\gcn_search\ieee39_dynamic_fault_type_expansion\bus_fault_smoke\local_lab_copies\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B7_TEMP_LOCAL_ONLY.slx,C:\ieee39_bf_lab\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B7_TEMP_LOCAL_ONLY.slx,False,False,False,False,False,False,False,0.421559681229158,1.0635,49.9925876465976,50.2516281419694,0.00503256283938791,62.7106793988462,True,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,35 / 33 / 33,42,existing_candidate_labels_not_formal,smoke quality review before any label export
B8,BF_B8_TEMP_SMOKE,False,True,False,True,True,True,voltage_speed_angle,True,,0.5,0.58,0.08,Grid/Fault_B8_TEMP,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\results\gcn_search\ieee39_dynamic_fault_type_expansion\bus_fault_smoke\local_lab_copies\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B8_TEMP_LOCAL_ONLY.slx,C:\ieee39_bf_lab\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B8_TEMP_LOCAL_ONLY.slx,False,False,False,False,False,False,False,0.425300846368535,1.0635,49.9925876938822,50.2569413542448,0.0051388270848951,62.7484922517609,True,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,35 / 33 / 33,42,existing_candidate_labels_not_formal,smoke quality review before any label export
B9,BF_B9_TEMP_SMOKE,False,True,False,True,True,True,voltage_speed_angle,True,,0.5,0.58,0.08,Grid/Fault_B9_TEMP,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\results\gcn_search\ieee39_dynamic_fault_type_expansion\bus_fault_smoke\local_lab_copies\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B9_TEMP_LOCAL_ONLY.slx,C:\ieee39_bf_lab\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B9_TEMP_LOCAL_ONLY.slx,False,False,False,False,False,False,False,0.730868841267309,1.06449428221855,49.9925857245128,50.1399466707386,0.00279893341477155,59.806537114633,True,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,35 / 33 / 33,42,existing_candidate_labels_not_formal,smoke quality review before any label export
B10,BF_B10_TEMP_SMOKE,False,True,False,True,True,True,voltage_speed_angle,True,,0.5,0.58,0.08,Grid/Fault_B10_TEMP,C:\Users\24186\Documents\New project 7\simulink-dynamic-validation-worktree\results\gcn_search\ieee39_dynamic_fault_type_expansion\bus_fault_smoke\local_lab_copies\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B10_TEMP_LOCAL_ONLY.slx,C:\ieee39_bf_lab\IEEE39BusSystem_dynamic_experiment_wrapper_bus_fault_B10_TEMP_LOCAL_ONLY.slx,False,False,False,False,False,False,False,0.273171602878234,1.0635,49.9925866473027,50.3344280207179,0.00668856041435717,65.7413856003235,True,voltage=generator_terminal_voltage_pu;speed=generator_rotor_velocity_pu;frequency=generator_speed_proxy;rotor_angle=generator_rotor_electrical_angle,35 / 33 / 33,42,existing_candidate_labels_not_formal,smoke quality review before any label export
