line_loading_scale,relay_beta,load_shed_step_fraction,simulation_end_time,frequency_unstable_threshold_hz,rotor_angle_unstable_threshold_deg,damping_scale,inertia_scale,coupling_scale,num_cases,dynamic_precision,dynamic_unstable_fraction,passive_trip_fraction,security_action_fraction,mean_frequency_nadir_hz,mean_rotor_angle_separation_coi_deg,mean_dynamic_stress_score,all_stable_warning,all_unstable_warning,method_variation_score,rank_depth_variation_score,nondegenerate_dynamic_layer,recommended
0.002,1.5,0.01,10.0,48.5,180.0,2.0,2.0,0.2,90,0.0,0.0,0.0,0.0,49.40663981910809,179.82964802247628,0.0,True,False,1.0,0.0,False,False
0.002,1.5,0.01,10.0,48.5,240.0,2.0,2.0,0.2,90,0.0,0.0,0.0,0.0,49.40663981910809,179.82964802247628,0.0,True,False,1.0,0.0,False,False
0.002,1.5,0.01,10.0,48.5,360.0,2.0,2.0,0.2,90,0.0,0.0,0.0,0.0,49.40663981910809,179.82964802247628,0.0,True,False,1.0,0.0,False,False
0.002,1.5,0.01,10.0,49.0,180.0,2.0,2.0,0.2,90,0.0,0.0,0.0,0.0,49.40663981910809,179.82964802247628,0.0,True,False,1.0,0.0,False,False
0.002,1.5,0.01,10.0,49.0,240.0,2.0,2.0,0.2,90,0.0,0.0,0.0,0.0,49.40663981910809,179.82964802247628,0.0,True,False,1.0,0.0,False,False
0.002,1.5,0.01,10.0,49.0,360.0,2.0,2.0,0.2,90,0.0,0.0,0.0,0.0,49.40663981910809,179.82964802247628,0.0,True,False,1.0,0.0,False,False
0.002,1.5,0.01,10.0,49.2,180.0,2.0,2.0,0.2,90,0.0,0.0,0.0,0.0,49.40663981910809,179.82964802247628,0.0,True,False,1.0,0.0,False,False
0.002,1.5,0.01,10.0,49.2,240.0,2.0,2.0,0.2,90,0.0,0.0,0.0,0.0,49.40663981910809,179.82964802247628,0.0,True,False,1.0,0.0,False,False
0.002,1.5,0.01,10.0,49.2,360.0,2.0,2.0,0.2,90,0.0,0.0,0.0,0.0,49.40663981910809,179.82964802247628,0.0,True,False,1.0,0.0,False,False
0.002,1.5,0.01,10.0,49.3,180.0,2.0,2.0,0.2,90,0.3,0.3,0.0,0.0,49.40663981910809,179.82964802247628,0.0,False,False,2.0,0.0,True,True
0.002,1.5,0.01,10.0,49.3,240.0,2.0,2.0,0.2,90,0.3,0.3,0.0,0.0,49.40663981910809,179.82964802247628,0.0,False,False,2.0,0.0,True,False
0.002,1.5,0.01,10.0,49.3,360.0,2.0,2.0,0.2,90,0.3,0.3,0.0,0.0,49.40663981910809,179.82964802247628,0.0,False,False,2.0,0.0,True,False
0.002,1.5,0.01,10.0,49.4,180.0,2.0,2.0,0.2,90,0.3,0.3,0.0,0.0,49.40663981910809,179.82964802247628,0.0,False,False,2.0,0.0,True,False
0.002,1.5,0.01,10.0,49.4,240.0,2.0,2.0,0.2,90,0.3,0.3,0.0,0.0,49.40663981910809,179.82964802247628,0.0,False,False,2.0,0.0,True,False
0.002,1.5,0.01,10.0,49.4,360.0,2.0,2.0,0.2,90,0.3,0.3,0.0,0.0,49.40663981910809,179.82964802247628,0.0,False,False,2.0,0.0,True,False
0.002,1.5,0.01,10.0,49.5,180.0,2.0,2.0,0.2,90,0.8111111111111111,0.8111111111111111,0.0,0.0,49.40663981910809,179.82964802247628,0.0,False,False,2.0,0.0,True,False
0.002,1.5,0.01,10.0,49.5,240.0,2.0,2.0,0.2,90,0.8111111111111111,0.8111111111111111,0.0,0.0,49.40663981910809,179.82964802247628,0.0,False,False,2.0,0.0,True,False
0.002,1.5,0.01,10.0,49.5,360.0,2.0,2.0,0.2,90,0.8111111111111111,0.8111111111111111,0.0,0.0,49.40663981910809,179.82964802247628,0.0,False,False,2.0,0.0,True,False
