model_type,heldout_seed,feature,weight
logistic,20260722,rank_in_pio,0.11847274750471115
logistic,20260722,rank_in_paper,0.30145010352134705
logistic,20260722,rank_in_lodf,-0.38235875964164734
logistic,20260722,pio_score,0.06853564828634262
logistic,20260722,paper_score,0.1191939264535904
logistic,20260722,lodf_score,0.3925262689590454
logistic,20260722,ensemble_score_alpha_0_75,0.20290526747703552
logistic,20260722,first_line_loading_ratio,-0.18708589673042297
logistic,20260722,second_line_loading_ratio,0.463215708732605
logistic,20260722,max_loading_ratio,0.28417280316352844
logistic,20260722,min_security_margin,0.12878826260566711
logistic,20260722,min_relay_margin,-0.12745924293994904
logistic,20260722,first_line_abs_flow,-0.26853254437446594
logistic,20260722,second_line_abs_flow,0.011706833727657795
logistic,20260722,first_outage_num_overloaded_lines,-0.045550793409347534
logistic,20260722,first_outage_max_loading_ratio,-0.16575036942958832
logistic,20260722,first_outage_total_load_shed_mw,-0.12829449772834778
logistic,20260722,candidate_position_min_rank,-0.5353168249130249
logistic,20260723,rank_in_pio,-0.06803299486637115
logistic,20260723,rank_in_paper,0.17973537743091583
logistic,20260723,rank_in_lodf,-0.43158024549484253
logistic,20260723,pio_score,0.099159374833107
logistic,20260723,paper_score,0.19223499298095703
logistic,20260723,lodf_score,0.3858722746372223
logistic,20260723,ensemble_score_alpha_0_75,-0.08495765179395676
logistic,20260723,first_line_loading_ratio,-0.12379563599824905
logistic,20260723,second_line_loading_ratio,0.28604358434677124
logistic,20260723,max_loading_ratio,0.013952434062957764
logistic,20260723,min_security_margin,-0.1435178518295288
logistic,20260723,min_relay_margin,0.038920335471630096
logistic,20260723,first_line_abs_flow,-0.3183917999267578
logistic,20260723,second_line_abs_flow,0.13650673627853394
logistic,20260723,first_outage_num_overloaded_lines,-0.04921521618962288
logistic,20260723,first_outage_max_loading_ratio,-0.009017257019877434
logistic,20260723,first_outage_total_load_shed_mw,-0.11217737942934036
logistic,20260723,candidate_position_min_rank,-0.4838874936103821
logistic,20260724,rank_in_pio,0.21795713901519775
logistic,20260724,rank_in_paper,0.3703972101211548
logistic,20260724,rank_in_lodf,-0.3484707474708557
logistic,20260724,pio_score,0.27816182374954224
logistic,20260724,paper_score,0.14624668657779694
logistic,20260724,lodf_score,0.3817561864852905
logistic,20260724,ensemble_score_alpha_0_75,0.1869814544916153
logistic,20260724,first_line_loading_ratio,-0.1026948094367981
logistic,20260724,second_line_loading_ratio,0.20252366364002228
logistic,20260724,max_loading_ratio,0.10049720853567123
logistic,20260724,min_security_margin,0.0882321149110794
logistic,20260724,min_relay_margin,-0.12734822928905487
logistic,20260724,first_line_abs_flow,-0.38533684611320496
logistic,20260724,second_line_abs_flow,0.13828524947166443
logistic,20260724,first_outage_num_overloaded_lines,-0.05525849014520645
logistic,20260724,first_outage_max_loading_ratio,0.0099683478474617
logistic,20260724,first_outage_total_load_shed_mw,0.12130741775035858
logistic,20260724,candidate_position_min_rank,-0.501820981502533
logistic,20260725,rank_in_pio,-0.06959842145442963
logistic,20260725,rank_in_paper,0.12926076352596283
logistic,20260725,rank_in_lodf,-0.46284016966819763
logistic,20260725,pio_score,-0.040624573826789856
logistic,20260725,paper_score,0.025594789534807205
logistic,20260725,lodf_score,0.2644043564796448
logistic,20260725,ensemble_score_alpha_0_75,0.29417237639427185
logistic,20260725,first_line_loading_ratio,-0.05200577527284622
logistic,20260725,second_line_loading_ratio,0.37067344784736633
logistic,20260725,max_loading_ratio,0.07870727777481079
logistic,20260725,min_security_margin,0.01967749185860157
logistic,20260725,min_relay_margin,-0.15951648354530334
logistic,20260725,first_line_abs_flow,-0.40097999572753906
logistic,20260725,second_line_abs_flow,0.027844153344631195
logistic,20260725,first_outage_num_overloaded_lines,-0.05056217312812805
logistic,20260725,first_outage_max_loading_ratio,-0.15715135633945465
logistic,20260725,first_outage_total_load_shed_mw,-0.1643056571483612
logistic,20260725,candidate_position_min_rank,-0.3325502872467041
logistic,20260726,rank_in_pio,-0.06107671186327934
logistic,20260726,rank_in_paper,0.37732604146003723
logistic,20260726,rank_in_lodf,-0.4026704728603363
logistic,20260726,pio_score,0.24786923825740814
logistic,20260726,paper_score,0.2013157308101654
logistic,20260726,lodf_score,0.3666297197341919
logistic,20260726,ensemble_score_alpha_0_75,0.04502745717763901
logistic,20260726,first_line_loading_ratio,-0.13288289308547974
logistic,20260726,second_line_loading_ratio,0.4378840923309326
logistic,20260726,max_loading_ratio,0.10611005872488022
logistic,20260726,min_security_margin,0.0504329651594162
logistic,20260726,min_relay_margin,-0.1332099288702011
logistic,20260726,first_line_abs_flow,-0.4011325538158417
logistic,20260726,second_line_abs_flow,-0.019290117546916008
logistic,20260726,first_outage_num_overloaded_lines,-0.029665468260645866
logistic,20260726,first_outage_max_loading_ratio,-0.0965418890118599
logistic,20260726,first_outage_total_load_shed_mw,0.10714606940746307
logistic,20260726,candidate_position_min_rank,-0.4015957713127136
