model_type,split,num_samples,num_critical,pr_auc,roc_auc,precision_at_20,recall_at_20,recall_at_50,recall_at_100,recall_at_200,mean_critical_rank,median_critical_rank,positive_score_mean,negative_score_mean,score_gap
logistic,heldout_seed_20260722,1406,55,0.6898027357643046,0.9733665298432138,0.95,0.34545454545454546,0.5636363636363636,0.7272727272727273,0.9454545454545454,63.981818181818184,41.0,0.8747543020681902,0.31353149508132283,0.5612228069868673
logistic,heldout_seed_20260723,1406,52,0.6956810913069678,0.9806556073173504,0.8,0.3076923076923077,0.6153846153846154,0.8461538461538461,0.9807692307692307,52.69230769230769,37.5,0.8623739354885541,0.31970298887014476,0.5426709466184094
logistic,heldout_seed_20260724,1406,59,0.7665593656047532,0.9777408679677375,1.0,0.3389830508474576,0.576271186440678,0.8135593220338984,0.9661016949152542,59.983050847457626,32.0,0.8391974608776933,0.299995601181364,0.5392018596963293
logistic,heldout_seed_20260725,1406,52,0.6065160569975103,0.9672054312009999,0.8,0.3076923076923077,0.5192307692307693,0.7884615384615384,0.9230769230769231,70.90384615384616,47.5,0.8564363580483657,0.3702951689089815,0.4861411891393842
logistic,heldout_seed_20260726,1406,65,0.7506157403245457,0.9777548327883898,1.0,0.3076923076923077,0.5538461538461539,0.7846153846153846,0.9538461538461539,62.83076923076923,38.0,0.864830298607166,0.2965034036122757,0.5683268949948903
mlp,heldout_seed_20260722,1406,55,0.7937601179222862,0.9892066482740058,0.85,0.3090909090909091,0.6727272727272727,0.9272727272727272,1.0,42.58181818181818,34.0,0.9677691730585966,0.07188656503752483,0.8958826080210718
mlp,heldout_seed_20260723,1406,52,0.8287154512396568,0.9930121577093513,0.9,0.34615384615384615,0.7307692307692307,1.0,1.0,35.96153846153846,29.0,0.9488693555960288,0.04405024693214012,0.9048191086638887
mlp,heldout_seed_20260724,1406,59,0.8759149971083278,0.9900469341789035,1.0,0.3389830508474576,0.711864406779661,0.8983050847457628,0.9830508474576272,43.40677966101695,30.0,0.8570750860686777,0.031103107421619723,0.825971978647058
mlp,heldout_seed_20260725,1406,52,0.8394492580448709,0.9907538916032269,0.95,0.36538461538461536,0.7307692307692307,0.9423076923076923,1.0,39.01923076923077,30.5,0.9420722672142662,0.053477885773923206,0.888594381440343
mlp,heldout_seed_20260726,1406,65,0.8752051123135374,0.9930820856995354,1.0,0.3076923076923077,0.6461538461538462,0.9538461538461539,1.0,42.276923076923076,37.0,0.9303808010541476,0.04308862304671441,0.8872921780074331
