table,method,top_k,num_cases,dynamic_unstable_count,dynamic_precision_at_k,mean_frequency_nadir_hz,min_frequency_nadir_hz,mean_rotor_angle_separation_coi_deg,max_rotor_angle_separation_coi_deg,mean_dynamic_stress_score,median_dynamic_stress_score,cases_with_security_redispatch_or_load_shed,cases_with_passive_relay_trip,total_dynamic_load_shed_mw,opa_critical_and_dynamic_unstable_count,opa_noncritical_but_dynamic_unstable_count,calibration_warning,all_stable_warning,all_unstable_warning,nondegenerate_dynamic_layer,preliminary_dynamic_discrimination_signal,event_strength_options_json,dynamic_discrimination_signal,dataset_source,dataset_scale,num_dataset_samples,num_dataset_positives,positive_ratio,model_auc,model_ap,num_paths,opa_is_critical_positive_count,mean_opa_total_load_shed_mw,stress_corr_with_opa_total_load_shed_mw,stress_corr_with_reranker_score,stress_corr_with_pio_score,stress_corr_with_lodf_score,dynamic_unstable_corr_with_opa_is_critical,summary_dynamic_precision_at_k,rank_depth_mean_stress_at_k,metric,estimate,ci_low,ci_high,bootstrap_n,random_seed
dynamic_summary,learned_mlp,50,50.0,15.0,0.3,49.40239293935422,49.2297785881481,179.8481372976387,179.999287908287,0.0985310634191355,0.053989157822599,0.0,0.0,0.0,4.0,11.0,False,False,False,True,False,results/gcn_search/simulink_dynamic_event_strength_calibration/recommended_event_strength_options.json,False,simulator_derived_medium,medium,8000.0,471.0,0.058875,0.7906976744186046,0.1339873062724601,,,,,,,,,,,,,,,,
dynamic_summary,learned_mlp,100,100.0,27.0,0.27,49.41446450292288,49.2297785881481,179.855628925069,179.999287908287,0.0871096484670206,0.0238705148210485,0.0,0.0,0.0,5.0,22.0,False,False,False,True,False,results/gcn_search/simulink_dynamic_event_strength_calibration/recommended_event_strength_options.json,False,simulator_derived_medium,medium,8000.0,471.0,0.058875,0.7906976744186046,0.1339873062724601,,,,,,,,,,,,,,,,
dynamic_summary,pio_gcn,50,50.0,17.0,0.34,49.40295543421468,49.2297785881481,179.82549582663253,179.999287908287,0.0997400190015217,0.0365731298814502,0.0,0.0,0.0,2.0,15.0,False,False,False,True,False,results/gcn_search/simulink_dynamic_event_strength_calibration/recommended_event_strength_options.json,False,simulator_derived_medium,medium,8000.0,471.0,0.058875,0.7906976744186046,0.1339873062724601,,,,,,,,,,,,,,,,
dynamic_summary,pio_gcn,100,100.0,36.0,0.36,49.399846062414845,49.2297785881481,179.83075163242896,179.999287908287,0.1028680317048357,0.0365731298814502,0.0,0.0,0.0,4.0,32.0,False,False,False,True,False,results/gcn_search/simulink_dynamic_event_strength_calibration/recommended_event_strength_options.json,False,simulator_derived_medium,medium,8000.0,471.0,0.058875,0.7906976744186046,0.1339873062724601,,,,,,,,,,,,,,,,
dynamic_summary,lodf,50,50.0,14.0,0.28,49.41259707006566,49.2297785881481,179.81370431449818,179.999287908287,0.08868230825958,0.0365731298814502,0.0,0.0,0.0,1.0,13.0,False,False,False,True,False,results/gcn_search/simulink_dynamic_event_strength_calibration/recommended_event_strength_options.json,False,simulator_derived_medium,medium,8000.0,471.0,0.058875,0.7906976744186046,0.1339873062724601,,,,,,,,,,,,,,,,
dynamic_summary,lodf,100,100.0,30.0,0.3,49.41187833748359,49.2297785881481,179.83138912731934,179.999589929414,0.0900392178130809,0.0303195417725987,0.0,0.0,0.0,2.0,28.0,False,False,False,True,False,results/gcn_search/simulink_dynamic_event_strength_calibration/recommended_event_strength_options.json,False,simulator_derived_medium,medium,8000.0,471.0,0.058875,0.7906976744186046,0.1339873062724601,,,,,,,,,,,,,,,,
alignment,learned_mlp,50,,15.0,,,,,,0.0985310634191355,,,,,,,,,,,,,,,,,,,,,50.0,8.0,12.716705844963874,0.1616461054583524,0.2127526050551547,-0.1976303146739434,-0.0730822643930373,0.1904761904761906,0.3,0.0985310634191355,,,,,,
alignment,learned_mlp,100,,27.0,,,,,,0.0871096484670205,,,,,,,,,,,,,,,,,,,,,100.0,11.0,8.748665418964782,0.1210852085748984,0.1261282218439439,-0.1452759662527395,0.0702898337593715,0.146137401189071,0.27,0.0871096484670206,,,,,,
alignment,pio_gcn,50,,17.0,,,,,,0.0997400190015217,,,,,,,,,,,,,,,,,,,,,50.0,7.0,10.587010717922192,-0.0533404052443067,-0.0525918059772076,0.1140980880344707,-0.039611009324704,-0.0462369227679126,0.34,0.0997400190015217,,,,,,
alignment,pio_gcn,100,,36.0,,,,,,0.1028680317048357,,,,,,,,,,,,,,,,,,,,,100.0,15.0,10.929092048853493,-0.0685232974999345,-0.1277307922717507,0.0043990022725427,0.0350675138393204,-0.0816830049016337,0.36,0.1028680317048357,,,,,,
