method,top_k,num_test_seeds,mean_found,std_found,mean_recall,std_recall,mean_runtime_seconds,notes
PIO_GCN_Top20,20,3,13.0,1.4142135623730951,0.2372593105038626,0.010414517151104323,0.5367209911346436,synthetic renewable preliminary
PIO_GCN_Top50,50,3,19.0,2.160246899469287,0.3465352242591952,0.014154028802414153,0.5367209911346436,synthetic renewable preliminary
PIO_GCN_Top100,100,3,23.333333333333332,2.494438257849294,0.425804219993082,0.013417514038088578,0.5367209911346436,synthetic renewable preliminary
PIO_GCN_Top200,200,3,27.0,1.632993161855452,0.4946241208347746,0.011663605011103242,0.5367209911346436,synthetic renewable preliminary
random,20,3,0.3333333333333333,0.4714045207910317,0.005649717514124294,0.007989907132051385,0.0,synthetic renewable baseline
random,50,3,1.6666666666666667,0.9428090415820634,0.03201026173181137,0.020660904346763587,0.0,synthetic renewable baseline
random,100,3,4.0,0.816496580927726,0.0744696183558169,0.0203423559112456,0.0,synthetic renewable baseline
random,200,3,7.666666666666667,3.39934634239519,0.14122852530842847,0.061993221764419994,0.0,synthetic renewable baseline
line_order,20,3,2.3333333333333335,0.4714045207910317,0.04245935662400554,0.006286381256424393,0.0,synthetic renewable baseline
line_order,50,3,2.3333333333333335,0.4714045207910317,0.04245935662400554,0.006286381256424393,0.0,synthetic renewable baseline
line_order,100,3,4.333333333333333,0.4714045207910317,0.07926899573388678,0.005687826350476461,0.0,synthetic renewable baseline
line_order,200,3,7.0,1.4142135623730951,0.1273780698720166,0.018859143769273175,0.0,synthetic renewable baseline
oracle,20,3,20.0,0.0,0.3680963910988124,0.029285496384500793,0.0,synthetic renewable baseline
oracle,50,3,49.666666666666664,0.4714045207910317,0.9134382566585956,0.06395300652327938,0.0,synthetic renewable baseline
oracle,100,3,54.666666666666664,4.189935029992179,1.0,0.0,0.0,synthetic renewable baseline
oracle,200,3,54.666666666666664,4.189935029992179,1.0,0.0,0.0,synthetic renewable baseline
LODF_yP,20,3,2.0,0.0,0.03680963910988124,0.002928549638450078,0.0,synthetic renewable baseline
LODF_yP,50,3,4.0,2.8284271247461903,0.070707944194627,0.04592807420572498,0.0,synthetic renewable baseline
LODF_yP,100,3,4.333333333333333,3.299831645537222,0.0763576617087513,0.05391097827259774,0.0,synthetic renewable baseline
LODF_yP,200,3,12.0,4.546060565661952,0.22019485760405857,0.08048131166150606,0.0,synthetic renewable baseline
paper_GCN_path_prob_strong,20,3,12.666666666666666,1.247219128924647,0.23160959298973827,0.013113926804930323,0.0,synthetic renewable baseline
paper_GCN_path_prob_strong,50,3,16.666666666666668,0.9428090415820634,0.3057765479072985,0.016670374331306644,0.0,synthetic renewable baseline
paper_GCN_path_prob_strong,100,3,20.666666666666668,1.247219128924647,0.3785454859910066,0.006569370036271228,0.0,synthetic renewable baseline
paper_GCN_path_prob_strong,200,3,25.0,2.8284271247461903,0.4561138014527845,0.021896606837392172,0.0,synthetic renewable baseline
