seed,method,top_k,critical_found,critical_path_recall,runtime_seconds,notes
20260722,PIO_GCN_Top20,20,14,0.23728813559322035,0.5268654823303223,synthetic renewable preliminary
20260722,PIO_GCN_Top50,50,21,0.3559322033898305,0.5268654823303223,synthetic renewable preliminary
20260722,PIO_GCN_Top100,100,26,0.4406779661016949,0.5268654823303223,synthetic renewable preliminary
20260722,PIO_GCN_Top200,200,29,0.4915254237288136,0.5268654823303223,synthetic renewable preliminary
20260723,PIO_GCN_Top20,20,11,0.22448979591836735,0.5289220809936523,synthetic renewable preliminary
20260723,PIO_GCN_Top50,50,16,0.32653061224489793,0.5289220809936523,synthetic renewable preliminary
20260723,PIO_GCN_Top100,100,20,0.40816326530612246,0.5289220809936523,synthetic renewable preliminary
20260723,PIO_GCN_Top200,200,25,0.5102040816326531,0.5289220809936523,synthetic renewable preliminary
20260724,PIO_GCN_Top20,20,14,0.25,0.554375410079956,synthetic renewable preliminary
20260724,PIO_GCN_Top50,50,20,0.35714285714285715,0.554375410079956,synthetic renewable preliminary
20260724,PIO_GCN_Top100,100,24,0.42857142857142855,0.554375410079956,synthetic renewable preliminary
20260724,PIO_GCN_Top200,200,27,0.48214285714285715,0.554375410079956,synthetic renewable preliminary
