policy,negative_return,survival_probability
ppo_agent,-0.0,1.0
ppo_agent,-0.0,0.99
ppo_agent,-0.0,0.98
ppo_agent,-0.0,0.97
ppo_agent,-0.0,0.96
ppo_agent,-0.0,0.95
ppo_agent,-0.0,0.94
ppo_agent,-0.0,0.9299999999999999
ppo_agent,-0.0,0.92
ppo_agent,-0.0,0.91
ppo_agent,-0.0,0.9
ppo_agent,-0.0,0.89
ppo_agent,-0.0,0.88
ppo_agent,-0.0,0.87
ppo_agent,-0.0,0.86
ppo_agent,-0.0,0.85
ppo_agent,-0.0,0.84
ppo_agent,-0.0,0.83
ppo_agent,-0.0,0.8200000000000001
ppo_agent,-0.0,0.81
ppo_agent,-0.0,0.8
ppo_agent,-0.0,0.79
ppo_agent,-0.0,0.78
ppo_agent,-0.0,0.77
ppo_agent,-0.0,0.76
ppo_agent,-0.0,0.75
ppo_agent,-0.0,0.74
ppo_agent,1.9950166250831893,0.73
ppo_agent,100.0,0.72
ppo_agent,100.0,0.71
ppo_agent,100.0,0.7
ppo_agent,100.0,0.69
ppo_agent,100.0,0.6799999999999999
ppo_agent,100.0,0.6699999999999999
ppo_agent,100.0,0.6599999999999999
ppo_agent,100.0,0.65
ppo_agent,100.0,0.64
ppo_agent,100.1,0.63
ppo_agent,100.1,0.62
ppo_agent,100.1,0.61
ppo_agent,100.1,0.6
ppo_agent,101.1046691347357,0.5900000000000001
ppo_agent,101.12822125828782,0.5800000000000001
ppo_agent,101.98013266932448,0.5700000000000001
ppo_agent,101.98013266932448,0.56
ppo_agent,101.98013266932448,0.55
ppo_agent,101.98013266932448,0.54
ppo_agent,101.9887335587143,0.53
ppo_agent,102.95544664514918,0.52
ppo_agent,102.95544664514918,0.51
ppo_agent,102.95544664514918,0.5
ppo_agent,102.95544664514918,0.49
ppo_agent,102.95544664514918,0.48
ppo_agent,102.95544664514918,0.47
ppo_agent,102.95544664514918,0.45999999999999996
ppo_agent,102.9689601586627,0.44999999999999996
ppo_agent,103.0020764679459,0.43999999999999995
ppo_agent,103.00216901474295,0.43000000000000005
ppo_agent,103.01177172669844,0.42000000000000004
ppo_agent,103.0138602814437,0.41000000000000003
ppo_agent,103.08865127835381,0.4
ppo_agent,103.92105608476768,0.39
ppo_agent,103.92105608476768,0.38
ppo_agent,103.92105608476768,0.37
ppo_agent,103.92105608476768,0.36
ppo_agent,103.9345695982812,0.35
ppo_agent,103.95039971411131,0.33999999999999997
ppo_agent,104.05699591260856,0.32999999999999996
ppo_agent,104.8770575499286,0.31999999999999995
ppo_agent,104.89057106344211,0.31000000000000005
ppo_agent,104.95046327023238,0.30000000000000004
ppo_agent,104.9740153937845,0.29000000000000004
ppo_agent,105.083667903437,0.28
ppo_agent,105.09674866961971,0.27
ppo_agent,105.83706015508864,0.26
ppo_agent,105.86844769401152,0.25
ppo_agent,105.9295862233644,0.24
ppo_agent,106.04323776126624,0.22999999999999998
ppo_agent,106.04323776126624,0.21999999999999997
ppo_agent,106.08750128127946,0.20999999999999996
ppo_agent,106.08750128127946,0.19999999999999996
ppo_agent,106.21143950521767,0.18999999999999995
ppo_agent,106.7741315229187,0.18000000000000005
ppo_agent,106.84273506568451,0.17000000000000004
ppo_agent,106.8855876885253,0.16000000000000003
ppo_agent,106.92033672327433,0.15000000000000002
