setting,step,smoothed_episode_return
"lr=1e-3, ent=0p001",1.0,-105.09380969316663
"lr=1e-3, ent=0p001",2.0,-105.15276263657302
"lr=1e-3, ent=0p001",3.0,-104.39534325416456
"lr=1e-3, ent=0p001",4.0,-103.53627460333165
"lr=1e-3, ent=0p001",5.0,-103.10042131310186
"lr=1e-3, ent=0p001",6.0,-82.50033705048149
"lr=1e-3, ent=0p001",7.0,-86.71974141934484
"lr=1e-3, ent=0p001",9.0,-90.20688246450571
"lr=1e-3, ent=0p001",10.0,-92.99867861799268
"lr=1e-3, ent=0p001",11.0,-95.01321197631782
"lr=1e-3, ent=0p001",12.0,-76.03056958105425
"lr=1e-3, ent=0p001",14.0,-82.7358335683462
"lr=1e-3, ent=0p001",15.0,-86.20866685467695
"lr=1e-3, ent=0p001",16.0,-88.98693348374155
"lr=1e-3, ent=0p001",18.0,-92.04256661795358
"lr=1e-3, ent=0p001",20.0,-94.2772722060967
"lr=1e-3, ent=0p001",22.0,-96.70124214219886
"lr=1e-3, ent=0p001",23.0,-98.93808231088755
"lr=1e-3, ent=0p001",25.0,-99.98155517773988
"lr=1e-3, ent=0p001",26.0,-100.43402873937758
"lr=1e-3, ent=0p001",27.0,-100.56622631651871
"lr=1e-3, ent=0p001",28.0,-100.47298105321497
"lr=1e-3, ent=0p001",29.0,-101.08784212565693
"lr=1e-3, ent=0p001",30.0,-102.0962185500761
"lr=1e-3, ent=0p001",31.0,-101.69697484006089
"lr=1e-3, ent=0p001",32.0,-102.96033135763074
"lr=1e-3, ent=0p001",33.0,-103.0258826791623
"lr=1e-3, ent=0p001",34.0,-104.01961473683264
"lr=1e-3, ent=0p001",35.0,-103.23569178946612
"lr=1e-3, ent=0p001",36.0,-103.61412236490575
"lr=1e-3, ent=0p001",37.0,-103.13694214358217
"lr=1e-3, ent=0p001",38.0,-103.17026788135476
"lr=1e-3, ent=0p001",39.0,-102.55621430508381
"lr=1e-3, ent=0p001",40.0,-102.55583990149658
"lr=1e-3, ent=0p001",41.0,-82.06467192119727
"lr=1e-3, ent=0p001",42.0,-65.67173753695782
"lr=1e-3, ent=0p001",43.0,-72.80984262889301
"lr=1e-3, ent=0p001",45.0,-78.74715258947339
"lr=1e-3, ent=0p001",46.0,-83.90373361292109
"lr=1e-3, ent=0p001",47.0,-88.7955151381415
"lr=1e-3, ent=0p001",49.0,-91.87144196939474
"lr=1e-3, ent=0p001",50.0,-94.18472654671422
"lr=1e-3, ent=0p001",51.0,-96.45285585348688
"lr=1e-3, ent=0p001",52.0,-97.8818248611263
"lr=1e-3, ent=0p001",53.0,-98.32545988890105
"lr=1e-3, ent=0p001",54.0,-100.35006712423937
"lr=1e-3, ent=0p001",55.0,-100.3000536993915
"lr=1e-3, ent=0p001",56.0,-100.48097678646035
"lr=1e-3, ent=0p001",57.0,-101.68271179365883
"lr=1e-3, ent=0p001",58.0,-102.18100088854354
"lr=1e-3, ent=0p001",59.0,-102.67544244549954
"lr=1e-3, ent=0p001",60.0,-102.8754944136037
"lr=1e-3, ent=0p001",61.0,-102.71642206474786
"lr=1e-3, ent=0p001",62.0,-103.02221800085252
"lr=1e-3, ent=0p001",63.0,-102.43777440068202
"lr=1e-3, ent=0p001",64.0,-102.65946818895542
"lr=1e-3, ent=0p001",65.0,-102.14757455116434
"lr=1e-3, ent=0p001",66.0,-81.71805964093147
"lr=1e-3, ent=0p001",67.0,-87.06013832647115
"lr=1e-3, ent=0p001",68.0,-90.69989282753329
"lr=1e-3, ent=0p001",69.0,-92.57991426202663
"lr=1e-3, ent=0p001",70.0,-94.0839314096213
"lr=1e-3, ent=0p001",71.0,-95.77500721317875
"lr=1e-3, ent=0p001",72.0,-96.640005770543
"lr=1e-3, ent=0p001",73.0,-97.9979484308586
"lr=1e-3, ent=0p001",75.0,-98.83736206970353
