method,rank,path,first_line,second_line,score_alpha,p_shed_first,p_shed_second,path_product_score,critical,relay_cascade,critical_mechanism,total_load_shed_mw
strict_path_prob,1,L038->L183,L038,L183,0.99886822754277,0.9989367,0.9999314546585084,0.99886822754277,True,True,relay_cascade,81.35922639729833
strict_path_prob,2,L036->L183,L036,L183,0.9849609125484825,0.9853674,0.9995874762535096,0.9849609125484824,True,True,relay_cascade,81.35922639729833
strict_path_prob,3,L036->L054,L036,L054,0.9839204667742254,0.9853674,0.9985315799713136,0.9839204667742252,False,False,non_critical,0.0
strict_path_prob,4,L038->L047,L038,L047,0.9800595580368697,0.9989367,0.9811027646064758,0.9800595580368696,True,True,relay_cascade,31.30060533486052
strict_path_prob,5,L038->L032,L038,L032,0.9673515463051022,0.9989367,0.9683812260627748,0.967351546305102,False,False,non_critical,0.0
strict_path_prob,6,L097->L183,L097,L183,0.96080524,0.96080524,1.0,0.96080524,True,True,relay_cascade,81.35922639729833
strict_path_prob,7,L097->L096,L097,L096,0.9607561036655856,0.96080524,0.9999488592147828,0.9607561036655856,False,False,non_critical,0.0
strict_path_prob,8,L097->L185,L097,L185,0.960702844002409,0.96080524,0.9998934268951416,0.960702844002409,False,False,non_critical,0.0
strict_path_prob,9,L097->L181,L097,L181,0.9606974607676364,0.96080524,0.9998878240585328,0.9606974607676364,True,True,relay_cascade,20.772296104867053
strict_path_prob,10,L097->L016,L097,L016,0.9602810618311238,0.96080524,0.9994544386863708,0.9602810618311238,True,True,relay_cascade,31.514792047850804
strict_path_prob,11,L036->L051,L036,L051,0.9598442637687922,0.9853674,0.9740978479385376,0.9598442637687922,True,True,relay_cascade,36.76716258821504
strict_path_prob,12,L036->L016,L036,L016,0.959563111416471,0.9853674,0.9738125205039978,0.959563111416471,True,True,relay_cascade,31.514792047850804
strict_path_prob,13,L036->L022,L036,L022,0.9556017822526932,0.9853674,0.969792366027832,0.9556017822526932,True,True,relay_cascade,25.67010059251546
strict_path_prob,14,L097->L047,L097,L047,0.9555308152918719,0.96080524,0.9945104122161864,0.955530815291872,True,True,relay_cascade,31.30060533486052
strict_path_prob,15,L038->L181,L038,L181,0.9521783474892497,0.9989367,0.953191876411438,0.9521783474892496,True,True,relay_cascade,20.772296104867053
strict_path_prob,16,L038->L147,L038,L147,0.9515646556486667,0.9989367,0.952577531337738,0.9515646556486668,True,True,relay_cascade,43.59265123807146
strict_path_prob,17,L008->L183,L008,L183,0.95027333,0.95027333,1.0,0.95027333,True,False,island_only,81.35922639729833
strict_path_prob,18,L097->L038,L097,L038,0.940903478313849,0.96080524,0.9792863726615906,0.940903478313849,False,False,non_critical,0.0
strict_path_prob,19,L038->L016,L038,L016,0.9369655537307381,0.9989367,0.9379628896713256,0.9369655537307382,True,True,relay_cascade,31.514792047850804
strict_path_prob,20,L097->L051,L097,L051,0.9341507829760696,0.96080524,0.97225821018219,0.9341507829760696,False,False,non_critical,0.0
strict_path_prob,21,L036->L038,L036,L038,0.9337848413188578,0.9853674,0.9476514458656312,0.9337848413188576,False,False,non_critical,0.0
strict_path_prob,22,L008->L051,L008,L051,0.9250627790903808,0.95027333,0.9734702110290528,0.9250627790903808,False,False,non_critical,0.0
strict_path_prob,23,L097->L180,L097,L180,0.9127316363054824,0.96080524,0.9499652981758118,0.9127316363054824,True,True,relay_cascade,7.272188818003705
strict_path_prob,24,L008->L147,L008,L147,0.9022182236797024,0.95027333,0.9494302272796632,0.9022182236797024,True,True,relay_cascade,43.59265123807146
strict_path_prob,25,L008->L016,L008,L016,0.9021781787017804,0.95027333,0.9493880867958068,0.9021781787017804,True,False,island_only,31.514792047850804
strict_path_prob,26,L008->L097,L008,L097,0.9009030831671601,0.95027333,0.9480462670326232,0.9009030831671602,False,False,non_critical,0.0
strict_path_prob,27,L036->L037,L036,L037,0.899857146812153,0.9853674,0.9132199287414552,0.8998571468121529,False,False,non_critical,0.0
