method,alpha,epsilon,budget_type,budget_label,K,search_budget_ratio,critical_hit_count,relay_cascade_hit_count,recall_critical,recall_relay_cascade,precision_at_k,captured_total_load_shed_mw,captured_total_load_shed_ratio,captured_relay_cascade_load_shed_mw,captured_relay_cascade_load_shed_ratio,mean_p_first_topk,median_p_first_topk,mean_p_second_topk,median_p_second_topk,num_low_p_first_high_p_second_hits,critical_hit_count_std,relay_cascade_hit_count_std,recall_critical_std,recall_relay_cascade_std,precision_at_k_std,captured_total_load_shed_mw_std,captured_total_load_shed_ratio_std,captured_relay_cascade_load_shed_mw_std,captured_relay_cascade_load_shed_ratio_std,mean_p_first_topk_std,median_p_first_topk_std,mean_p_second_topk_std,median_p_second_topk_std,num_low_p_first_high_p_second_hits_std
LODF_yP,,,fixed,100,100,0.003071253071253,10.0,10.0,0.0057012542759407,0.0060864272671941,0.1,333.77905639431845,0.0057126281553966,333.7790563943185,0.0060170109146639,0.26663030000000004,0.2666303,0.1490540949683236,0.0163997909985482,0.0,,,,,,,,,,,,,,
LODF_yP,,,percent,0.5%,163,0.0050061425061425,10.0,10.0,0.0057012542759407,0.0060864272671941,0.0613496932515337,333.77905639431845,0.0057126281553966,333.7790563943185,0.0060170109146639,0.26663030000000004,0.2666303,0.11069367829592801,0.0135268783196806,0.0,,,,,,,,,,,,,,
LODF_yP,,,percent,1%,326,0.010012285012285,20.0,20.0,0.0114025085518814,0.0121728545343883,0.0613496932515337,654.707828408093,0.0112053237088195,654.707828408093,0.0118023706819805,0.5331456151226994,0.2666303,0.10865838596929314,0.012632586527615699,0.0,,,,,,,,,,,,,,
LODF_yP,,,fixed,500,500,0.0153562653562653,33.0,26.0,0.0188141391106043,0.0158247108947048,0.066,1028.0321360993116,0.0175947687933886,805.8211272580052,0.0145264791936201,0.6723709439,0.88282883,0.12190754007754728,0.01603256259113545,0.0,,,,,,,,,,,,,,
LODF_yP,,,percent,2%,651,0.0199938574938574,44.0,35.0,0.0250855188141391,0.0213024954351795,0.0675883256528417,1375.125339030673,0.0235352685510189,1101.079798679264,0.0198490859137137,0.7440068023041475,0.88282883,0.1268007306364433,0.0175962094217538,0.0,,,,,,,,,,,,,,
LODF_yP,,,fixed,1000,1000,0.0307125307125307,58.0,49.0,0.0330672748004561,0.0298234936092513,0.058,1860.291077897772,0.0318388795978778,1586.2455375463624,0.0285951336068189,0.613846257895,0.88282883,0.1231317827944913,0.016349643468856798,5.0,,,,,,,,,,,,,,
LODF_yP,,,percent,5%,1628,0.05,93.0,84.0,0.0530216647662485,0.0511259890444309,0.0571253071253071,2999.937121215491,0.0513439202812932,2725.891580864082,0.0491394504239751,0.5174500110227274,0.44212142,0.12118205789408991,0.014915444422513201,9.0,,,,,,,,,,,,,,
LODF_yP,,,fixed,2000,2000,0.0614250614250614,112.0,103.0,0.0638540478905359,0.0626902008520998,0.056,3638.6604895806913,0.0622756699753849,3364.6149492292816,0.0606536704005696,0.440722783995,0.2666303,0.12288258967736948,0.015243324451148451,18.0,,,,,,,,,,,,,,
LODF_yP,,,percent,10%,3256,0.1,186.0,159.0,0.1060433295324971,0.0967741935483871,0.0571253071253071,6021.846905809528,0.1030639026703211,5276.4747242562735,0.0951186283218787,0.28646362442045453,0.043734573,0.1269645677630213,0.01619228348135945,51.0,,,,,,,,,,,,,,
LODF_yP,,,fixed,5000,5000,0.1535626535626535,275.0,248.0,0.1567844925883694,0.1509433962264151,0.055,8933.271628610466,0.1528929333574412,8187.899447057211,0.1476026712799855,0.22921723320930001,0.040180307,0.12799717438528244,0.0163721907883882,104.0,,,,,,,,,,,,,,
