method,alpha,epsilon,budget_type,budget_label,K,search_budget_ratio,critical_hit_count,relay_cascade_hit_count,recall_critical,recall_relay_cascade,precision_at_k,captured_total_load_shed_mw,captured_total_load_shed_ratio,captured_relay_cascade_load_shed_mw,captured_relay_cascade_load_shed_ratio,mean_p_first_topk,median_p_first_topk,mean_p_second_topk,median_p_second_topk,num_low_p_first_high_p_second_hits,critical_hit_count_std,relay_cascade_hit_count_std,recall_critical_std,recall_relay_cascade_std,precision_at_k_std,captured_total_load_shed_mw_std,captured_total_load_shed_ratio_std,captured_relay_cascade_load_shed_mw_std,captured_relay_cascade_load_shed_ratio_std,mean_p_first_topk_std,median_p_first_topk_std,mean_p_second_topk_std,median_p_second_topk_std,num_low_p_first_high_p_second_hits_std,strict_critical_hit_count,second_only_critical_hit_count,critical_hits_vs_strict,critical_hits_vs_second_only
random,,,fixed,100,100,0.003071253071253071,6.6,6.3,0.0037628278221208664,0.003834449178332319,0.066,210.13826003962785,0.003596516072027798,203.7313381458734,0.0036726501013131956,0.108823294360253,0.0298386213,0.13378925610746906,0.019014649419113946,2.4,2.988868236194653,2.79085809185793,0.0017040297811828124,0.0016986354789153561,0.029888682361946525,103.30793603300229,0.0017681152030127488,99.94547296500917,0.0018017098142648759,0.01715188537969705,0.006616724764401623,0.03774867360765617,0.005323651119327542,1.837873166945363,57.0,94.0,-50.4,-87.4
random,,,percent,0.5%,163,0.005006142506142506,10.0,9.6,0.005701254275940708,0.0058429701765063905,0.06134969325153374,313.90233985922833,0.0053724381754086505,305.6607681693864,0.005510124566015394,0.10930383053937916,0.0294270463,0.1325531737039603,0.018818985763937177,4.0,3.366501646120693,3.1692971530679235,0.001919328190490703,0.0019289696610273425,0.020653384332028787,137.5058009835302,0.0023534116211919786,134.76793058307706,0.0024294517397972187,0.01862213448733227,0.004551338473761831,0.02530136122538748,0.004269526768450296,2.943920288775949,85.0,156.0,-75.0,-146.0
random,,,percent,1%,326,0.010012285012285013,18.2,17.4,0.010376282782212087,0.010590383444917834,0.055828220858895695,585.099876284826,0.01001398369056173,563.135925943766,0.010151610617653833,0.10986804993479111,0.029944676249999996,0.12556369527717917,0.01631917092017825,6.8,5.2451035367389185,4.948624949305502,0.0029903668966584484,0.003011944582657031,0.016089274652573368,190.19964301550132,0.003255266665243164,182.32951819762056,0.0032868410406327107,0.011860753305844187,0.0028507665231036657,0.015497340342017147,0.0027279479790188466,3.6147844564602556,139.0,311.0,-120.8,-292.8
random,,,fixed,500,500,0.015356265356265357,27.6,26.6,0.01573546180159635,0.016189896530736457,0.055200000000000006,918.8066228508123,0.015725374263332,890.3486981628096,0.016050251602286188,0.11398827911521181,0.032856531849999995,0.12776245160033634,0.016161867417395066,10.3,4.671426144361294,4.550946177566936,0.002663298828028103,0.0027699002906676424,0.009342852288722586,168.16592177955414,0.0028781595523512983,160.6311905374252,0.0028956868568689722,0.01311984193812545,0.004632191207405525,0.010937107571564162,0.002993646623116304,3.4334951418181574,203.0,469.0,-175.4,-441.4
random,,,percent,2%,651,0.019993857493857493,35.4,33.8,0.020182440136830102,0.02057212416311625,0.054377880184331796,1152.6075593423107,0.019726877014845462,1115.1500614159315,0.020102729522672565,0.11312157918469201,0.0325780486,0.13008865362417926,0.0163737676106393,13.7,4.993328882953068,4.516635916254486,0.002846823764511441,0.0027490175996679766,0.007670244059835742,184.5037301886004,0.003157781123947851,173.98863075294895,0.003136480465782015,0.007551310464937632,0.004815550684147332,0.009851063961621954,0.0022406614347360468,3.0930028559098792,250.0,532.0,-214.6,-496.6
random,,,fixed,1000,1000,0.030712530712530713,55.4,52.7,0.03158494868871152,0.03207547169811321,0.05539999999999999,1780.0926894459067,0.030466284274382395,1721.973861938724,0.03104189829637178,0.11286751086692368,0.031698920900000004,0.13114505752961997,0.016557163884863217,21.4,9.118966803073446,7.789594198530356,0.0051989548478183845,0.004741079853031257,0.009118966803073444,296.61636917463045,0.005076588807587514,270.21480706740465,0.004871142788262939,0.006255213774831405,0.00309300875760137,0.01225219651364838,0.001644584938670806,4.671426144361294,360.0,661.0,-304.6,-605.6
random,,,percent,5%,1628,0.05,87.4,82.4,0.04982896237172178,0.050152160681679846,0.05368550368550369,2864.9487564753044,0.04903359457842847,2743.8283212520378,0.04946279474597574,0.1145145574963868,0.0315158424,0.12989133120882818,0.015914655989035926,35.6,10.09069978852915,8.959166627910582,0.00575296453165858,0.00545293160554509,0.006198218543322572,324.7056074564327,0.005557336087556756,285.71372097337286,0.005150540588547555,0.004915713895553686,0.0018588126114860535,0.009512731110601616,0.0011047884977835223,5.561774297230456,559.0,986.0,-471.6,-898.6
random,,,fixed,2000,2000,0.06142506142506143,106.3,100.0,0.06060433295324972,0.06086427267194157,0.05315000000000001,3464.7332484060926,0.05929890544840196,3319.3898901685548,0.05983840153102371,0.11490614909435451,0.031245332199999996,0.1300326133963431,0.015854586008936113,43.8,11.67190358653349,10.154364141151877,0.006654449023109171,0.006180379878972539,0.0058359517932667455,324.9646195203115,0.005561769078723682,292.2840758056935,0.005268983900019394,0.005351375285439255,0.0016535016498216279,0.007156418418493881,0.0009131684942681228,6.321040701937898,634.0,1159.0,-527.7,-1052.7
random,,,percent,10%,3256,0.1,176.2,164.9,0.10045610034207526,0.10036518563603165,0.05411547911547911,5757.768392365451,0.09854419922507644,5470.747797790547,0.0986207749709485,0.116238328098178,0.0314049359,0.13003372509067482,0.015919629950076293,73.4,14.950287994253191,13.787675656179326,0.008523539335378102,0.008391768506499895,0.004591611791846803,398.47792577431346,0.006819949228309772,371.9818814623689,0.006705690479788928,0.003824727201562313,0.001161436139383809,0.006008850164803822,0.0007146394199204098,9.935346552139544,922.0,1464.0,-745.8,-1287.8
random,,,fixed,5000,5000,0.15356265356265356,272.9,255.3,0.1555872291904219,0.15538648813146683,0.054580000000000004,8954.212672586753,0.15325133930032647,8504.257427231238,0.15330563371331263,0.1159447436724377,0.0315302571,0.13064434654074708,0.016120620165020187,111.1,15.602350250309511,14.220876672460575,0.00889529660793017,0.008655433154266935,0.0031204700500619027,461.17206742483825,0.007892959388504197,420.67355573893593,0.007583451771166211,0.003791487500604055,0.0011084334253982503,0.0035910653882780313,0.000612066081497472,10.257246760759493,1185.0,1705.0,-912.1,-1432.1
