parameter_name,parameter_value
fault_type_option,11
fault_type_option_unit,1
fault_type_option_conf,compiletime
R_pn_fault,1e-3
R_pn_fault_unit,Ohm
R_pn_fault_conf,compiletime
R_ng_fault,1e-3
R_ng_fault_unit,Ohm
R_ng_fault_conf,compiletime
exposemeasurement,ee.enum.exposemeasurement.hidden
exposemeasurement_unit,1
exposemeasurement_conf,compiletime
enable_external_fault,ee.enum.external_fault.hidden
enable_external_fault_unit,1
enable_external_fault_conf,compiletime
fault_threshold,0.5
fault_threshold_unit,1
fault_threshold_conf,compiletime
fault_condition,1
fault_condition_unit,1
fault_condition_conf,compiletime
fault_resettable,0
fault_resettable_unit,1
fault_resettable_conf,compiletime
enable_temporal_fault,1
enable_temporal_fault_unit,1
enable_temporal_fault_conf,compiletime
fault_start_time,5
fault_start_time_unit,s
fault_start_time_conf,compiletime
fault_duration,0.1
fault_duration_unit,s
fault_duration_conf,compiletime
G_parasitic,1e-6
G_parasitic_unit,1/Ohm
G_parasitic_conf,compiletime
