line_id,from_bus,to_bus,line_block_path,breaker_block_path,current_measurement_block_path,voltage_measurement_block_path,fault_injection_bus_or_line,mapping_status,note
L01,B1,B2,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B1 to B2,,,,B1,pilot_line_block_disable,No explicit breaker found; pilot trip disables the line block before simulation.
L02,B10,B11,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B10 to B11,,,,B10,pilot_line_block_disable,No explicit breaker found; pilot trip disables the line block before simulation.
L03,B10,B13,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B10 to B13,,,,B10,pilot_line_block_disable,No explicit breaker found; pilot trip disables the line block before simulation.
L04,B11,B6,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B11 to B6,,,,B11,pilot_line_block_disable,No explicit breaker found; pilot trip disables the line block before simulation.
L05,B13,B14,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B13 to B14,,,,B13,pilot_line_block_disable,No explicit breaker found; pilot trip disables the line block before simulation.
L06,B14,B15,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B14 to B15,,,,B14,pilot_line_block_disable,Extended from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L07,B15,B16,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B15 to B16,,,,B15,pilot_line_block_disable,Extended from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L08,B16,B17,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B16 to B17,,,,B16,pilot_line_block_disable,Extended from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L09,B16,B24,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B16 to B24,,,,B16,pilot_line_block_disable,Extended from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
L10,B17,B27,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B17 to B27,,,,B17,pilot_line_block_disable,Extended from real IEEE39 wrapper Grid inventory; no explicit breaker found; pilot trip disables the line block before simulation.
