inventory_index,block_name,block_path,parent_path,block_type,mask_type,bus_from_candidate,bus_to_candidate,is_line_like_candidate,note
1,B1 to B2,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B1 to B2,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B1,B2,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
2,B10 to B11,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B10 to B11,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B10,B11,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
3,B10 to B13,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B10 to B13,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B10,B13,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
4,B11 to B6,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B11 to B6,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B11,B6,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
5,B13 to B14,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B13 to B14,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B13,B14,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
6,B14 to B15,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B14 to B15,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B14,B15,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
7,B15 to B16,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B15 to B16,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B15,B16,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
8,B16 to B17,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B16 to B17,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B16,B17,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
9,B16 to B24,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B16 to B24,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B16,B24,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
10,B17 to B27,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B17 to B27,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B17,B27,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
11,B18 to B17,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B18 to B17,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B18,B17,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
12,B19 to B16,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B19 to B16,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B19,B16,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
13,B2 to B25,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B2 to B25,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B2,B25,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
14,B21 to B16,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B21 to B16,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B21,B16,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
15,B21 to B22,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B21 to B22,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B21,B22,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
16,B23 to B22,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B23 to B22,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B23,B22,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
17,B23 to B24,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B23 to B24,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B23,B24,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
18,B25 to B26,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B25 to B26,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B25,B26,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
19,B26 to B28,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B26 to B28,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B26,B28,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
20,B26 to B29,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B26 to B29,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B26,B29,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
21,B27 to B26,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B27 to B26,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B27,B26,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
22,B28 to B29,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B28 to B29,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B28,B29,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
23,B3 to B18,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B3 to B18,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B3,B18,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
24,B3 to B2,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B3 to B2,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B3,B2,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
25,B39 to B1,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B39 to B1,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B39,B1,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
26,B4 to B14,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B4 to B14,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B4,B14,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
27,B4 to B3,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B4 to B3,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B4,B3,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
28,B5 to B4,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B5 to B4,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B5,B4,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
29,B6 to B5,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B6 to B5,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B6,B5,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
30,B7 to B6,IEEE39BusSystem_dynamic_experiment_wrapper/Grid/B7 to B6,IEEE39BusSystem_dynamic_experiment_wrapper/Grid,SimscapeBlock,Transmission Line (Three-Phase),B7,B6,1,line-like candidate from Grid scan; bus pair parsed from block name; type or mask suggests line/branch
