seed,method,rank,path,method_score,first_probability,second_probability
20260722,physics_ce_no_mask,1,L28->L25,0.8235037326812744,0.867500901222229,0.9492828845977783
20260722,physics_ce_no_mask,2,L28->L26,0.8235037326812744,0.867500901222229,0.9492828845977783
20260722,physics_ce_no_mask,3,L28->L24,0.817348837852478,0.867500901222229,0.9421879053115845
20260722,physics_ce_no_mask,4,L10->L01,0.7858251333236694,0.8269250988960266,0.9502978324890137
20260722,physics_ce_no_mask,5,L28->L27,0.7773218750953674,0.867500901222229,0.8960473537445068
20260722,physics_ce_no_mask,6,L25->L28,0.7746748328208923,0.8388031721115112,0.9235478043556213
20260722,physics_ce_no_mask,7,L26->L28,0.7746748328208923,0.8388031721115112,0.9235478043556213
20260722,physics_ce_no_mask,8,L10->L09,0.7738115191459656,0.8269250988960266,0.93576979637146
20260722,physics_ce_no_mask,9,L10->L15,0.7705296277999878,0.8269250988960266,0.9318009614944458
20260722,physics_ce_no_mask,10,L28->L38,0.7701534032821655,0.867500901222229,0.8877840042114258
20260722,physics_ce_no_mask,11,L10->L17,0.7685911655426025,0.8269250988960266,0.9294568300247192
20260722,physics_ce_no_mask,12,L10->L14,0.7676287293434143,0.8269250988960266,0.9282929301261902
20260722,physics_ce_no_mask,13,L10->L08,0.7674972414970398,0.8269250988960266,0.9281339049339294
20260722,physics_ce_no_mask,14,L10->L02,0.7667726278305054,0.8269250988960266,0.9272576570510864
20260722,physics_ce_no_mask,15,L10->L16,0.7656239867210388,0.8269250988960266,0.925868570804596
20260722,physics_ce_no_mask,16,L27->L23,0.7641124725341797,0.8081671595573425,0.9454881548881531
20260722,physics_ce_no_mask,17,L10->L05,0.7606831789016724,0.8269250988960266,0.9198936820030212
20260722,physics_ce_no_mask,18,L25->L26,0.7576233744621277,0.8388031721115112,0.9032195210456848
20260722,physics_ce_no_mask,19,L26->L25,0.7576233744621277,0.8388031721115112,0.9032195210456848
20260722,physics_ce_no_mask,20,L10->L07,0.7563639283180237,0.8269250988960266,0.9146704077720642
20260722,physics_ce_no_mask,21,L10->L03,0.7538871169090271,0.8269250988960266,0.911675214767456
20260722,physics_ce_no_mask,22,L27->L28,0.7526087760925293,0.8081671595573425,0.9312538504600525
20260722,physics_ce_no_mask,23,L10->L04,0.7468980550765991,0.8269250988960266,0.9032233357429504
20260722,physics_ce_no_mask,24,L28->L23,0.7441341876983643,0.867500901222229,0.8577907085418701
20260722,physics_ce_no_mask,25,L10->L27,0.7429100871086121,0.8269250988960266,0.8984006643295288
20260722,physics_ce_no_mask,26,L25->L23,0.7420903444290161,0.8388031721115112,0.8847014307975769
20260722,physics_ce_no_mask,27,L26->L23,0.7420903444290161,0.8388031721115112,0.8847014307975769
20260722,physics_ce_no_mask,28,L10->L18,0.7376629710197449,0.8269250988960266,0.8920553922653198
20260722,physics_ce_no_mask,29,L21->L23,0.7348437309265137,0.8141443729400635,0.9025963544845581
20260722,physics_ce_no_mask,30,L27->L24,0.734782874584198,0.8081671595573425,0.9091966152191162
20260722,physics_ce_no_mask,31,L17->L16,0.734740138053894,0.8526560664176941,0.8617075085639954
20260722,physics_ce_no_mask,32,L23->L18,0.7333740592002869,0.8596165180206299,0.8531409502029419
20260722,physics_ce_no_mask,33,L10->L28,0.7290078997612,0.8269250988960266,0.8815887570381165
20260722,physics_ce_no_mask,34,L10->L23,0.7281007766723633,0.8269250988960266,0.8804917931556702
20260722,physics_ce_no_mask,35,L27->L16,0.7270775437355042,0.8081671595573425,0.8996623158454895
20260722,physics_ce_no_mask,36,L23->L17,0.7268733382225037,0.8596165180206299,0.8455786108970642
20260722,physics_ce_no_mask,37,L27->L19,0.7262632846832275,0.8081671595573425,0.8986547589302063
20260722,physics_ce_no_mask,38,L10->L21,0.7253718376159668,0.8269250988960266,0.8771917223930359
