method,seed,num_paths,score_min,score_p25,score_median,score_p75,score_max,score_mean,score_std,mean_score_critical,mean_score_noncritical,median_rank_critical,top100_critical_count
physics_ce_no_mask,20260722,1406,0.3007583618164062,0.4365970119833946,0.5005287230014801,0.5764426738023758,0.8235037326812744,0.510493881629507,0.09975463842274986,0.6351881850849498,0.5054175036205882,181.0,23
physics_ce_mask,20260722,1406,0.3007583618164062,0.4365970119833946,0.5005287230014801,0.5764426738023758,0.8235037326812744,0.510493881629507,0.09975463842274986,0.6351881850849498,0.5054175036205882,181.0,23
physics_loss_no_mask,20260722,1406,0.2984355688095093,0.4383913055062294,0.5036956071853638,0.5822234749794006,0.8307527899742126,0.5151389596472424,0.10256161554441916,0.6418497762896798,0.5099804882073208,192.0,22
physics_loss_mask,20260722,1406,0.2984355688095093,0.4383913055062294,0.5036956071853638,0.5822234749794006,0.8307527899742126,0.5151389596472424,0.10256161554441916,0.6418497762896798,0.5099804882073208,192.0,22
paper_gcn_path_prob,20260722,1406,,,,,,,,,,822.0,10
LODF_yP,20260722,1406,-1406.0,-1054.75,-703.5,-352.25,-1.0,-703.5,405.8771365819957,-454.72727272727275,-713.6276831976314,482.0,11
random,20260722,1406,-1406.0,-1054.75,-703.5,-352.25,-1.0,-703.5,405.8771365819957,-718.8727272727273,-702.8741672834938,755.0,4
line_order,20260722,1406,-1406.0,-1054.75,-703.5,-352.25,-1.0,-703.5,405.8771365819957,-536.6545454545454,-710.2923760177646,381.0,3
oracle,20260722,1406,-1406.0,-1054.75,-703.5,-352.25,-1.0,-703.5,405.8771365819957,-28.0,-731.0,28.0,55
physics_ce_no_mask,20260723,1406,0.275152325630188,0.4183776676654815,0.48792891204357147,0.5603300034999847,0.8098433017730713,0.4959458877911439,0.09713998186425887,0.6131220391163459,0.4914457697195704,167.5,21
physics_ce_mask,20260723,1406,0.275152325630188,0.4183776676654815,0.48792891204357147,0.5603300034999847,0.8098433017730713,0.4959458877911439,0.09713998186425887,0.6131220391163459,0.4914457697195704,167.5,21
physics_loss_no_mask,20260723,1406,0.2722847163677215,0.4219385087490082,0.4928556829690933,0.5669941902160645,0.8175345063209534,0.5001514966508234,0.09986393706870461,0.6195383249567106,0.4955664781339059,178.0,22
physics_loss_mask,20260723,1406,0.2722847163677215,0.4219385087490082,0.4928556829690933,0.5669941902160645,0.8175345063209534,0.5001514966508234,0.09986393706870461,0.6195383249567106,0.4955664781339059,178.0,22
paper_gcn_path_prob,20260723,1406,,,,,,,,,,829.5,5
LODF_yP,20260723,1406,-1406.0,-1054.75,-703.5,-352.25,-1.0,-703.5,405.8771365819957,-510.21153846153845,-710.9231905465288,482.5,10
random,20260723,1406,-1406.0,-1054.75,-703.5,-352.25,-1.0,-703.5,405.8771365819957,-609.2692307692307,-707.1189069423929,603.5,3
line_order,20260723,1406,-1406.0,-1054.75,-703.5,-352.25,-1.0,-703.5,405.8771365819957,-558.5384615384615,-709.0672082717873,400.0,3
oracle,20260723,1406,-1406.0,-1054.75,-703.5,-352.25,-1.0,-703.5,405.8771365819957,-26.5,-729.5,26.5,52
physics_ce_no_mask,20260724,1406,0.2753923535346985,0.4103705286979675,0.47745977342128754,0.5454343408346176,0.8226913809776306,0.4848328031822085,0.09721977407558732,0.6119988984980825,0.47926279603771216,148.0,26
physics_ce_mask,20260724,1406,0.2753923535346985,0.4103705286979675,0.47745977342128754,0.5454343408346176,0.8226913809776306,0.4848328031822085,0.09721977407558732,0.6119988984980825,0.47926279603771216,148.0,26
physics_loss_no_mask,20260724,1406,0.2732903659343719,0.41102561354637146,0.482354074716568,0.5513759255409241,0.8301228880882263,0.4890757350629967,0.09975271864166348,0.6182445030091173,0.48341800877582436,148.0,26
physics_loss_mask,20260724,1406,0.2732903659343719,0.41102561354637146,0.482354074716568,0.5513759255409241,0.8301228880882263,0.4890757350629967,0.09975271864166348,0.6182445030091173,0.48341800877582436,148.0,26
paper_gcn_path_prob,20260724,1406,,,,,,,,,,795.0,9
LODF_yP,20260724,1406,-1406.0,-1054.75,-703.5,-352.25,-1.0,-703.5,405.8771365819957,-451.22033898305085,-714.5501113585746,409.0,14
random,20260724,1406,-1406.0,-1054.75,-703.5,-352.25,-1.0,-703.5,405.8771365819957,-724.8813559322034,-702.5634743875279,683.0,2
line_order,20260724,1406,-1406.0,-1054.75,-703.5,-352.25,-1.0,-703.5,405.8771365819957,-537.9830508474577,-710.7498144023757,381.0,5
oracle,20260724,1406,-1406.0,-1054.75,-703.5,-352.25,-1.0,-703.5,405.8771365819957,-30.0,-733.0,30.0,59
