seed,method,path,total_load_shed_mw,rank,method_score,in_candidate_order,ranked_after_100
20260722,physics_ce_no_mask,L02->L07,27.981072654937165,1123,0.41873469948768616,True,True
20260722,physics_ce_no_mask,L02->L27,27.98107265493719,877,0.47149792313575745,True,True
20260722,physics_ce_no_mask,L03->L09,85.8406488939796,337,0.5797620415687561,True,True
20260722,physics_ce_no_mask,L04->L01,82.39944368301173,650,0.5103564262390137,True,True
20260722,physics_ce_no_mask,L04->L08,79.93761520301625,670,0.5064950585365295,True,True
20260722,physics_ce_no_mask,L04->L09,100.94153457850766,469,0.5485981106758118,True,True
20260722,physics_ce_no_mask,L04->L10,82.39944368301173,397,0.5657926797866821,True,True
20260722,physics_ce_no_mask,L05->L10,158.08614799330758,336,0.579857587814331,True,True
20260722,physics_ce_no_mask,L06->L07,27.981072654937165,893,0.4670010507106781,True,True
20260722,physics_ce_no_mask,L06->L27,27.981072654937165,673,0.5063119530677795,True,True
20260722,physics_ce_no_mask,L07->L02,27.981072654937165,277,0.5941768288612366,True,True
20260722,physics_ce_no_mask,L07->L06,27.981072654937165,123,0.6589961647987366,True,True
20260722,physics_ce_no_mask,L07->L29,368.6730123770492,118,0.6606169939041138,True,True
20260722,physics_ce_no_mask,L08->L01,162.33705888602796,715,0.4986715018749237,True,True
20260722,physics_ce_no_mask,L08->L04,79.93761520301625,377,0.5703815817832947,True,True
20260722,physics_ce_no_mask,L08->L09,180.8791497815239,217,0.6166190505027771,True,True
20260722,physics_ce_no_mask,L08->L10,162.33705888602796,182,0.632637619972229,True,True
20260722,physics_ce_no_mask,L09->L03,85.8406488939796,739,0.49389466643333435,True,True
20260722,physics_ce_no_mask,L11->L12,17.88838157697601,530,0.5374171137809753,True,True
20260722,physics_ce_no_mask,L11->L13,17.888381576976077,525,0.5383777022361755,True,True
20260722,physics_ce_no_mask,L12->L11,17.88838157697601,1139,0.4135245382785797,True,True
20260722,physics_ce_no_mask,L13->L11,17.888381576976077,605,0.5185500979423523,True,True
20260722,physics_ce_no_mask,L13->L12,38.05337863080115,883,0.46919846534729004,True,True
20260722,physics_ce_no_mask,L19->L23,193.9878918650109,773,0.4884004294872284,True,True
20260722,physics_ce_no_mask,L23->L19,193.9878918650109,130,0.655055582523346,True,True
20260722,physics_ce_no_mask,L24->L28,316.8267403508264,259,0.5997599363327026,True,True
20260722,physics_ce_no_mask,L27->L02,27.98107265493719,181,0.6335470676422119,True,True
20260722,physics_ce_no_mask,L29->L07,368.6730123770492,756,0.49149540066719055,True,True
20260722,physics_ce_no_mask,L29->L23,368.673012377049,386,0.5684753060340881,True,True
20260722,physics_ce_no_mask,L29->L27,368.6730123770493,496,0.5442121028900146,True,True
20260722,physics_ce_no_mask,L31->L38,20.907752918885308,134,0.6530109643936157,True,True
20260722,physics_ce_no_mask,L38->L31,20.907752918885308,247,0.6035067439079285,True,True
20260722,physics_ce_mask,L02->L07,27.981072654937165,1123,0.41873469948768616,True,True
