epoch,train_loss,total_accuracy,hit_rate,cover_rate,precision,recall,f1,pr_auc,average_precision,mean_positive_score,mean_negative_score,positive_negative_score_gap,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,true_positive,true_negative,false_positive,false_negative,num_labels,num_positive_labels
1,0.5507902747063568,0.9246451576329198,0.12686369651521834,0.6611494252873563,0.12686369651521834,0.6611494252873563,0.21287934863064395,0.1261787709074752,0.1261787709074752,0.4481873548857268,0.10612487647543932,0.3420624784102875,0.08032228119530326,0.0,1438,129047,9897,737,141119,2175
2,0.38937845383226527,0.917785698594803,0.12917945086932578,0.7549425287356322,0.12917945086932578,0.7549425287356322,0.22060996909848177,0.14937452940794865,0.14937452940794865,0.5676381892631708,0.11490603361684147,0.4527321556463293,0.09007291718337006,0.0,1642,127875,11069,533,141119,2175
3,0.3389321265639289,0.9441109985189804,0.19454545454545455,0.8363218390804598,0.19454545454545455,0.8363218390804598,0.3156616052060738,0.3026985308027874,0.3026985308027874,0.643378571657947,0.0869586623071896,0.5564199093507574,0.06625613843635514,0.0,1819,131413,7531,356,141119,2175
4,0.29799512005282974,0.9364578830632303,0.1784090909090909,0.8662068965517241,0.1784090909090909,0.8662068965517241,0.29587750294464077,0.35355022508804357,0.35355022508804357,0.717093642652182,0.08997641128620344,0.6271172313659785,0.0748304622340011,0.024426193496269104,1884,130268,8676,291,141119,2175
5,0.2743109735665626,0.9371665048646887,0.17564947654129506,0.833103448275862,0.17564947654129506,0.833103448275862,0.290128892802818,0.40578904662906523,0.40578904662906523,0.7205878959247848,0.08925641324316788,0.6313314826816169,0.07310142503844273,0.02674338678703789,1812,130440,8504,363,141119,2175
6,0.25583535366477267,0.9515231825622347,0.2221957608954513,0.8579310344827586,0.2221957608954513,0.8579310344827586,0.35297455783599735,0.5408304998274062,0.5408304998274062,0.7523986181693122,0.06733537630660232,0.6850632418627098,0.0595100588864717,0.021286998915808642,1866,132412,6532,309,141119,2175
7,0.24211937817983178,0.9542655489338785,0.2312523552317548,0.8464367816091954,0.2312523552317548,0.8464367816091954,0.3632596685082873,0.576160528904088,0.576160528904088,0.7555252128857691,0.0635420182179427,0.6919831946678264,0.05641338161409874,0.01950127197613362,1841,132824,6120,334,141119,2175
8,0.2328288451277563,0.941396977019395,0.1922028077971922,0.8749425287356322,0.1922028077971922,0.8749425287356322,0.31517058628684996,0.528221763938667,0.528221763938667,0.7926079530328319,0.08836372316266869,0.7042442298701632,0.0701606445623906,0.028933028153544173,1903,130946,7998,272,141119,2175
9,0.22576704262270272,0.9523806149419993,0.22910954821790439,0.8836781609195402,0.22910954821790439,0.8836781609195402,0.36387731919727373,0.6114636401938858,0.6114636401938858,0.7993059106578986,0.07019064497850332,0.7291152656793952,0.05944628292434045,0.02340577810216909,1922,132477,6467,253,141119,2175
10,0.22236734026948904,0.9452802244913867,0.20572944297082227,0.8914942528735632,0.20572944297082227,0.8914942528735632,0.3343103448275862,0.5871342653013305,0.5871342653013305,0.8189545101278473,0.08006959484535829,0.738884915282489,0.06678760478744888,0.028791303793252503,1939,131458,7486,236,141119,2175
